county,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_NADER,gen_lib_BARR,gen_psl_RIVA,gen_rep_MCCAIN,rep_general_total,dem_general_total,lib_general_total,cst_general_total,grn_general_total,ind_general_total,psl_general_total
Arkansas County,39,1338,12,98,19,6,2470,2470,1338,19,39,12,98,6
Ashley County,38,2976,54,112,39,17,4268,4268,2976,39,38,54,112,17
Baxter County,96,3296,75,278,125,16,6761,6761,3296,125,96,75,278,16
Benton County,318,23331,143,706,417,34,29052,29052,23331,417,318,143,706,34
Boone County,81,1917,63,209,94,17,4966,4966,1917,94,81,63,209,17
Bradley County,17,1680,27,32,11,12,2262,2262,1680,11,17,27,32,12
Calhoun County,8,691,6,29,14,7,1462,1462,691,14,8,6,29,7
Carroll County,53,2220,58,131,76,6,4043,4043,2220,76,53,58,131,6
Chicot County,2,3043,7,24,13,0,2119,2119,3043,13,2,7,24,0
Clark County,33,2269,29,116,31,10,2975,2975,2269,31,33,29,116,10
Clay County,30,1231,23,137,38,7,1840,1840,1231,38,30,23,137,7
Cleburne County,66,1859,79,198,57,25,5378,5378,1859,57,66,79,198,25
Cleveland County,13,911,25,75,17,13,2451,2451,911,17,13,25,75,13
Columbia County,23,1858,50,39,25,6,3100,3100,1858,25,23,50,39,6
Conway County,39,1800,33,150,58,18,3117,3117,1800,58,39,33,150,18
Craighead County,102,8993,55,481,145,10,6434,6434,8993,145,102,55,481,10
Crawford County,90,3353,77,331,79,29,10227,10227,3353,79,90,77,331,29
Crittenden County,36,5107,57,88,50,44,3054,3054,5107,50,36,57,88,44
Cross County,21,921,15,79,27,15,1538,1538,921,27,21,15,79,15
Dallas County,22,1471,15,34,13,6,1757,1757,1471,13,22,15,34,6
Desha County,10,2569,17,50,20,13,1999,1999,2569,20,10,17,50,13
Drew County,19,1338,19,64,29,21,2165,2165,1338,29,19,19,64,21
Faulkner County,155,13782,115,401,172,19,18370,18370,13782,172,155,115,401,19
Franklin County,21,1869,40,100,32,2,4411,4411,1869,32,21,40,100,2
Fulton County,28,1819,17,76,27,7,2702,2702,1819,27,28,17,76,7
Garland County,107,7609,152,513,204,19,12916,12916,7609,204,107,152,513,19
Grant County,21,1562,22,123,30,12,3290,3290,1562,30,21,22,123,12
Greene County,54,2090,71,276,78,14,4171,4171,2090,78,54,71,276,14
Hempstead County,36,1832,26,96,27,22,3030,3030,1832,27,36,26,96,22
