county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_BARR,gen_wri_BROWN,gen_wri_BYRNE,gen_wri_HARRIS,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,gen_wri_PEROUTKA,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,wri_general_total
Appling,11,672,3,44,1,4,561,2,8,1060,1,0,566,17,264,0,7,1846,5085,0,0,65,0,0,0,0,0,0,0,1923,1298,5085,1846,65
Atkinson,5,235,0,15,0,6,241,3,5,224,0,1,218,11,153,0,4,938,1941,0,2,23,0,0,0,0,0,0,0,616,505,1941,938,25
Bacon,2,358,4,35,2,2,190,2,5,460,2,2,336,40,157,2,1,817,3089,0,1,31,0,0,0,0,0,0,0,1005,595,3089,817,32
Baker,9,199,4,36,0,1,320,2,1,121,0,1,133,1,49,0,3,846,828,0,0,13,0,0,0,0,0,0,0,309,571,828,846,13
Baldwin,21,1470,9,106,4,7,3548,15,26,1217,4,3,1327,144,708,2,14,8587,7823,0,11,109,0,0,0,1,0,6,0,3445,5180,7823,8587,127
Banks,9,693,4,64,2,6,232,1,8,1153,3,1,686,40,516,0,8,1027,5120,0,3,89,0,0,0,1,0,1,0,2415,1011,5120,1027,94
Barrow,15,1668,5,112,7,11,1949,12,53,3324,1,13,1947,211,1960,5,40,6657,17625,0,13,280,0,0,0,2,0,5,0,7554,3779,17625,6657,300
Bartow,13,3480,12,242,11,12,2909,19,87,4831,8,18,3007,489,2886,5,43,9662,25976,0,27,410,0,0,0,1,0,15,2,11374,6698,25976,9662,455
Ben hill,11,554,1,62,1,12,852,7,14,423,1,3,455,25,220,1,3,2590,3417,0,1,28,0,0,0,0,0,0,0,1145,1500,3417,2590,29
Berrien,4,654,2,61,4,3,424,2,14,631,1,2,568,35,413,2,5,1471,4901,0,3,72,0,0,0,0,0,2,0,1671,1154,4901,1471,77
Bibb,45,5090,15,282,17,42,16719,43,56,4611,8,19,3888,435,3969,3,43,38987,27037,0,42,284,0,0,0,0,0,18,0,13032,22253,27037,38987,344
Bleckley,1,383,0,39,4,2,413,6,8,687,3,1,493,32,334,1,6,1380,3657,0,1,32,0,0,0,0,0,1,0,1565,848,3657,1380,34
Brantley,3,510,2,76,0,2,181,2,11,846,3,5,533,46,377,1,4,1119,5080,0,2,73,0,0,0,0,0,3,0,1826,776,5080,1119,78
Brooks,8,456,1,49,1,5,775,4,7,491,2,3,456,24,283,1,5,2669,3507,0,4,20,0,0,0,0,0,1,0,1272,1299,3507,2669,25
Bryan,12,985,1,52,3,7,1078,6,18,922,2,7,1316,108,1248,1,13,3636,9112,1,7,89,0,0,0,0,0,0,0,3635,2144,9112,3636,97
Bulloch,22,1763,4,91,6,18,2670,9,37,1909,4,13,2534,286,1273,2,18,9586,14174,0,8,144,0,0,0,0,0,8,0,6076,4583,14174,9586,160
Burke,14,717,4,27,9,11,1956,7,8,570,2,3,812,46,334,0,10,5233,4344,0,6,41,0,0,0,0,0,2,0,1785,2745,4344,5233,49
Butts,8,761,4,68,4,5,1170,6,16,1129,1,6,772,37,618,1,4,3065,5947,0,2,77,0,0,0,0,0,0,0,2584,2026,5947,3065,79
Calhoun,7,207,2,14,1,4,546,3,2,120,0,1,171,3,58,1,2,1342,862,0,0,7,0,0,0,0,0,0,0,358,784,862,1342,7
Camden,7,1139,3,68,3,5,1899,2,28,1192,2,11,1686,85,1584,0,14,6482,10502,0,7,87,0,0,0,0,0,6,0,4602,3126,10502,6482,100
Candler,4,313,1,28,4,2,394,4,2,361,0,0,406,19,146,0,5,1209,2286,0,1,20,0,0,0,0,0,2,0,939,750,2286,1209,23
Carroll,19,3893,8,236,12,27,4558,17,77,5358,8,22,3938,590,3018,1,37,14334,28661,1,38,429,0,0,11,7,0,16,1,13049,8770,28661,14334,503
Catoosa,12,3106,5,166,4,4,952,9,26,3598,7,16,1885,348,1268,1,45,6025,18218,0,20,225,0,0,0,1,0,7,0,7194,4258,18218,6025,253
Charlton,5,271,2,31,2,0,346,6,5,324,1,1,320,10,236,3,1,1197,2466,0,0,22,0,0,0,0,0,0,0,901,663,2466,1197,22
Chatham,82,9036,34,368,18,86,26153,55,199,4395,19,32,9443,807,9269,11,75,62755,46829,1,22,566,0,0,0,10,0,55,0,24250,35832,46829,62755,654
Chattahoochee,0,159,1,7,0,2,233,4,3,47,1,0,110,7,55,0,3,830,811,0,0,11,0,0,0,0,0,1,0,226,406,811,830,12
Chattooga,4,1402,4,107,7,7,574,16,16,927,1,3,595,64,314,2,9,2596,5572,0,1,134,0,0,0,0,0,4,0,1931,2121,5572,2596,139
Cherokee,27,5900,11,310,19,10,6666,25,243,12410,19,49,8324,1032,10880,7,78,22350,70279,0,75,1026,0,0,0,2,0,35,5,33042,12968,70279,22350,1143
Clarke,33,4260,5,218,22,49,10675,24,57,1849,7,12,2438,413,2176,2,27,29591,15333,0,19,493,0,0,0,8,1,65,0,6981,15286,15333,29591,586
Clay,1,157,0,5,3,2,282,1,1,82,2,0,112,1,39,0,2,879,558,0,0,3,0,0,0,0,0,0,0,239,451,558,879,3
Clayton,54,7471,14,359,18,56,36409,34,113,3129,8,28,2262,248,2321,7,45,82527,16506,0,17,353,0,0,0,13,0,22,0,8161,44415,16506,82527,405
