county,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_lib_BARR,gen_pfp_NADER,gen_psl_RIVA,gen_rep_MCCAIN,gen_spu_MOORE,gen_swp_HARRIS,rep_general_total,dem_general_total,lib_general_total,cst_general_total,grn_general_total,pfp_general_total,swp_general_total,psl_general_total,spu_general_total
Adair,11,1924,4,10,31,0,2060,0,0,2060,1924,10,11,4,31,0,0,0
Adams,7,1118,4,6,13,0,1046,0,5,1046,1118,6,7,4,13,5,0,0
Allamakee,17,3971,9,20,42,1,2965,2,3,2965,3971,20,17,9,42,3,1,2
Appanoose,28,2970,7,27,36,0,3086,3,1,3086,2970,27,28,7,36,1,0,3
Audubon,15,1739,2,6,17,0,1634,1,4,1634,1739,6,15,2,17,4,0,1
Benton,35,7058,15,26,72,4,6447,1,8,6447,7058,26,35,15,72,8,4,1
Black Hawk,109,39184,39,171,348,3,24662,9,8,24662,39184,171,109,39,348,8,3,9
Boone,57,7356,10,56,66,0,6293,2,2,6293,7356,56,57,10,66,2,0,2
Bremer,29,6940,8,27,74,0,5741,1,2,5741,6940,27,29,8,74,2,0,1
Buchanan,25,6050,7,21,61,1,4139,3,2,4139,6050,21,25,7,61,2,1,3
Buena Vista,24,4075,2,22,38,2,4223,0,2,4223,4075,22,24,2,38,2,2,0
Butler,19,3364,6,19,34,0,3700,0,1,3700,3364,19,19,6,34,1,0,0
Calhoun,24,2341,5,11,29,0,2741,0,3,2741,2341,11,24,5,29,3,0,0
Carroll,33,5302,7,19,58,8,4922,0,3,4922,5302,19,33,7,58,3,8,0
Cass,29,3211,14,11,42,1,4006,1,1,4006,3211,11,29,14,42,1,1,1
Cedar,35,5221,11,26,51,0,4289,0,3,4289,5221,26,35,11,51,3,0,0
Cerro Gordo,56,14405,15,48,133,2,9375,1,3,9375,14405,48,56,15,133,3,2,1
Cherokee,11,2890,9,21,36,1,3372,2,2,3372,2890,21,11,9,36,2,1,2
Chickasaw,14,3923,3,12,37,1,2557,2,2,2557,3923,12,14,3,37,2,1,2
Clarke,25,2218,2,14,41,0,2118,2,2,2118,2218,14,25,2,41,2,0,2
Clay,17,3925,5,15,46,1,4355,3,1,4355,3925,15,17,5,46,1,1,3
Clayton,34,5195,6,16,61,1,3651,0,2,3651,5195,16,34,6,61,2,1,0
Clinton,53,15018,22,58,143,0,9324,3,7,9324,15018,58,53,22,143,7,0,3
Crawford,23,3715,8,23,48,0,3345,0,3,3345,3715,23,23,8,48,3,0,0
Dallas,121,15149,22,120,127,0,16954,3,3,16954,15149,120,121,22,127,3,0,3
Davis,29,1680,4,7,31,1,2029,2,1,2029,1680,7,29,4,31,1,1,2
Decatur,15,1986,3,18,26,2,2020,2,1,2020,1986,18,15,3,26,1,2,2
Delaware,35,4649,5,22,48,0,4113,2,1,4113,4649,22,35,5,48,1,0,2
Des Moines,47,12462,30,47,135,1,7721,3,4,7721,12462,47,47,30,135,4,1,3
Dickinson,16,4625,7,19,50,1,5162,0,1,5162,4625,19,16,7,50,1,1,0
Dubuque,81,28611,57,109,248,3,18651,7,8,18651,28611,109,81,57,248,8,3,7
Emmet,6,2570,9,15,32,0,2373,0,3,2373,2570,15,6,9,32,3,0,0
Fayette,31,5908,9,24,47,0,4205,3,1,4205,5908,24,31,9,47,1,0,3
Floyd,35,4822,7,23,109,1,3051,1,5,3051,4822,23,35,7,109,5,1,1
Franklin,20,2575,2,13,18,0,2501,1,1,2501,2575,13,20,2,18,1,0,1
Fremont,6,1848,4,6,25,1,1989,1,1,1989,1848,6,6,4,25,1,1,1
Greene,13,2371,2,13,27,0,2349,0,1,2349,2371,13,13,2,27,1,0,0
Grundy,25,2790,3,18,15,0,3945,1,3,3945,2790,18,25,3,15,3,0,1
Guthrie,22,2625,4,42,46,0,3074,2,3,3074,2625,42,22,4,46,3,0,2
Hamilton,28,4018,4,27,52,2,3913,1,4,3913,4018,27,28,4,52,4,2,1
Hancock,16,2805,6,20,43,0,3016,0,1,3016,2805,20,16,6,43,1,0,0
Hardin,51,4393,7,22,36,1,4315,1,4,4315,4393,22,51,7,36,4,1,1
Harrison,11,3555,7,10,50,4,3909,1,1,3909,3555,10,11,7,50,1,4,1
Henry,45,4349,13,20,65,1,4822,2,1,4822,4349,20,45,13,65,1,1,2
