county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_grn_BALL,pri_grn_HAWKINS,pri_grn_MCKINNEY,pri_grn_MESPLAY,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_MITCHELL,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_cpi_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_NADER,gen_lib_BARR,gen_new_POLACHEK,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_HOBBS,gen_wri_MOORE,gen_wri_PAUL,rep_primary_total,dem_primary_total,grn_primary_total,rep_general_total,dem_general_total,lib_general_total,grn_general_total,cpi_general_total,ind_general_total,new_general_total,wri_general_total
ADAMS,10,2534,0,237,2,3713,17,0,0,2,0,50,1535,17,3137,1,256,2148,0,53,51,11794,40,150,76,1,18711,0,0,0,0,7197,6513,2,18711,11794,76,40,51,150,1,0
ALEXANDER,5,725,2,156,4,1097,8,0,0,0,0,3,118,1,137,0,15,130,0,5,3,2189,14,24,13,2,1692,0,0,0,0,409,1997,0,1692,2189,13,14,3,24,2,0
BOND,7,916,4,71,4,921,9,0,0,2,0,9,420,9,603,0,115,382,0,17,37,3843,7,53,36,1,3947,0,0,0,0,1555,1932,2,3947,3843,36,7,37,53,1,0
BOONE,9,2042,5,96,2,2652,5,1,0,2,0,78,983,19,2974,4,397,1856,3,63,53,11333,60,179,123,6,10403,0,0,0,0,6377,4811,3,10403,11333,123,60,53,179,6,0
BROWN,3,247,1,63,1,313,2,1,0,1,1,16,190,3,375,0,31,141,0,10,4,986,8,18,8,1,1544,0,0,0,0,766,630,3,1544,986,8,8,4,18,1,0
BUREAU,6,1489,1,113,5,2432,12,1,4,4,2,25,653,5,1374,2,106,1014,1,18,42,8889,50,158,59,4,7911,0,0,0,0,3198,4058,11,7911,8889,59,50,42,158,4,0
CALHOUN,7,606,1,86,1,446,3,0,0,0,0,2,70,1,178,0,27,103,0,3,3,1423,8,32,12,0,1221,0,0,0,0,384,1150,0,1221,1423,12,8,3,32,0,0
CARROLL,3,590,3,40,1,1160,2,0,2,3,2,10,292,3,681,2,127,504,0,22,16,3965,22,46,27,2,3596,0,0,0,0,1641,1799,7,3596,3965,27,22,16,46,2,0
CASS,4,497,0,48,3,679,4,0,0,0,0,9,199,6,415,4,33,256,1,8,9,2690,28,44,20,0,2617,0,0,0,0,931,1235,0,2617,2690,20,28,9,44,0,0
CHAMPAIGN,31,5515,7,345,133,17033,38,16,26,101,17,187,2687,43,5689,2,1060,5552,7,197,178,48597,313,610,560,14,33871,0,0,0,0,15424,23102,160,33871,48597,560,313,178,610,14,0
CHRISTIAN,25,2018,9,335,15,3051,24,1,0,6,2,19,469,4,885,1,110,630,2,19,44,6918,59,142,60,5,7872,0,0,0,0,2139,5477,9,7872,6918,60,59,44,142,5,0
CLARK,4,914,2,137,3,918,8,0,0,0,0,31,695,3,955,2,53,413,1,18,18,3742,17,85,16,1,4409,0,0,0,0,2171,1986,0,4409,3742,16,17,18,85,1,0
CLAY,16,902,6,187,4,974,19,0,0,0,0,8,369,2,482,0,95,291,0,16,15,2425,11,45,27,5,3926,0,0,0,0,1263,2108,0,3926,2425,27,11,15,45,5,0
CLINTON,7,1682,2,162,6,1819,6,3,0,4,0,23,530,9,1513,2,107,773,1,29,27,7657,54,143,72,4,9357,0,0,0,0,2987,3684,7,9357,7657,72,54,27,143,4,0
COLES,9,1868,1,178,18,3117,12,1,4,8,4,80,1124,22,2169,5,195,1225,0,49,54,11716,75,168,84,1,10978,0,0,0,0,4869,5203,17,10978,11716,84,75,54,168,1,0
COOK,1901,314634,512,14249,2461,743686,1636,77,160,638,113,2774,19308,498,93421,134,10444,50788,122,1056,1722,1629024,4006,8903,5602,467,487736,1,3,2,0,178545,1079079,988,487736,1629024,5602,4006,1722,8903,467,6
CRAWFORD,2,888,3,103,3,1050,5,1,0,1,0,20,640,2,1138,3,53,457,0,22,21,3883,27,85,40,3,5070,0,0,0,0,2335,2054,2,5070,3883,40,27,21,85,3,0
CUMBERLAND,6,522,2,79,2,619,6,0,1,1,0,15,393,2,574,1,73,283,0,12,14,2055,16,55,22,3,3156,0,0,0,0,1353,1236,2,3156,2055,22,16,14,55,3,0
DOUGLAS,2,615,2,52,2,1063,3,0,0,1,1,35,571,5,972,2,90,702,1,29,13,3228,13,61,33,3,5005,0,0,0,0,2407,1739,2,5005,3228,33,13,13,61,3,0
DeKALB,14,3894,6,210,40,8582,10,3,8,17,7,107,1666,36,4866,4,541,2899,2,67,83,25784,107,298,270,10,18266,0,0,0,0,10188,12756,35,18266,25784,270,107,83,298,10,0
DeWITT,2,671,3,65,3,992,4,1,0,0,0,59,577,6,1362,2,122,782,1,48,16,3308,20,67,39,3,4348,0,0,0,0,2959,1740,1,4348,3308,39,20,16,67,3,0
