county,pri_dem_CLINTON,pri_dem_OBAMA,pri_rep_HUCKABEE,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,gen_aip_FAITH,gen_cst_CASTLE,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_BALDWIN,gen_ind_BONE,gen_ind_MOTTUS,gen_ind_NADER,gen_ind_PLEMONS,gen_lib_BARR,gen_rep_KUJAWSKI,gen_rep_MCCAIN,gen_soc_MOORE,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,cst_general_total,grn_general_total,soc_general_total,aip_general_total,ind_general_total
Adams,3147,2283,403,1735,292,141,0,0,4928,1,9,0,0,1,0,170,0,8404,0,2571,5430,8404,4928,170,0,1,0,0,10
Allen,27535,35103,2044,13854,2824,1418,0,0,71263,7,67,0,0,77,0,1114,0,77793,3,20140,62638,77793,71263,1114,0,7,3,0,144
Bartholomew,6903,5989,658,5000,266,380,0,1,13567,2,18,0,0,29,0,359,0,17067,0,6304,12892,17067,13567,359,1,2,0,0,47
Benton,625,557,177,1124,120,82,0,0,1563,0,4,0,0,0,0,64,0,2183,0,1503,1182,2183,1563,64,0,0,0,0,4
Blackford,1941,1024,60,406,48,28,0,1,2677,0,2,0,0,3,0,68,0,2690,0,542,2965,2690,2677,68,1,0,0,0,5
Boone,4454,4848,500,4747,282,274,0,1,9752,2,7,0,0,5,0,258,0,16622,0,5803,9302,16622,9752,258,1,2,0,0,12
Brown,2009,1991,144,1076,84,57,0,0,3854,4,6,0,0,2,0,129,0,4060,0,1361,4000,4060,3854,129,0,4,0,0,8
Carroll,2033,1625,254,1466,117,85,0,1,3736,1,4,0,0,3,0,133,0,4858,0,1922,3658,4858,3736,133,1,1,0,0,7
Cass,3978,2513,408,2941,243,153,0,0,7011,0,31,0,0,0,0,265,0,8346,0,3745,6491,8346,7011,265,0,0,0,0,31
Clark,18094,8710,320,2724,128,127,11,0,21953,1,9,0,6,13,0,406,0,25326,0,3299,26804,25326,21953,406,0,1,0,11,28
Clay,4011,2028,270,1333,132,53,0,0,4954,0,1,0,0,5,0,168,0,6267,0,1788,6039,6267,4954,168,0,0,0,0,6
Clinton,2562,1710,505,3088,219,184,0,0,5307,0,8,0,0,5,0,153,0,6919,0,3996,4272,6919,5307,153,0,0,0,0,13
Crawford,2140,775,48,436,16,10,0,0,2286,0,0,0,0,0,0,65,0,2393,0,510,2915,2393,2286,65,0,0,0,0,0
Daviess,2291,1554,360,2640,101,92,0,1,3370,0,0,0,0,0,0,117,0,7098,0,3193,3845,7098,3370,117,1,0,0,0,0
DeKalb,3427,2557,500,2558,502,230,0,1,7175,0,8,0,0,7,0,178,0,9780,0,3790,5984,9780,7175,178,1,0,0,0,15
Dearborn,5270,1782,432,3827,287,246,0,0,7123,0,0,0,0,0,0,208,0,14886,0,4792,7052,14886,7123,208,0,0,0,0,0
Decatur,2326,1274,320,2407,136,125,0,0,3892,0,0,0,0,0,0,147,0,6449,0,2988,3600,6449,3892,147,0,0,0,0,0
Delaware,14743,12971,591,5450,415,303,0,0,28384,0,0,0,0,0,0,563,0,20916,0,6759,27714,20916,28384,563,0,0,0,0,0
Dubois,5472,4463,133,1160,76,86,1,0,8748,0,8,0,0,7,0,275,0,9526,0,1455,9935,9526,8748,275,0,0,0,1,15
Elkhart,11183,16034,2210,12455,1351,775,0,0,31398,0,40,0,0,6,0,618,0,39396,0,16791,27217,39396,31398,618,0,0,0,0,46
Fayette,3267,1562,167,1256,78,45,0,0,4389,0,3,0,0,2,0,151,0,4917,0,1546,4829,4917,4389,151,0,0,0,0,5
Floyd,12350,6456,270,2563,121,130,0,0,16263,0,4,0,0,5,0,308,0,19957,0,3084,18806,19957,16263,308,0,0,0,0,9
Fountain,1835,1204,282,1251,96,60,0,0,3094,0,0,0,0,0,0,158,0,4158,0,1689,3039,4158,3094,158,0,0,0,0,0
Franklin,2600,1183,164,1413,115,65,0,0,3404,1,2,0,0,7,0,178,0,7018,0,1757,3783,7018,3404,178,0,1,0,0,9
Fulton,2164,1523,169,1094,103,62,0,0,3702,0,0,0,0,3,0,154,0,5147,0,1428,3687,5147,3702,154,0,0,0,0,3
Gibson,5524,2676,134,891,62,32,0,1,6455,0,3,0,0,1,0,186,0,8449,0,1119,8200,8449,6455,186,1,0,0,0,4
Grant,6362,5495,882,5290,448,336,0,0,11293,1,11,0,0,6,0,254,0,14734,0,6956,11857,14734,11293,254,0,1,0,0,17
Greene,4326,2280,371,2217,146,88,0,0,5709,0,3,0,0,2,0,224,0,7691,0,2822,6606,7691,5709,224,0,0,0,0,5
Hamilton,16491,25351,2000,23243,1682,1578,0,6,49704,3,52,0,0,24,0,874,0,78401,0,28503,41842,78401,49704,874,6,3,0,0,76
Hancock,6437,4398,751,7214,598,439,0,0,11874,1,11,0,0,15,0,343,0,22008,1,9002,10835,22008,11874,343,0,1,1,0,26
Harrison,6837,2685,234,1886,95,73,0,1,7288,0,8,0,0,10,0,233,0,10551,0,2288,9522,10551,7288,233,1,0,0,0,18
Hendricks,11680,10914,1146,10084,730,629,0,3,24548,1,24,0,0,20,0,630,1,39728,0,12589,22594,39729,24548,630,3,1,0,0,44
