county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_grn_BALL,pri_grn_BROWN,pri_grn_MCKINNEY,pri_grn_MESPLAY,pri_grn_NADER,pri_grn_SWIFT,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_con_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_NADER,gen_lib_BARR,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,grn_primary_total,rep_general_total,dem_general_total,lib_general_total,cst_general_total,grn_general_total,ind_general_total
Barnstable,105,24388,25,775,31,111,22352,83,0,1,6,1,37,4,162,902,4,10222,609,17633,8,56,195,74264,215,1071,489,55694,29596,47870,49,55694,74264,489,0,215,1071
Berkshire,59,15346,15,415,11,95,11844,29,1,0,24,4,28,7,56,588,6,3253,279,1969,2,27,169,49558,209,855,248,14876,6180,27814,64,14876,49558,248,0,209,855
Bristol,214,63412,76,1543,72,136,25817,98,3,1,7,0,41,3,185,1861,20,13237,913,15409,12,85,579,146861,435,2490,913,90531,31722,91368,55,90531,146861,913,0,435,2490
Dukes,5,1978,5,49,3,14,2890,5,1,1,1,0,6,0,22,65,0,560,35,619,0,1,14,7913,29,93,37,2442,1302,4949,9,2442,7913,37,0,29,93
Essex,347,83340,80,2401,104,280,51299,189,3,4,25,0,62,8,368,2295,37,27285,1673,35534,28,106,518,208976,603,3055,1604,137129,67326,138040,102,137129,208976,1604,0,603,3055
Franklin,16,7325,7,331,23,114,9198,22,2,3,27,3,31,4,22,396,1,2543,227,1343,1,7,84,27919,165,494,182,9545,4540,17036,70,9545,27919,182,0,165,494
Hampden,150,41950,89,1122,228,163,26911,101,4,4,15,5,36,3,207,1721,21,9941,743,13097,13,85,367,121454,444,2588,715,71350,25828,70714,67,71350,121454,715,0,444,2588
Hampshire,37,15613,19,492,40,199,18000,32,2,2,55,6,64,5,45,506,8,3869,317,3429,4,13,110,56869,344,998,335,20618,8191,34432,134,20618,56869,335,0,344,998
Middlesex,827,175048,492,5078,295,854,142823,516,8,14,158,9,192,11,621,3610,59,49449,3318,64344,39,185,1014,464484,1614,6091,3575,245766,121625,325933,392,245766,464484,3575,0,1614,6091
Nantucket,2,833,2,35,2,1,1317,4,0,0,0,0,3,2,12,43,0,428,27,454,1,0,8,4073,11,49,23,1863,965,2196,5,1863,4073,23,0,11,49
Norfolk,531,83884,110,2443,356,306,56231,277,3,3,32,2,45,3,285,1691,32,27069,1392,33141,12,97,489,200675,580,2965,1392,136841,63719,144138,88,136841,200675,1392,0,580,2965
Plymouth,244,50495,61,1632,64,139,31821,138,1,1,8,4,38,6,259,1776,29,20802,879,26364,15,84,367,131817,387,2156,969,112904,50208,84594,58,112904,131817,969,0,387,2156
Suffolk,391,63465,71,1631,121,314,65512,170,8,1,66,4,75,2,135,677,11,9342,847,9271,9,37,296,207127,731,1788,891,57194,20329,131675,156,57194,207127,891,0,731,1788
Worcester,288,78108,68,2154,113,266,45665,182,6,3,50,1,86,2,328,2972,30,26779,1992,33285,9,133,761,202107,783,4148,1816,152101,65528,126844,148,152101,202107,1816,0,783,4148
