county,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_lib_BARR,gen_nlp_NADER,gen_npa_KEYES,gen_npa_MOORE,gen_rep_MCCAIN,gen_ust_BALDWIN,rep_general_total,dem_general_total,lib_general_total,grn_general_total,nlp_general_total,ust_general_total,npa_general_total
Alcona,2896,18,36,51,0,0,3404,15,3404,2896,36,18,51,15,0
Alger,2472,14,19,44,0,0,2188,13,2188,2472,19,14,44,13,0
Allegan,24165,109,294,385,0,0,30061,265,30061,24165,294,109,385,265,0
Alpena,7705,25,79,121,0,0,7125,30,7125,7705,79,25,121,30,0
Antrim,6079,40,68,104,0,0,7506,55,7506,6079,68,40,104,55,0
Arenac,4155,22,36,86,0,0,3807,22,3807,4155,36,22,86,22,0
Baraga,1725,4,18,31,0,0,1846,20,1846,1725,18,4,31,20,0
Barry,13449,78,189,243,0,0,16431,175,16431,13449,189,78,243,175,0
Bay,32589,100,254,510,0,0,23795,180,23795,32589,254,100,510,180,0
Benzie,5451,21,36,66,0,0,4687,48,4687,5451,36,21,66,48,0
Berrien,40381,128,387,418,1,0,36130,221,36130,40381,387,128,418,221,1
Branch,8413,43,81,144,0,0,9534,70,9534,8413,81,43,144,70,0
Calhoun,34561,148,282,467,2,0,28553,183,28553,34561,282,148,467,183,2
Cass,12083,57,123,131,0,0,11114,68,11114,12083,123,57,131,68,0
Charlevoix,6817,43,70,84,0,0,7306,47,7306,6817,70,43,84,47,0
Cheboygan,6720,26,80,105,0,0,6920,50,6920,6720,80,26,105,50,0
Chippewa,8184,27,80,111,0,0,8267,39,8267,8184,80,27,111,39,0
Clare,7496,28,82,116,2,0,6793,50,6793,7496,82,28,116,50,2
Clinton,20005,61,181,275,3,0,19726,130,19726,20005,181,61,275,130,3
Crawford,3441,28,50,64,0,0,3561,34,3561,3441,50,28,64,34,0
Delta,9974,25,63,136,22,16,8763,65,8763,9974,63,25,136,65,38
Dickinson,5995,18,68,138,0,0,7049,43,7049,5995,68,18,138,43,0
Eaton,30742,101,274,414,1,0,25900,184,25900,30742,274,101,414,184,1
Emmet,8515,47,97,120,0,0,9314,56,9314,8515,97,47,120,56,0
Gd. Traverse,23258,128,244,250,2,0,24716,135,24716,23258,244,128,250,135,2
Genesee,143927,379,790,1690,2,0,72451,657,72451,143927,790,379,1690,657,2
Gladwin,6590,24,68,115,0,0,6391,53,6391,6590,68,24,115,53,0
Gogebic,4757,17,24,91,0,0,3330,45,3330,4757,24,17,91,45,0
Gratiot,9105,33,79,134,1,1,8322,63,8322,9105,79,33,134,63,2
Hillsdale,8765,42,131,183,0,0,11221,107,11221,8765,131,42,183,107,0
Houghton,7476,38,119,188,0,0,8101,50,8101,7476,119,38,188,50,0
Huron,8367,39,70,169,0,0,8434,56,8434,8367,70,39,169,56,0
Ingham,93994,301,698,934,0,1,46483,318,46483,93994,698,301,934,318,1
Ionia,12565,59,139,243,0,0,14156,157,14156,12565,139,59,243,157,0
Iosco,7309,29,80,146,0,0,6583,40,6583,7309,80,29,146,40,0
Iron,3080,17,31,63,0,0,2947,24,2947,3080,31,17,63,24,0
Isabella,16679,61,125,212,1,0,11220,52,11220,16679,125,61,212,52,1
Jackson,37480,156,327,607,0,0,35692,241,35692,37480,327,156,607,241,0
Kalamazoo,77051,237,770,836,1,1,51554,331,51554,77051,770,237,836,331,2
Kalkaska,3780,31,53,65,0,0,4527,43,4527,3780,53,31,65,43,0
Kent,149909,493,1635,1632,9,1,148336,1220,148336,149909,1635,493,1632,1220,10
Keweenaw,610,2,8,20,0,0,756,14,756,610,8,2,20,14,0
Lake,2919,12,29,48,0,0,2269,15,2269,2919,29,12,48,15,0
Lapeer,21457,96,317,403,0,0,22831,258,22831,21457,317,96,403,258,0
Leelanau,7355,32,58,56,0,0,6938,25,6938,7355,58,32,56,25,0
