county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GUILIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_NADER,gen_lib_BARR,gen_ref_WEILL,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,grn_general_total,cst_general_total,ind_general_total,ref_general_total
Adams,13,1539,9,48,10,21,4714,9,4,137,3,5,1028,111,30,2,9,44,18042,12,60,94,8,13132,1329,6363,13132,18042,94,12,44,60,8
Alcorn,31,3732,10,68,3,5,1061,15,2,176,5,13,910,50,15,1,9,74,8260,36,280,90,14,21610,1181,4925,21610,8260,90,36,74,280,14
Amite,27,930,13,31,13,6,1754,31,5,136,0,6,810,12,22,1,9,32,6696,16,38,18,10,8490,1001,2805,8490,6696,18,16,32,38,10
Attala,24,1393,12,43,7,8,2050,17,6,76,1,7,575,10,4,9,0,34,7698,12,34,36,6,10546,688,3554,10546,7698,36,12,34,34,6
Benton,15,907,4,24,3,6,675,6,0,31,0,2,116,2,0,0,3,60,4454,12,60,28,4,4658,154,1640,4658,4454,28,12,60,60,4
Bolivar,20,1421,11,27,8,22,5156,12,2,34,0,0,276,10,4,0,6,88,20668,32,56,106,30,9782,332,6677,9782,20668,106,32,88,56,30
Calhoun,25,1447,4,36,3,11,1187,22,1,132,1,7,653,22,4,0,5,20,5044,12,32,18,8,8934,825,2735,8934,5044,18,12,20,32,8
Chickasaw,20,1670,7,57,6,9,2235,16,3,89,1,4,541,14,6,0,11,42,9176,10,60,30,8,8790,669,4020,8790,9176,30,10,42,60,8
Choctaw,9,636,3,32,4,5,780,11,3,92,1,4,455,11,3,0,7,14,2918,10,38,20,8,5248,576,1480,5248,2918,20,10,14,38,8
Claiborne,10,484,7,20,4,10,2262,17,0,7,0,0,34,1,0,2,0,16,9364,4,0,24,2,1496,44,2814,1496,9364,24,4,16,0,2
Clarke,11,947,5,18,4,8,1787,12,9,132,1,5,869,28,6,1,5,22,6242,8,42,16,6,10458,1056,2792,10458,6242,16,8,22,42,6
