county,pri_dem_CLINTON,pri_dem_OBAMA,pri_rep_MCCAIN,pri_rep_PAUL,gen_cst_PAUL,gen_dem_OBAMA,gen_ind_NADER,gen_lib_BARR,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,cst_general_total,ind_general_total
Beaverhead,413,771,1385,285,86,1617,38,14,3008,1725,1210,3008,1617,14,86,38
Big Horn,567,2156,441,70,37,3516,33,4,1628,520,2761,1628,3516,4,37,33
Blaine,568,700,308,89,53,1702,22,8,1139,408,1324,1139,1702,8,53,22
Broadwater,386,456,748,124,12,365,10,6,756,890,887,756,365,6,12,10
Carbon,942,1252,905,259,130,2443,45,20,3108,1192,2241,3108,2443,20,130,45
Carter,52,70,215,86,25,111,2,4,573,314,128,573,111,4,25,2
Cascade,7290,7892,4893,857,502,17664,286,79,16857,5845,15786,16857,17664,79,502,286
Chouteau,397,441,860,212,53,1122,44,8,1634,1150,855,1634,1122,8,53,44
Custer,1084,862,1013,133,65,2267,54,19,3047,1165,2001,3047,2267,19,65,54
Daniels,208,168,209,71,20,343,14,2,694,287,403,694,343,2,20,14
Dawson,786,643,950,269,126,1593,59,15,2639,1263,1492,2639,1593,15,126,59
Deer Lodge,1753,1142,374,57,86,3402,68,16,1502,440,2980,1502,3402,16,86,68
Fallon,147,163,433,103,34,318,15,1,1064,572,323,1064,318,1,34,15
Fergus,758,948,1440,370,128,1933,42,21,4108,1859,1758,4108,1933,21,128,42
Flathead,4118,6656,7813,3691,1683,16138,242,92,25559,11779,10977,25559,16138,92,1683,242
Gallatin,4186,10555,4837,1501,978,24205,257,137,22578,6463,14891,22578,24205,137,978,257
Garfield,68,65,318,50,13,110,4,2,598,372,143,598,110,2,13,4
Glacier,1290,1552,307,53,50,3423,36,10,1451,374,2951,1451,3423,10,50,36
Golden Valley,65,77,99,52,19,124,3,2,343,155,152,343,124,2,19,3
Granite,262,325,347,88,79,601,15,7,1013,445,599,1013,601,7,79,15
Hill,1285,1513,548,157,133,3596,79,29,2787,718,2890,2787,3596,29,133,79
Jefferson,995,1382,1140,314,162,2582,43,15,3538,1479,2426,3538,2582,15,162,43
Judith Basin,206,230,299,68,21,397,11,6,801,384,450,801,397,6,21,11
Lake,2273,2948,2165,1114,535,6766,86,28,6498,3331,5298,6498,6766,28,535,86
Lewis & Clark,5793,9095,4413,884,473,17114,218,102,14966,5415,15231,14966,17114,102,473,218
Liberty,177,162,264,78,28,367,10,2,594,361,355,594,367,2,28,10
Lincoln,892,1167,1867,847,389,3025,65,44,5704,2840,2109,5704,3025,44,389,65
Madison,436,815,1099,211,85,1607,34,19,2822,1340,1295,2822,1607,19,85,34
McCone,161,169,224,83,35,321,8,1,726,307,330,726,321,1,35,8
Meagher,107,175,249,44,23,298,7,14,624,302,314,624,298,14,23,7
Mineral,384,420,292,145,66,845,26,5,1053,451,833,1053,845,5,66,26
Missoula,8155,16749,4215,1245,1184,36531,455,162,20743,5539,25251,20743,36531,162,1184,455
Musselshell,265,222,681,203,54,636,22,13,1581,923,498,1581,636,13,54,22
Park,1102,2269,1509,635,239,4173,77,27,4376,2181,3444,4376,4173,27,239,77
Petroleum,38,27,66,22,3,68,1,1,227,90,69,227,68,1,3,1
Phillips,337,331,423,48,38,638,14,10,1423,482,697,1423,638,10,38,14
Pondera,480,640,712,126,36,1223,31,7,1588,868,1156,1588,1223,7,36,31
Powder River,52,59,442,124,12,208,13,3,802,584,114,802,208,3,12,13
Powell,410,504,659,154,79,1021,25,6,1683,840,933,1683,1021,6,79,25
Prairie,122,90,221,59,14,211,5,2,503,294,227,503,211,2,14,5
Ravalli,2759,3846,4439,1331,493,8400,124,64,13002,5942,6720,13002,8400,64,493,124
Richland,534,465,1014,196,68,1203,45,16,3184,1210,999,3184,1203,16,68,45
Roosevelt,687,973,381,89,59,2564,44,10,1473,483,1726,1473,2564,10,59,44
Rosebud,663,897,408,90,84,1919,28,11,1768,505,1629,1768,1919,11,84,28
Sanders,723,852,1440,650,240,1970,49,27,3563,2163,1641,3563,1970,27,240,49
Sheridan,386,333,290,36,34,953,25,7,987,333,755,987,953,7,34,25
Silver Bow,5578,4614,1541,290,256,11676,180,35,4818,1887,10458,4818,11676,35,256,180
Stillwater,722,845,970,220,114,1512,38,12,2991,1216,1628,2991,1512,12,114,38
Sweet Grass,204,251,591,142,34,541,11,3,1494,747,468,1494,541,3,34,11
Teton,487,588,911,207,58,1294,32,14,1874,1181,1112,1874,1294,14,58,32
Toole,457,392,402,96,38,737,18,11,1317,514,876,1317,737,11,38,18
Treasure,85,94,109,24,5,156,6,5,314,135,187,314,156,5,5,6
Valley,834,758,559,148,94,1645,35,16,2121,721,1683,2121,1645,16,94,35
Wheatland,163,158,198,53,23,289,9,3,657,258,334,657,289,3,23,9
Wibaux,53,49,158,95,25,146,9,2,379,268,105,379,146,2,25,9
Yellowstone,11544,12198,9997,1958,1225,32038,514,156,36483,12220,24318,36483,32038,156,1225,514
