county,pri_rep_MCCAIN,pri_rep_PAUL,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_NADER,gen_lib_BARR,gen_rep_MCCAIN
Bernalillo,35706,6417,501,171556,481,1779,940,110521
Catron,399,143,20,664,6,14,10,1398
Chaves,5251,613,35,8197,34,141,54,13651
Cibola,736,128,31,5827,23,73,12,3131
Colfax,688,108,10,3490,12,58,9,2805
Curry,2456,211,23,4670,21,92,33,9599
De Baca,187,30,0,359,0,7,2,676
Dona Ana,5710,811,105,40282,138,466,221,28068
Eddy,2796,226,41,7351,28,114,59,12500
Grant,1224,223,41,8142,34,92,40,5406
Guadalupe,157,19,1,1557,6,10,2,620
Harding,143,19,0,260,3,5,0,358
Hidalgo,267,36,5,993,4,9,4,936
Lea,3727,273,32,5108,30,89,39,13347
Lincoln,2201,380,39,3535,16,70,35,6001
Los Alamos,1795,351,19,5824,17,77,68,5064
Luna,1019,190,41,4311,13,67,38,3870
McKinley,1218,212,44,16572,59,113,37,6382
Mora,177,14,0,2168,7,13,3,569
Otero,3830,559,76,8610,34,159,81,12806
Quay,443,71,2,1547,13,48,19,2367
Rio Arriba,623,97,11,12703,23,99,18,4086
Roosevelt,1127,148,19,2303,15,47,25,4311
San Juan,5636,1202,118,32669,102,370,178,25193
San Miguel,6283,972,105,18028,82,312,115,27869
Sandoval,525,75,12,10320,40,74,17,2478
Santa Fe,3729,716,106,55567,148,408,187,15807
Sierra,1118,117,17,2352,14,66,19,3017
Socorro,1014,206,27,4696,31,68,41,3032
Taos,732,113,15,13816,46,109,34,2866
Torrance,1127,243,25,3087,15,54,25,3735
Union,247,33,5,492,4,11,3,1227
Valencia,3087,605,71,15366,53,213,60,13136
