county,pri_dem_CLINTON,pri_dem_EDWARDS,pri_dem_OBAMA,pri_rep_HUCKABEE,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_THOMPSON,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_ALLEN,gen_ind_DUNCAN,gen_ind_GERMALIC,gen_ind_KEYES,gen_ind_NADER,gen_ind_ROBERTSON,gen_ind_SCHRINER,gen_lib_BARR,gen_rep_MCCAIN,gen_soc_MOORE,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,cst_general_total,soc_general_total,grn_general_total,ind_general_total
Adams,2829,145,829,1482,1492,75,104,67,51,4170,29,0,30,0,0,131,0,0,38,6914,25,3220,3803,6914,4170,38,51,25,29,161
Allen,7200,350,6801,4067,6813,848,738,323,123,19522,75,0,26,0,0,362,0,0,196,29940,19,12789,14351,29940,19522,196,123,19,75,388
Ashland,3913,153,2587,2687,3342,544,338,180,243,9300,76,0,31,0,0,225,0,1,117,15158,17,7091,6653,15158,9300,117,243,17,76,257
Ashtabula,13231,412,6375,2769,3818,682,329,214,129,25027,71,0,42,0,0,456,0,1,174,18949,25,7812,20018,18949,25027,174,129,25,71,499
Athens,7590,362,7396,1018,1771,408,108,71,109,20722,85,0,19,0,0,263,0,2,140,9742,16,3376,15348,9742,20722,140,109,16,85,284
Auglaize,3008,185,2085,1742,2615,490,282,124,53,6738,31,0,17,0,0,169,0,0,87,16414,7,5253,5278,16414,6738,87,53,7,31,186
Belmont,14204,932,4636,1283,2175,132,201,213,70,16302,52,0,32,0,1,402,0,1,104,15422,25,4004,19772,15422,16302,104,70,25,52,436
Brown,5487,277,1947,1945,2307,199,177,91,50,7503,32,0,26,0,0,220,0,0,84,12192,6,4719,7711,12192,7503,84,50,6,32,246
Butler,27599,589,22824,13758,19825,1179,1807,845,327,66030,222,0,104,0,6,1039,0,0,642,105341,66,37414,51012,105341,66030,642,327,66,222,1149
Carroll,3663,232,1731,1308,1839,275,166,103,73,6423,45,0,25,0,0,213,0,0,64,7097,13,3691,5626,7097,6423,64,73,13,45,238
Champaign,3613,164,2294,2350,3231,238,236,152,33,7385,35,0,18,0,0,196,0,0,70,11141,9,6207,6071,11141,7385,70,33,9,35,214
Clark,16066,511,10693,5860,8491,482,510,267,130,31958,110,0,35,0,0,661,0,0,217,33634,25,15610,27270,33634,31958,217,130,25,110,696
Clermont,16488,438,10399,9204,14530,1181,1339,683,169,31611,122,0,44,0,1,599,0,0,362,62559,13,26937,27325,62559,31611,362,169,13,122,644
Clinton,3321,101,1874,2362,2973,196,183,123,34,6558,21,0,11,0,0,197,0,0,67,12409,8,5837,5296,12409,6558,67,34,8,21,208
Columbiana,14741,579,5555,3293,4616,712,455,267,135,21882,94,7,64,0,2,545,0,0,143,25585,30,9343,20875,25585,21882,143,135,30,94,618
Coshocton,4128,190,1997,1638,2256,235,159,106,74,7689,65,0,33,0,0,221,0,0,86,8675,20,4394,6315,8675,7689,86,74,20,65,254
Crawford,4144,229,2375,1784,2307,214,268,122,80,8289,71,0,37,0,0,242,0,0,105,12316,34,4695,6748,12316,8289,105,80,34,71,279
Cuyahoga,160053,3512,190902,12856,40382,3358,3158,1172,820,458422,711,3,216,1,41,3616,0,21,1477,199880,144,60926,354467,199880,458422,1477,820,144,711,3898
Darke,3985,197,2738,2603,3406,285,261,159,59,7964,69,0,26,0,0,273,0,0,97,17290,15,6714,6920,17290,7964,97,59,15,69,299
Defiance,3318,164,2456,1577,2336,320,243,140,91,8399,37,0,14,0,2,154,0,0,81,10407,12,4616,5938,10407,8399,81,91,12,37,170
Delaware,14495,240,14873,6714,14132,1141,1067,438,153,36653,77,3,36,0,3,359,0,2,339,54778,16,23492,29608,54778,36653,339,153,16,77,403
Erie,9938,304,7523,1823,3435,317,341,129,70,23148,56,0,39,0,0,349,0,0,125,17432,10,6045,17765,17432,23148,125,70,10,56,388
Fairfield,14721,482,9623,6942,12062,1057,814,521,160,29250,109,0,51,0,1,493,0,1,267,41580,34,21396,24826,41580,29250,267,160,34,109,546
Fayette,2511,76,1057,1400,2041,110,140,86,13,4401,19,0,9,0,0,103,0,0,44,7102,3,3777,3644,7102,4401,44,13,3,19,112
Franklin,96503,1960,130498,23929,47142,4594,4960,2468,900,334709,689,0,233,0,22,2993,0,8,2128,218486,157,83093,228961,218486,334709,2128,900,157,689,3256
Fulton,4149,94,2536,2104,2583,323,297,171,73,9900,38,0,17,0,2,167,0,0,72,11689,15,5478,6779,11689,9900,72,73,15,38,186
