county,gen_dem_OBAMA,gen_rep_MCCAIN,rep_general_total,dem_general_total
Adair,2052,4638,4638,2052
Alfalfa,411,2023,2023,411
Atoka,1370,3511,3511,1370
Beaver,265,2199,2199,265
Beckham,1625,5772,5772,1625
Blaine,1011,3101,3101,1011
Bryan,4426,9307,9307,4426
Caddo,3404,6413,6413,3404
Canadian,11426,36428,36428,11426
Carter,5603,13241,13241,5603
Cherokee,7194,9186,9186,7194
Choctaw,1860,3730,3730,1860
Cimarron,152,1119,1119,152
Cleveland,39681,64749,64749,39681
Coal,600,1672,1672,600
Comanche,14120,20127,20127,14120
Cotton,690,1793,1793,690
Craig,2073,3858,3858,2073
Creek,8318,20187,20187,8318
Custer,2660,7842,7842,2660
Delaware,5085,10277,10277,5085
Dewey,346,1857,1857,346
Ellis,282,1627,1627,282
Garfield,5545,17067,17067,5545
Garvin,3028,7710,7710,3028
Grady,5520,15195,15195,5520
Grant,514,1836,1836,514
Greer,566,1548,1548,566
Harmon,333,757,757,333
Harper,221,1342,1342,221
Haskell,1474,3207,3207,1474
Hughes,1709,3134,3134,1709
Jackson,2264,6719,6719,2264
Jefferson,805,1652,1652,805
Johnston,1249,2708,2708,1249
Kay,5463,13230,13230,5463
Kingfisher,1009,5372,5372,1009
Kiowa,1226,2537,2537,1226
Latimer,1313,2860,2860,1313
Leflore,5136,11605,11605,5136
Lincoln,3504,10470,10470,3504
Logan,5717,12556,12556,5717
Love,1257,2589,2589,1257
Major,515,2956,2956,515
Marshall,1643,3730,3730,1643
Mayes,5749,10234,10234,5749
Mcclain,3551,11193,11193,3551
Mccurtain,2794,7745,7745,2794
Mcintosh,3320,4903,4903,3320
Murray,1592,3746,3746,1592
Muskogee,11294,15289,15289,11294
Noble,1174,3881,3881,1174
Nowata,1411,3031,3031,1411
Okfuskee,1480,2643,2643,1480
Oklahoma,116182,163172,163172,116182
Okmulgee,6191,8727,8727,6191
Osage,7498,12160,12160,7498
Ottawa,4268,6905,6905,4268
Pawnee,2063,4533,4533,2063
Payne,10601,18435,18435,10601
Pittsburg,5457,11752,11752,5457
Pontotoc,4512,9750,9750,4512
Pottawatomie,7910,17753,17753,7910
Pushmataha,1265,3208,3208,1265
Roger Mills,287,1502,1502,287
Rogers,10772,27743,27743,10772
Seminole,2977,5600,5600,2977
Sequoyah,4454,9466,9466,4454
Stephens,4538,14394,14394,4538
Texas,923,5336,5336,923
Tillman,1042,2195,2195,1042
Tulsa,96133,158363,158363,96133
Wagoner,8810,21441,21441,8810
Washington,6308,16457,16457,6308
Washita,1052,3724,3724,1052
Woods,873,3043,3043,873
Woodward,1350,6404,6404,1350
