county,pri_dem_CLINTON,pri_dem_OBAMA,pri_rep_MCCAIN,pri_rep_MISC,pri_rep_PAUL,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_lib_BARR,gen_pro_NADER,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,cst_general_total,grn_general_total,pro_general_total
Baker,1089,1117,2229,115,446,55,2805,23,51,106,5650,2790,2290,5650,2805,51,55,23,106
Benton,5530,12647,6007,337,1155,169,29901,169,214,427,15264,7499,18288,15264,29901,214,169,169,427
Clackamas,28149,33606,30211,1749,5233,692,103476,284,717,1750,83595,37193,62198,83595,103476,717,692,284,1750
Clatsop,3266,3809,2722,177,480,70,10701,68,101,249,7192,3379,7149,7192,10701,101,70,68,249
Columbia,4789,4324,3395,190,759,202,13390,74,123,307,10413,4344,9237,10413,13390,123,202,74,307
Coos,5732,4925,5584,400,1370,204,14401,103,163,422,15354,7354,10930,15354,14401,163,204,103,422
Crook,1389,1243,2624,141,325,37,3632,24,55,157,6371,3090,2694,6371,3632,55,37,24,157
Curry,1657,1822,2778,176,628,83,5230,26,57,174,6646,3582,3567,6646,5230,57,83,26,174
Deschutes,8479,13441,15254,706,2031,259,38819,129,305,702,39064,17991,22159,39064,38819,305,259,129,702
Douglas,7730,7331,13558,703,2798,320,20298,128,217,561,30919,17059,15390,30919,20298,217,320,128,561
Gilliam,148,184,301,13,39,6,430,2,2,16,648,353,338,648,430,2,6,2,16
Grant,300,425,982,36,252,39,1006,2,15,30,2785,1270,773,2785,1006,15,39,2,30
Harney,365,351,1146,38,157,21,950,10,29,51,2595,1341,758,2595,950,29,21,10,51
Hood River,1469,2256,1711,74,239,44,6302,21,31,112,3265,2024,3756,3265,6302,31,44,21,112
Jackson,12080,18382,17895,1126,3550,601,49090,224,425,844,49043,22571,30788,49043,49090,425,601,224,844
Jefferson,1085,1161,1828,69,263,37,3682,21,22,100,4402,2160,2273,4402,3682,22,37,21,100
Josephine,5199,5355,8678,482,2345,379,17412,135,234,492,22973,11505,10778,22973,17412,234,379,135,492
Klamath,3512,2995,8160,344,1157,178,9370,68,174,300,19113,9661,6752,19113,9370,174,178,68,300
Lake,364,327,1105,60,128,19,957,11,11,38,2638,1293,720,2638,957,11,19,11,38
Lane,27181,46059,26636,1350,4523,590,114037,534,754,1836,63835,32509,73891,63835,114037,754,590,534,1836
Lincoln,4479,5187,4023,190,629,83,14258,73,127,334,8791,4842,9766,8791,14258,127,83,73,334
Linn,7514,7352,9742,442,1470,287,22163,134,237,625,28071,11654,15050,28071,22163,237,287,134,625
Malheur,971,823,2617,125,561,81,2949,28,57,85,7157,3303,1848,7157,2949,57,81,28,85
Marion,18171,21602,25631,1423,4018,551,61816,328,528,1257,59059,31072,40184,59059,61816,528,551,328,1257
Morrow,577,354,794,33,222,33,1410,9,23,43,2509,1049,959,2509,1410,23,33,9,43
Multnomah,56945,110280,27008,2152,5147,904,279696,1207,1195,4166,75171,34307,168107,75171,279696,1195,904,1207,4166
Polk,4867,6083,7476,372,1346,184,17536,79,116,320,17714,9194,11052,17714,17536,116,184,79,320
Sherman,156,115,309,12,51,6,385,1,5,8,634,372,282,634,385,5,6,1,8
Tillamook,2503,2475,2532,119,526,59,7072,42,58,197,5757,3177,5056,5757,7072,58,59,42,197
Umatilla,3170,2606,5079,215,814,166,9484,56,113,245,15254,6108,5907,15254,9484,113,166,56,245
Union,1498,1887,3235,152,672,85,4613,23,63,119,7581,4059,3468,7581,4613,63,85,23,119
Wallowa,454,643,1262,49,367,30,1492,6,24,35,2836,1678,1147,2836,1492,24,30,6,35
Wasco,1927,1993,2078,95,408,61,5906,31,46,140,5103,2581,3978,5103,5906,46,61,31,140
Washington,31098,45426,32786,2225,5467,895,141544,379,1148,1892,89185,40478,77018,89185,141544,1148,895,379,1892
Wheeler,114,109,214,12,43,5,281,1,9,11,498,269,231,498,281,9,5,1,11
Yamhill,0,0,8291,593,1481,258,20797,90,186,463,21390,10365,0,21390,20797,186,258,90,463
