county,pri_dem_CLINTON,pri_dem_OBAMA,pri_rep_HUCKABEE,pri_rep_MCCAIN,pri_rep_PAUL,gen_dem_OBAMA,gen_ind_NADER,gen_lib_BARR,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,ind_general_total
Adams,6567,4733,1201,6561,1693,17633,355,154,26349,9455,11300,26349,17633,154,355
Allegheny,169707,142361,5153,42509,9280,373153,3927,2009,272347,56942,312068,272347,373153,2009,3927
Armstrong,7246,2888,792,4410,815,11138,263,138,18542,6302,10281,18542,11138,138,263
Beaver,28331,12278,1309,6895,1565,40499,826,268,42895,10517,41071,42895,40499,268,826
Bedford,3711,1582,1027,4103,430,6059,164,96,16124,5560,5293,16124,6059,96,164
Berks,36064,26111,2403,14731,5869,97047,1614,826,80513,23003,62175,80513,97047,826,1614
Blair,8876,4827,1979,8564,1576,19813,335,246,32708,12485,13790,32708,19813,246,335
Bradford,3877,2014,1203,6007,939,10306,302,122,15057,8545,5961,15057,10306,122,302
Bucks,71757,42860,2941,29148,5868,179031,2405,1240,150248,37957,114617,150248,179031,1240,2405
Butler,15278,8864,2248,12557,2313,32260,722,369,57074,17555,24337,57074,32260,369,722
Cambria,23572,9251,1405,6895,1077,32451,905,319,31995,9377,32823,31995,32451,319,905
Cameron,409,281,106,532,46,879,34,9,1323,700,699,1323,879,9,34
Carbon,7922,2818,418,2377,464,13464,379,123,12957,3353,10767,12957,13464,123,379
Centre,9789,14749,1913,10664,2093,41950,488,333,32992,15145,24643,32992,41950,333,488
Chester,32722,40301,2681,26934,4933,137833,1230,870,114421,35749,73188,114421,137833,870,1230
Clarion,3417,1728,852,3733,782,6756,169,104,10737,5600,5266,10737,6756,104,169
Clearfield,8167,3764,1474,6062,948,14555,443,153,18662,8887,12091,18662,14555,153,443
Clinton,3622,1679,431,2282,338,7097,136,54,7504,3051,5301,7504,7097,54,136
Columbia,5545,3650,643,3101,824,13230,264,92,14477,4795,9309,14477,13230,92,264
Crawford,7360,4398,1309,5169,1904,16780,437,167,20750,8382,11758,20750,16780,167,437
Cumberland,15840,14241,2397,16309,4504,48306,789,470,63739,23840,30262,63739,48306,470,789
Dauphin,18369,25618,2659,16034,4754,69975,816,500,58238,23447,43987,58238,69975,500,816
Delaware,43028,53979,3151,40631,6899,178870,1955,906,115273,51198,97161,115273,178870,906,1955
Elk,4159,2257,407,2119,310,7290,220,85,6676,3098,6523,6676,7290,85,220
Erie,34729,20419,2834,11913,2844,75775,1167,398,50351,17591,55148,50351,75775,398,1167
Fayette,23095,6207,610,3292,541,25866,456,157,26081,4443,29302,26081,25866,157,456
Forest,613,284,103,616,114,1038,30,10,1366,876,910,1366,1038,10,30
Franklin,7891,5468,2432,11145,1703,21169,370,196,41906,15280,13359,41906,21169,196,370
Fulton,962,453,274,921,99,1576,57,31,4642,1294,1415,4642,1576,31,57
Greene,6282,2047,264,1442,213,7829,219,39,7889,1919,8329,7889,7829,39,219
Huntingdon,2957,1771,869,3192,514,6621,196,70,11745,4803,4814,11745,6621,70,196
Indiana,7901,4452,986,4468,843,17065,357,153,19727,6297,12353,19727,17065,153,357
Jefferson,3177,1841,854,3912,551,6447,192,106,12057,5551,5103,12057,6447,106,192
