county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_CORT,pri_rep_COX,pri_rep_FENDIG,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_con_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_lib_BARR,gen_non_NADER,gen_pet_NADER,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,grn_general_total,con_general_total,pet_general_total,non_general_total
ABBEVILLE,6,738,1,802,2,2,2006,1,1,0,0,11,907,3,541,104,207,0,359,55,4593,26,25,0,38,6264,2133,3558,6264,4593,25,26,55,38,0
AIKEN,18,4901,11,1866,10,15,7768,29,3,2,2,435,5901,36,6379,822,2639,2,2081,0,0,160,158,0,0,42849,18302,14618,42849,0,158,160,0,0,0
FAIRFIELD,6,996,2,537,2,7,3410,9,1,0,0,24,439,1,502,52,224,1,259,35,7591,32,27,0,22,3912,1503,4969,3912,7591,27,32,35,22,0
FLORENCE,17,3700,7,2222,3,16,10768,19,1,1,0,170,4157,17,3586,293,1499,4,1548,125,28012,109,151,0,115,29861,11276,16752,29861,28012,151,109,125,115,0
GEORGETOWN,11,1951,6,1573,4,14,5334,16,1,2,0,202,1452,12,2603,108,1352,2,911,61,14199,83,89,0,68,15790,6645,8909,15790,14199,89,83,61,68,0
GREENVILLE,56,11918,13,9047,19,49,21532,43,11,9,2,893,16853,240,15346,2946,10231,12,12495,1566,70886,423,893,526,0,116363,59038,42677,116363,70886,893,423,1566,0,526
GREENWOOD,12,1528,4,1436,5,8,4373,22,0,2,0,98,2317,25,2279,220,854,2,1065,97,12348,58,100,0,69,16995,6862,7388,16995,12348,100,58,97,69,0
HAMPTON,7,726,4,362,2,2,2232,6,0,3,0,18,352,0,337,17,59,0,65,18,5816,28,34,0,15,3439,851,3341,3439,5816,34,28,18,15,0
HORRY,20,9983,21,7249,14,29,8541,23,3,2,0,895,7238,46,8369,677,4737,10,3608,273,38879,269,367,0,401,64609,25585,25880,64609,38879,367,269,273,401,0
JASPER,7,577,2,190,4,1,2285,10,0,1,0,28,440,1,347,21,142,1,83,17,5389,35,32,0,16,3365,1064,3076,3365,5389,32,35,17,16,0
KERSHAW,5,2285,2,1505,2,5,4353,12,0,1,0,85,2177,14,2519,238,863,1,993,65,11226,68,105,0,55,16466,6891,8169,16466,11226,105,68,65,55,0
LANCASTER,10,2318,5,1678,4,8,3505,10,1,1,0,90,1974,18,1294,164,500,3,979,72,12139,79,108,0,82,16441,5024,7538,16441,12139,108,79,72,82,0
LAURENS,7,1599,0,1719,1,6,3639,8,1,1,1,55,2258,13,1894,213,520,1,1014,129,10578,61,106,0,74,15334,5971,6979,15334,10578,106,61,129,74,0
LEE,12,650,4,427,3,5,2673,6,30,0,0,11,312,3,284,64,59,0,143,35,5960,30,33,0,21,3074,906,3780,3074,5960,33,30,35,21,0
LEXINGTON,23,7887,5,5591,14,22,9303,16,3,8,1,659,9946,52,11450,1120,5648,7,5610,304,33303,236,423,0,286,74960,34504,22861,74960,33303,423,236,304,286,0
MARION,13,955,3,786,4,8,4633,16,0,1,0,19,638,2,575,31,174,0,183,29,9608,47,48,0,26,5416,1623,6418,5416,9608,48,47,29,26,0
MARLBORO,3,1000,0,760,4,3,2501,7,1,0,1,10,305,0,255,25,78,0,82,20,6794,25,24,0,17,3996,757,4278,3996,6794,24,25,20,17,0
MCCORMICK,5,382,4,186,1,1,1195,1,0,2,0,33,237,5,411,21,231,0,181,8,2755,15,9,0,8,2437,1121,1775,2437,2755,9,15,8,8,0
NEWBERRY,4,1200,2,1120,1,6,2209,9,0,1,0,60,918,4,1468,102,496,1,659,34,6708,43,68,0,55,9616,3709,4551,9616,6708,68,43,34,55,0
OCONEE,4,2106,2,3257,3,4,1884,5,1,1,1,128,3084,5,3385,330,1246,3,1037,132,9481,91,146,0,118,21164,9221,7265,21164,9481,146,91,132,118,0
ORANGEBURG,31,4581,10,1634,9,19,12373,30,3,0,0,60,1452,7,1813,149,501,0,605,85,27263,126,102,0,63,12115,4590,18687,12115,27263,102,126,85,63,0
PICKENS,11,2521,2,2815,2,13,2904,5,4,1,0,153,5769,36,4068,701,1439,5,2485,375,11691,108,243,0,159,32552,14661,8273,32552,11691,243,108,375,159,0
RICHLAND,70,14888,16,6192,19,58,42146,72,3,3,2,760,6251,44,10975,1048,5509,4,4080,298,105656,305,516,0,321,57941,28679,63461,57941,105656,516,305,298,321,0
SALUDA,8,662,3,465,2,1,1279,1,0,2,0,20,601,1,794,73,201,0,282,20,3323,28,19,0,22,5191,1974,2421,5191,3323,19,28,20,22,0
SPARTANBURG,16,7719,10,6326,8,19,11250,21,1,5,1,482,10297,139,8233,1129,3976,4,5894,705,41632,268,380,0,301,65042,30161,25369,65042,41632,380,268,705,301,0
SUMTER,17,2870,5,1294,5,7,10765,15,0,0,1,90,2875,6,2351,143,862,5,1234,102,25431,74,92,0,78,18581,7567,14978,18581,25431,92,74,102,78,0
UNION,6,908,0,1224,2,1,2048,10,0,1,0,10,861,5,541,58,167,0,418,50,5935,44,37,0,36,7449,2061,4199,7449,5935,37,44,50,36,0
WILLIAMSBURG,10,1266,9,578,5,12,5380,15,0,1,0,13,581,0,676,18,115,0,118,60,11279,50,41,0,9,5004,1522,7275,5004,11279,41,50,60,9,0
YORK,41,6967,10,3250,11,23,9020,21,2,6,3,481,7498,68,4968,824,2237,6,4690,258,37918,174,527,0,319,54500,20783,19343,54500,37918,527,174,258,319,0
