county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_ind_BALDWIN,gen_ind_BARR,gen_ind_JAY,gen_ind_MCKINNEY,gen_ind_MOORE,gen_ind_NADER,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,ind_general_total
ANDERSON,19,4887,7,445,11,15,2559,30,98,2369,7,19,2314,499,1547,3,187,11396,134,146,9,24,11,175,19675,7053,8001,19675,11396,499
BEDFORD,11,2934,4,204,2,3,900,8,17,1230,5,7,885,143,798,1,89,5027,76,51,4,17,11,104,10217,3181,4092,10217,5027,263
BENTON,16,2200,5,421,10,1,368,17,5,307,0,1,301,59,120,0,36,2645,38,21,2,16,5,56,3696,829,3098,3696,2645,138
BLEDSOE,10,1399,0,132,1,1,195,6,8,577,4,3,387,51,162,0,37,1517,27,17,6,10,9,32,3166,1231,1769,3166,1517,101
BLOUNT,20,5719,6,397,4,18,3090,17,157,5144,29,31,4920,1242,3010,0,382,15253,245,239,23,41,13,260,35571,14963,9305,35571,15253,821
BRADLEY,12,4139,5,377,7,1,1625,10,88,5887,7,8,3102,583,1623,1,257,9357,134,127,14,45,24,157,28333,11564,6186,28333,9357,501
CAMPBELL,17,2854,4,122,2,2,326,7,23,1007,6,2,833,73,480,1,56,3867,61,34,5,18,9,99,8535,2487,3351,8535,3867,226
CANNON,6,1572,1,119,2,0,264,1,4,379,4,0,362,93,281,0,38,2011,29,27,2,11,5,50,3322,1162,1980,3322,2011,124
CARROLL,9,1982,6,157,1,5,709,1,17,767,2,3,765,93,324,1,65,3980,55,37,7,19,7,86,7455,2041,2875,7455,3980,211
CARTER,4,2367,4,189,2,3,747,7,70,3178,5,10,2421,405,1192,4,261,5587,77,80,10,31,21,111,15852,7582,3335,15852,5587,330
