county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_CORT,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_THOMPSON,pri_rep_TRAN,gen_dem_OBAMA,gen_lib_BARR,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_HILL,gen_wri_KEYES,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,wri_general_total
ANDERSON,11,2975,9,87,2182,41,1,8,1816,9,12,2101,156,34,28,0,4630,115,11884,0,10,0,5,0,0,11,4203,5305,11884,4630,115,26
ANDREWS,10,674,10,82,448,29,1,4,446,2,5,480,15,13,14,1,790,18,3816,1,4,0,0,0,0,0,983,1253,3816,790,18,5
ANGELINA,53,7714,33,387,4329,70,12,20,2389,12,14,2254,146,69,39,2,9379,189,19569,0,9,0,1,0,0,6,4985,12586,19569,9379,189,16
ARANSAS,2,1402,1,22,1018,14,1,33,882,9,15,2667,300,86,40,7,3006,79,6693,0,0,0,0,0,0,0,4195,2459,6693,3006,79,0
ARCHER,7,785,6,36,296,12,1,9,458,5,3,742,26,20,8,1,740,26,3595,0,1,0,0,0,0,3,1289,1142,3595,740,26,4
ARMSTRONG,0,0,0,0,0,0,0,4,226,4,4,194,59,5,5,1,128,6,856,0,0,0,0,0,0,0,525,0,856,128,6,0
ATASCOSA,16,3451,15,101,1971,35,2,8,740,2,8,923,54,21,16,0,4415,47,5462,0,3,0,2,0,0,9,1785,5589,5462,4415,47,14
AUSTIN,2,1745,1,20,1218,5,0,6,1166,69,23,1413,159,46,17,0,2821,72,8786,0,6,19,4,1,0,12,2932,2991,8786,2821,72,42
BAILEY,2,306,0,14,175,10,0,2,266,0,0,376,13,9,4,0,682,14,1618,1,0,0,0,0,0,1,682,507,1618,682,14,2
BANDERA,1,954,4,15,783,10,3,25,1155,12,41,2312,241,73,41,2,2250,83,6935,0,21,0,0,2,0,6,4074,1767,6935,2250,83,29
BASTROP,25,5573,13,198,5409,41,3,18,1759,10,24,2085,613,65,49,1,11687,318,13817,1,46,0,8,6,0,35,4684,11259,13817,11687,318,96
BAYLOR,5,613,1,95,186,10,0,0,45,0,1,82,3,0,0,0,366,15,1262,0,0,0,0,0,0,0,132,910,1262,366,15,0
BEE,30,2724,16,169,1429,49,0,9,326,0,3,513,34,9,8,1,3645,39,4471,0,0,0,1,0,0,1,915,4417,4471,3645,39,2
BELL,30,9837,10,150,14193,28,8,55,5639,74,98,10451,803,300,177,3,40413,542,49242,0,48,1,18,12,0,58,17906,24248,49242,40413,542,137
BEXAR,270,114391,259,868,87583,786,35,271,23971,151,399,39329,2763,1529,497,21,275527,3602,246275,1,120,0,17,19,1,153,69663,204157,246275,275527,3602,311
BLANCO,2,675,1,13,698,3,1,5,418,3,8,483,93,32,9,0,1467,33,3418,1,15,0,0,0,1,4,1059,1392,3418,1467,33,21
BORDEN,1,93,0,9,32,4,0,0,0,0,0,0,0,0,0,0,40,5,316,0,0,0,0,0,0,0,0,139,316,40,5,0
BOSQUE,42,1901,4,170,949,39,0,2,599,8,8,744,33,25,16,0,1797,87,5762,0,0,0,0,0,0,0,1444,3105,5762,1797,87,0
