county,pri_dem_BARACK,pri_dem_BILL,pri_dem_CHRIS,pri_dem_DENNIS,pri_dem_HILLARY,pri_dem_JOE,pri_dem_JOHN,pri_dem_MIKE,pri_rep_DUNCAN,pri_rep_FRED,pri_rep_JOHN,pri_rep_MIKE,pri_rep_MITT,pri_rep_RON,pri_rep_RUDY,pri_rep_TOM,gen_dem_JOE,gen_ind_DARRELL,gen_ind_DAVID,gen_ind_MATT,gen_ind_ROBERT,gen_ind_STEWART,gen_lib_WAYNE,gen_rep_SARAH,gen_wgr_ROSA,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,wgr_general_total,ind_general_total
Adams,1782,2,1,7,2104,3,48,3,4,12,725,605,26,97,5,0,5806,43,6,76,0,0,27,3974,16,1479,3955,3974,5806,27,16,0
Ashland,1800,2,1,13,1583,6,30,4,2,4,459,298,22,31,14,0,5818,11,2,59,0,1,15,2634,15,832,3449,2634,5818,15,15,0
Barron,3970,1,2,26,3398,6,63,2,11,23,1422,1370,61,134,16,2,12078,46,4,140,3,3,72,10457,34,3057,7483,10457,12078,72,34,0
Bayfield,2157,1,2,15,1675,6,33,3,1,11,663,379,21,66,3,2,5972,13,4,65,1,0,15,3365,11,1150,3898,3365,5972,15,11,0
Brown,24737,18,23,70,18608,24,249,21,33,95,9862,6400,421,700,81,8,67269,174,15,638,16,11,426,55854,132,17659,43798,55854,67269,426,132,0
Buffalo,1163,1,3,7,1091,1,15,3,5,3,427,407,9,36,4,0,3949,17,1,64,2,0,25,2923,14,893,2287,2923,3949,25,14,0
Burnett,1073,1,2,11,1266,2,29,1,3,14,575,401,16,83,5,1,4337,19,5,42,2,3,36,4200,24,1105,2390,4200,4337,36,24,0
Calumet,4648,4,2,13,3460,3,46,3,4,11,2103,1442,38,229,15,3,13295,76,11,196,0,3,83,12722,38,3855,8186,12722,13295,83,38,0
Chippewa,5519,4,1,11,4743,8,60,3,4,17,1733,2710,66,162,20,1,16239,67,5,283,2,4,55,13492,26,4720,10353,13492,16239,55,26,0
Clark,2751,2,3,10,2354,5,56,3,5,8,1040,1544,32,84,10,4,7454,48,11,151,3,3,45,6383,31,2736,5189,6383,7454,45,31,0
Columbia,6098,6,3,32,4630,8,78,6,11,19,2114,1708,57,138,13,2,16661,54,4,177,1,2,78,12193,27,4073,10874,12193,16661,78,27,0
Crawford,1559,1,0,20,1349,2,28,1,4,5,401,386,21,110,6,0,4987,28,1,46,0,3,32,2830,27,935,2963,2830,4987,32,27,0
Dane,95416,78,73,528,44187,74,755,95,31,164,13818,8229,533,1616,116,23,205984,316,31,1491,20,103,983,73065,435,24609,141350,73065,205984,983,435,0
Dodge,6867,6,8,32,6055,14,83,2,5,49,3892,2859,113,233,30,1,19183,81,20,303,1,1,85,23015,52,7198,13077,23015,19183,85,52,0
Door,4196,3,0,14,2767,5,49,4,2,12,1591,955,44,101,10,2,10142,27,2,97,0,1,35,7112,28,2728,7047,7112,10142,35,28,0
Douglas,3549,3,5,15,4756,14,77,2,6,11,1099,776,57,144,3,1,15830,39,8,188,8,4,63,7835,37,2111,8444,7835,15830,63,37,0
Dunn,4156,4,1,22,2716,3,41,6,5,24,968,1388,57,139,14,0,13002,30,6,160,3,6,98,9566,52,2601,6960,9566,13002,98,52,0
Eau Claire,13008,12,15,47,7099,9,88,11,8,25,2684,4156,119,327,15,1,33146,89,10,413,3,11,192,20959,75,7349,20311,20959,33146,192,75,0
Florence,429,0,1,3,385,1,7,0,2,6,323,200,14,24,5,1,1134,5,1,12,0,2,10,1512,3,577,828,1512,1134,10,3,0
Fond du Lac,8335,7,4,33,6790,10,88,6,12,50,4828,3090,130,262,36,0,23463,89,13,283,1,9,132,28164,74,8423,15287,28164,23463,132,74,0
