county,gen_dem_OBAMA,gen_ind_BALDWIN,gen_ind_NADER,gen_lib_BARR,gen_rep_MCCAIN,rep_general_total,dem_general_total,lib_general_total,ind_general_total
Albany,8644,64,201,149,7936,7936,8644,149,265
Big Horn,1108,39,41,37,4045,4045,1108,37,80
Campbell,2990,57,105,77,13011,13011,2990,77,162
Carbon,2336,22,81,46,4331,4331,2336,46,103
Converse,612,22,31,29,2967,2967,612,29,53
Crook,1380,28,66,27,4922,4922,1380,27,94
Fremont,6016,91,190,102,11083,11083,6016,102,281
Goshen,1832,31,51,26,3942,3942,1832,26,82
Hot Springs,619,15,27,28,1834,1834,619,28,42
Johnson,908,20,33,31,3334,3334,908,31,53
Laramie,16072,176,396,236,24549,24549,16072,236,572
Lincoln,1823,72,88,57,6485,6485,1823,57,160
Natrona,10475,138,325,197,21906,21906,10475,197,463
Niobrara,244,7,10,10,1017,1017,244,10,17
Park,3757,61,133,111,10839,10839,3757,111,194
Platte,1407,29,68,29,3002,3002,1407,29,97
Sheridan,936,15,33,28,3316,3316,936,28,48
Sublette,4458,54,135,88,10177,10177,4458,88,189
Sweetwater,5762,102,235,103,10360,10360,5762,103,337
Teton,7472,30,95,91,4565,4565,7472,91,125
Uinta,2317,74,108,56,5763,5763,2317,56,182
Washakie,1042,23,25,14,2956,2956,1042,14,48
Weston,658,22,48,22,2618,2618,658,22,70
