state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
AZ,Apache,8551.0,15390.0,2361.0,6481.0,0.2670210359647139,0.35716970886763294,8842.0,23941.0
AZ,Cochise,29026.0,18943.0,10699.0,9393.0,0.5325004977105315,0.6050991265192103,20092.0,47969.0
AZ,Coconino,22186.0,31433.0,8281.0,12050.0,0.40730903546308594,0.4137712378074936,20331.0,53619.0
AZ,Gila,14095.0,7884.0,6046.0,5852.0,0.5081526306942343,0.6412939624186723,11898.0,21979.0
AZ,Graham,8376.0,3487.0,2801.0,2244.0,0.555203171456888,0.7060608615021495,5045.0,11863.0
AZ,Greenlee,1712.0,1165.0,368.0,1142.0,0.24370860927152319,0.5950643030935002,1510.0,2877.0
AZ,La Paz,3509.0,1929.0,1332.0,1041.0,0.561314791403287,0.6452739977933064,2373.0,5438.0
AZ,Maricopa,746448.0,602166.0,350246.0,253985.0,0.579655793893395,0.553492696946643,604231.0,1348614.0
AZ,Mohave,44333.0,22092.0,17511.0,10679.0,0.6211777225966655,0.6674143771170493,28190.0,66425.0
AZ,Navajo,19761.0,15579.0,7579.0,7472.0,0.5035545810909574,0.5591680814940577,15051.0,35340.0
AZ,Pima,182406.0,206254.0,77466.0,97963.0,0.4415803544453882,0.46932022847733235,175429.0,388660.0
AZ,Pinal,59421.0,44254.0,20511.0,19736.0,0.5096280468109424,0.5731468531468531,40247.0,103675.0
AZ,Santa Cruz,4518.0,8683.0,1496.0,3519.0,0.2983050847457627,0.3422467994848875,5015.0,13201.0
AZ,Yavapai,61192.0,36889.0,24917.0,15075.0,0.6230496099219844,0.623892497017771,39992.0,98081.0
AZ,Yuma,24577.0,18559.0,9421.0,9003.0,0.5113438992618324,0.5697561201780416,18424.0,43136.0
DE,Kent,29827.0,36392.0,8484.0,13013.0,0.3946597199609248,0.4504296349990184,21497.0,66219.0
DE,New Castle,74608.0,178768.0,27410.0,66917.0,0.2905848802569784,0.29445567062389494,94327.0,253376.0
DE,Sussex,200313.0,295758.0,64580.0,112752.0,0.3641756704937631,0.4037990529581451,177332.0,496071.0
GA,Appling,5085.0,1846.0,1923.0,1298.0,0.5970195591431232,0.733660366469485,3221.0,6931.0
GA,Atkinson,1941.0,938.0,616.0,505.0,0.5495093666369313,0.6741924279263634,1121.0,2879.0
GA,Bacon,3089.0,817.0,1005.0,595.0,0.628125,0.7908346134152586,1600.0,3906.0
GA,Baker,828.0,846.0,309.0,571.0,0.35113636363636364,0.4946236559139785,880.0,1674.0
GA,Baldwin,7823.0,8587.0,3445.0,5180.0,0.39942028985507244,0.4767215112736137,8625.0,16410.0
GA,Banks,5120.0,1027.0,2415.0,1011.0,0.7049036777583187,0.8329266308768505,3426.0,6147.0
GA,Barrow,17625.0,6657.0,7554.0,3779.0,0.6665490161475337,0.7258463059056091,11333.0,24282.0
GA,Bartow,25976.0,9662.0,11374.0,6698.0,0.6293714032757858,0.7288848981424322,18072.0,35638.0
GA,Ben hill,3417.0,2590.0,1145.0,1500.0,0.43289224952741023,0.56883635758282,2645.0,6007.0
GA,Berrien,4901.0,1471.0,1671.0,1154.0,0.5915044247787611,0.7691462649089768,2825.0,6372.0
GA,Bibb,27037.0,38987.0,13032.0,22253.0,0.3693354116480091,0.4095026051132921,35285.0,66024.0
GA,Bleckley,3657.0,1380.0,1565.0,848.0,0.6485702445089101,0.726027397260274,2413.0,5037.0
GA,Brantley,5080.0,1119.0,1826.0,776.0,0.7017678708685626,0.8194870140345217,2602.0,6199.0
GA,Brooks,3507.0,2669.0,1272.0,1299.0,0.49474912485414235,0.5678432642487047,2571.0,6176.0
GA,Bryan,9112.0,3636.0,3635.0,2144.0,0.6290015573628656,0.7147787888296203,5779.0,12748.0
GA,Bulloch,14174.0,9586.0,6076.0,4583.0,0.5700347124495732,0.5965488215488215,10659.0,23760.0
GA,Burke,4344.0,5233.0,1785.0,2745.0,0.39403973509933776,0.45358671817897045,4530.0,9577.0
GA,Butts,5947.0,3065.0,2584.0,2026.0,0.5605206073752711,0.6598979138925877,4610.0,9012.0
