precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Autauga-10 JONES COMM CTR,135,1,0,218,67,0,0,9,0,14,0,25,0,1,6,2,0,14,0,75,354,137,76
Autauga-100 TRINITY METH,285,8,60,1801,64,1,0,36,3,228,0,291,1,0,0,43,5,205,1,572,2154,1349,101
Autauga-110 CENTRAL AL ELECTRIC,203,0,2,120,120,1,0,6,1,10,0,16,0,0,0,4,0,8,0,46,325,85,127
Autauga-140 AUTAUGAVILLE VFD,406,0,6,312,223,1,0,15,4,30,0,49,0,0,0,9,0,25,0,103,724,220,239
Autauga-150 PRATTMONT BAP CH,287,8,43,824,83,0,1,29,1,64,0,89,0,1,1,14,1,71,0,275,1162,517,113
Autauga-160 DOSTER COMM CTR,1356,24,93,3162,258,0,0,64,6,242,1,314,2,1,4,72,4,310,0,676,4635,1632,322
Autauga-170 CAMELLIA BAP CH,418,4,42,1013,163,0,1,48,5,111,1,148,0,0,1,27,0,91,1,309,1477,694,212
Autauga-180 OLD KINGSTON VFD,294,2,17,400,183,0,1,20,1,25,0,42,0,0,1,6,0,22,0,133,713,230,204
Autauga-220 UPPER KINGSTON,228,2,22,931,77,0,0,25,4,97,0,144,0,0,0,23,0,92,0,296,1183,656,102
Autauga-30 BILLINGSLEY GOVT BLDG,35,1,1,374,18,1,0,0,3,32,1,56,0,0,0,3,1,33,0,131,411,260,19
Autauga-40 EMEMORIAL CHRISTIAN,765,20,95,1998,253,0,0,76,6,206,1,314,3,0,4,60,4,294,0,490,2878,1382,329
Autauga-50 WHITE CITY VFD,138,2,9,356,66,1,0,5,0,29,0,76,0,0,0,1,0,33,0,97,505,236,72
Autauga-60 MARBURY MIDDLE SCH,76,9,11,641,30,0,0,14,2,48,0,67,1,0,1,5,1,19,1,201,737,346,44
Autauga-70 PINE LEVEL CULTURAL CT,346,7,46,2487,107,1,0,66,9,249,1,340,0,0,6,32,2,224,2,778,2886,1643,174
Autauga-80 INDEPENDENCE VFD,201,1,1,210,117,0,0,12,1,4,0,28,1,0,1,6,0,6,0,87,413,134,129
Autauga-90 BOOTH VFD,161,1,13,547,92,0,0,10,3,51,0,55,0,0,0,22,1,31,0,182,722,345,102
Autauga-ABSENTEE,250,3,33,972,26,0,0,4,4,17,0,39,0,0,1,13,0,40,0,80,1258,194,30
Autauga-PROVISIONAL,20,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0
Baldwin-ABSENTEE,946,13,138,3349,29,0,0,24,10,28,3,93,0,0,1,42,2,124,0,219,4446,522,53
Baldwin-BARNWELL VFD,232,5,34,1508,53,0,1,45,5,71,1,207,2,1,2,61,3,225,0,546,1779,1124,99
Baldwin-BAY MINETTE CIVIC CTR,704,17,75,2734,285,0,0,70,15,172,1,370,1,1,8,53,9,328,1,1006,3530,1965,355
Baldwin-BELFOREST COMM CTR,208,4,46,1326,52,0,0,23,2,73,1,211,1,0,2,36,1,180,0,340,1584,847,75
Baldwin-BON SECOUR MORG,181,2,22,994,53,0,0,39,2,58,0,95,0,1,0,35,5,92,0,381,1199,669,92
Baldwin-BROMLEY VFD SUBST,196,0,17,621,77,0,1,19,2,46,1,109,0,0,0,17,0,85,0,196,834,456,97
Baldwin-CLEAR SPG FELLOWSHIP,8,0,0,139,2,0,0,5,2,3,0,11,0,0,0,2,0,22,0,48,147,88,7
Baldwin-CROSSROADS DURANT,126,8,6,414,51,0,0,12,3,12,0,40,0,0,2,5,0,36,0,166,554,264,63
Baldwin-DAPHNE CIVIC CTR,2782,55,325,6293,899,1,2,353,25,404,6,869,1,0,8,353,9,1094,3,1848,9455,4620,1255
Baldwin-DAPHNE HIGH SCH,514,23,102,1662,142,0,1,102,2,116,1,232,1,0,1,80,3,260,1,474,2301,1171,245
"Baldwin-DOUGLASVILLE, BOYKIN CTR",395,0,3,23,175,0,0,11,1,3,0,7,1,0,0,1,0,2,0,7,421,22,186
Baldwin-ELBERTA CIVIC CTR,210,8,48,1377,45,0,1,65,7,77,0,116,0,2,3,19,3,112,1,537,1643,877,111
Baldwin-ELLISVILLE COMM CTR,173,1,11,313,61,0,1,10,1,16,0,36,0,0,0,1,2,39,2,90,498,187,72
Baldwin-ELSANOR COMM,62,1,18,868,15,0,0,15,0,30,2,100,1,1,2,8,3,72,0,333,949,552,30
Baldwin-FAIRHOPE 3 CIRCLE CH,881,26,168,4500,218,2,3,192,13,299,4,716,1,2,6,239,5,762,4,1259,5575,3310,415
Baldwin-FAIRHOPE CIVIC CTR,2026,36,240,5021,566,1,1,334,20,352,3,727,1,3,7,475,12,1035,4,1515,7323,4154,902
Baldwin-FOLEY CIVIC CTR,1270,26,120,4016,357,1,1,195,13,266,2,428,1,1,4,140,3,443,4,1449,5432,2754,554
Baldwin-FT MORGAN VFD #1,79,1,9,305,26,0,1,13,3,16,1,40,0,0,0,14,0,47,0,134,394,255,40
Baldwin-GATESWOOD VFD,13,0,1,231,4,0,0,3,1,7,0,28,0,0,1,4,0,16,0,83,245,140,7
Baldwin-GULF SHORES ACTIVITY,977,42,134,4532,253,0,2,158,11,240,2,401,1,2,4,228,10,583,2,1645,5685,3129,413
Baldwin-JOSEPHINE VFD,51,6,16,391,13,0,0,19,2,24,1,39,0,0,1,16,3,67,1,147,464,301,32
Baldwin-LILLIAN COMM,538,13,59,2438,167,2,6,108,13,119,1,251,4,0,2,90,7,312,2,940,3048,1741,283
Baldwin-LITTLE RIVER VFD,34,1,0,116,25,0,0,2,0,6,1,20,1,0,0,0,0,4,0,57,151,89,27
Baldwin-LOTTIE VFD,11,0,0,156,5,0,0,3,0,3,0,17,0,0,1,1,0,13,0,50,167,85,8
Baldwin-LOXLEY TOWN HALL,141,8,29,871,33,0,0,22,4,62,0,107,0,0,3,23,2,79,1,315,1049,596,55
Baldwin-MAG SPGS WESLEYAN CH,612,17,65,2204,177,1,2,69,4,150,0,255,0,0,3,75,3,259,1,769,2898,1519,249
Baldwin-MARLOW VFD,298,10,43,1400,106,0,0,54,3,92,1,170,0,0,2,38,2,140,1,508,1751,957,160
Baldwin-MIFLIN COMM CTR,345,12,33,1708,94,0,0,38,6,98,0,166,0,0,1,81,0,247,0,605,2098,1204,132
Baldwin-NEW LIFE ASSEM GOD,758,21,142,2693,233,1,1,125,7,188,4,356,3,0,5,93,5,441,0,792,3614,1894,360
Baldwin-ORANGE BEACH COMM,534,12,85,3673,132,0,2,97,5,185,1,272,3,0,3,187,3,483,3,1412,4304,2557,231
Baldwin-PERDIDO BEACH VFD,85,3,11,491,20,0,0,20,1,18,1,43,0,0,1,16,1,56,0,196,590,333,40
Baldwin-PERDIDO VOL FIRE DEPT,74,0,10,575,24,2,0,9,2,28,0,59,0,0,3,6,0,49,0,215,659,362,35
Baldwin-PINEGROVE VFD #1,185,3,12,744,70,0,0,14,4,26,0,76,1,0,0,4,3,83,0,287,944,484,84
Baldwin-PROVISIONAL,49,3,16,103,17,0,1,15,1,30,0,53,0,0,0,18,2,58,0,138,171,300,33
Baldwin-PT CLEAR ST FRANCIS,345,4,16,847,103,0,1,37,1,42,0,95,0,0,0,88,2,181,1,248,1212,658,141
Baldwin-RABUN VFD,38,3,5,502,11,1,0,9,1,21,0,55,0,0,1,6,2,26,0,195,548,307,21
