precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_KAHN,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Arkansas-ALMYRA,1,8,0,2,2,3,0,96,5,0,1,0,0,0,1,2,0,25,0,0,1,0,0,0,21,0,14,112,64,6
Arkansas-ARKANSAS,0,15,0,0,0,1,0,24,9,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,9,40,19,9
Arkansas-BARTON,0,7,1,1,0,1,1,72,5,0,0,6,0,0,1,0,1,7,0,0,0,0,2,0,8,0,22,83,41,11
Arkansas-BAYOU METO,0,14,0,0,1,2,1,60,3,0,0,1,0,0,2,1,0,13,0,0,0,0,4,0,20,0,22,78,62,4
Arkansas-BREWER,0,2,0,0,0,0,1,12,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,15,9,4
Arkansas-CHESTER,0,15,1,0,0,3,2,72,5,0,0,2,0,0,0,2,0,5,0,0,0,0,1,0,22,0,18,93,48,7
Arkansas-CROCKETT,0,10,0,0,0,0,1,32,8,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,6,0,9,43,19,9
Arkansas-DEWITT WARD 1,2,133,3,0,7,3,6,64,55,0,0,5,0,0,1,2,1,6,1,0,5,0,0,0,6,0,18,218,40,60
Arkansas-DEWITT WARD 2,1,73,1,2,1,9,6,224,27,1,0,3,0,0,3,7,1,36,1,1,9,0,0,0,38,0,78,317,174,31
Arkansas-DEWITT WARD 3,3,82,1,6,0,10,8,280,25,1,0,7,0,0,3,14,2,44,0,0,7,0,8,0,62,0,84,390,224,33
Arkansas-GARLAND,0,9,0,0,1,0,1,48,3,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,11,0,14,59,33,3
Arkansas-GILLETT WARD 1,0,21,0,1,0,2,3,54,11,0,1,2,0,0,0,2,0,6,0,0,0,0,0,0,13,0,20,81,41,14
Arkansas-GILLETT WARD 2,0,20,1,1,0,3,3,88,12,0,0,5,0,0,0,5,0,12,0,0,0,0,0,1,26,0,21,116,65,17
Arkansas-GILLETT WARD 3,1,28,1,1,1,5,0,22,17,0,0,2,0,0,0,0,0,6,0,0,0,0,1,0,8,0,4,59,19,19
Arkansas-GUM POND,1,24,0,3,0,3,2,118,10,0,0,4,0,0,0,3,1,29,0,0,0,0,2,0,14,0,24,151,73,14
Arkansas-HENTON,0,21,2,0,2,2,3,81,9,0,0,1,0,0,0,0,0,13,0,0,0,0,1,0,12,0,25,111,51,10
Arkansas-HUMPHREY WARD 1,0,43,4,1,2,0,12,19,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,81,7,7
Arkansas-HUMPHREY WARD 3,1,7,0,0,0,1,4,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,22,7,4
Arkansas-KEATON,2,87,3,1,3,4,5,189,46,0,0,7,0,0,3,5,1,27,0,0,4,0,3,1,26,0,50,294,120,53
Arkansas-LAGRUE,5,65,5,2,2,5,12,327,20,1,0,11,0,0,1,12,1,49,0,0,9,0,5,0,69,0,100,423,246,32
Arkansas-MCFALL,0,9,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,7,32,16,7
Arkansas-MILL BAYOU,2,10,1,0,0,5,3,72,6,0,0,0,0,0,0,2,0,11,0,0,1,0,0,1,20,0,29,93,64,6
Arkansas-MORRIS,1,10,0,0,1,2,1,77,8,0,1,3,0,0,1,0,0,8,0,0,1,0,0,0,14,0,19,92,43,12
Arkansas-PRAIRIE,2,28,2,3,0,3,1,122,14,0,0,0,0,0,1,8,1,3,0,0,1,0,1,0,21,0,31,161,67,14
Arkansas-PT DELUCE,0,11,0,0,1,0,2,83,3,0,0,3,0,0,0,8,0,15,0,0,1,0,1,0,18,0,18,97,61,6
Arkansas-ST. CHARLES,0,10,1,0,1,0,1,68,6,0,0,2,0,0,0,1,0,14,0,0,2,0,1,0,11,0,26,81,55,8
Arkansas-STANLEY,0,5,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,9,6,1
Arkansas-STUTTGART WARD 1,7,515,15,5,9,13,27,158,188,1,1,12,1,1,1,12,0,22,0,0,3,0,3,1,21,0,40,749,103,204
Arkansas-STUTTGART WARD 2,3,350,12,4,3,23,17,641,108,0,1,22,0,0,3,27,2,112,1,0,5,0,27,1,162,0,168,1053,508,131
Arkansas-STUTTGART WARD 3,8,307,10,7,7,21,10,689,101,0,0,30,1,1,4,31,1,103,0,0,7,0,22,1,146,0,190,1059,505,133
Ashley-COOTER,0,34,0,1,1,4,0,166,24,3,2,30,5,12,0,1,0,18,0,0,1,0,4,0,6,0,19,206,49,76
Ashley-CROSSETT WARD 1,4,352,4,1,6,22,1,216,330,7,4,108,14,30,2,13,0,48,1,0,0,0,6,0,58,0,52,606,180,493
Ashley-CROSSETT WARD 2,2,322,2,3,3,14,3,307,56,1,3,42,4,14,1,5,0,8,0,0,1,0,1,0,14,0,19,656,49,120
Ashley-CROSSETT WARD 3,3,194,5,1,5,17,3,654,99,5,6,96,4,22,0,11,0,41,1,0,3,1,10,0,36,0,47,882,150,232
Ashley-CROSSROADS,0,44,4,0,1,10,1,327,38,9,4,70,9,13,0,6,0,22,0,0,0,0,0,0,16,0,36,387,80,143
Ashley-FH CITY,0,29,0,0,0,1,0,27,40,3,4,33,6,8,0,3,0,20,0,0,0,0,0,0,7,0,24,57,54,94
Ashley-HAMBURG WARD 1,4,186,0,1,1,6,1,60,90,0,2,10,0,2,1,2,0,5,0,0,0,0,0,0,1,0,8,259,17,104
Ashley-HAMBURG WARD 2,0,73,0,2,1,6,0,181,49,7,3,35,5,5,1,3,0,7,0,0,0,0,0,0,3,0,35,263,49,104
Ashley-HAMBURG WARD 3,1,72,2,1,6,3,1,320,61,1,9,55,7,19,1,14,1,23,0,1,0,0,4,0,15,0,45,406,104,152
Ashley-HBG RURAL/BC/MIST,2,107,4,4,2,15,4,600,73,16,13,114,12,28,1,1,0,39,0,0,2,0,2,0,34,0,56,738,135,256
Ashley-HICKORY GROVE,0,53,1,1,5,3,3,365,28,5,5,50,7,9,0,7,0,32,0,0,1,0,2,0,22,0,29,431,93,104
Ashley-MILO,2,55,2,0,4,5,1,351,33,4,5,58,2,12,1,9,0,27,0,0,0,0,5,0,16,0,30,420,88,114
Ashley-MONTROSE RRL/BOY/SNY/TRA,1,14,0,2,0,0,0,39,52,1,1,10,0,1,0,0,0,1,0,0,1,0,3,0,4,0,7,56,16,65
Ashley-MT ZION,2,9,0,2,0,3,0,133,10,9,5,27,5,10,1,5,0,2,0,0,0,0,0,1,4,0,13,149,26,66
Ashley-NORTH CROSSETT EAST,2,76,0,1,3,10,0,333,58,4,6,54,3,18,0,4,0,30,0,0,1,0,3,0,13,0,28,425,79,143
Ashley-NORTH CROSSETT WEST,1,48,2,2,1,0,1,211,29,1,3,26,6,5,0,1,0,21,0,0,0,0,0,0,5,0,22,266,49,70
