precinct_code,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_JOHNSON,gen_ind_STEIN,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
1200,2112.0,23.0,6.0,169.0,30.0,10294.0,654.0,240.0,805.0,33.0,60.0,0.0,971.0,0.0,0.0,1.0,2.0,70.0,5.0,769.0,1.0,2163.0,12634.0,4075.0,1699.0
Alachua-1200101 First Baptist Church of Waldo,357.0,2.0,0.0,28.0,5.0,637.0,131.0,8.0,104.0,3.0,3.0,0.0,76.0,0.0,0.0,0.0,0.0,12.0,2.0,35.0,0.0,163.0,1029.0,294.0,243.0
Alachua-1200102 LaCrosse Town Hall,668.0,2.0,0.0,29.0,18.0,839.0,237.0,10.0,149.0,5.0,4.0,2.0,110.0,0.0,0.0,0.0,0.0,7.0,0.0,64.0,0.0,152.0,1556.0,344.0,396.0
Alachua-1200103 Alachua Recreation Center,1114.0,5.0,2.0,105.0,34.0,1711.0,258.0,39.0,278.0,6.0,7.0,0.0,190.0,3.0,0.0,1.0,2.0,51.0,4.0,150.0,2.0,354.0,2971.0,770.0,575.0
Alachua-1200104 Newberry United Methodist Church,687.0,7.0,1.0,75.0,11.0,1483.0,183.0,22.0,161.0,8.0,15.0,1.0,190.0,1.0,0.0,0.0,0.0,15.0,1.0,130.0,0.0,375.0,2264.0,736.0,366.0
Alachua-1200105 First Lutheran Church,1409.0,2.0,1.0,101.0,29.0,544.0,307.0,8.0,457.0,0.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,41.0,1.0,125.0,0.0,76.0,2086.0,288.0,772.0
Alachua-1200106 Newberry Municipal Building,762.0,12.0,2.0,65.0,13.0,1263.0,224.0,19.0,143.0,10.0,6.0,0.0,184.0,1.0,0.0,1.0,0.0,36.0,0.0,110.0,0.0,277.0,2117.0,625.0,386.0
Alachua-1200107 Ignite Life Center,1253.0,1.0,2.0,54.0,50.0,259.0,191.0,5.0,427.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,35.0,0.0,49.0,1619.0,107.0,623.0
Alachua-1200108 Hawthorne City Hall,636.0,2.0,1.0,39.0,10.0,768.0,235.0,14.0,154.0,6.0,3.0,0.0,57.0,0.0,0.0,0.0,0.0,18.0,0.0,45.0,0.0,177.0,1456.0,306.0,403.0
Alachua-1200109 Island Grove Baptist Church,117.0,0.0,0.0,11.0,2.0,279.0,32.0,7.0,48.0,2.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,77.0,409.0,113.0,87.0
Alachua-1200110 Micanopy Town Hall,623.0,1.0,0.0,35.0,13.0,551.0,227.0,11.0,204.0,6.0,3.0,0.0,66.0,0.0,0.0,0.0,0.0,23.0,1.0,61.0,0.0,115.0,1223.0,275.0,442.0
Alachua-1200111 Archer Community Center,1044.0,5.0,2.0,50.0,13.0,964.0,363.0,20.0,242.0,5.0,10.0,0.0,120.0,2.0,0.0,0.0,0.0,16.0,1.0,98.0,0.0,223.0,2078.0,475.0,625.0
Alachua-1200112 Parkview Baptist Church,1292.0,7.0,1.0,49.0,47.0,335.0,287.0,10.0,442.0,8.0,3.0,0.0,36.0,0.0,0.0,0.0,1.0,14.0,2.0,38.0,0.0,76.0,1731.0,178.0,739.0
Alachua-1200113 Mt. Carmel Baptist Church,1472.0,3.0,0.0,4.0,10.0,58.0,534.0,4.0,152.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,8.0,1547.0,21.0,690.0
Alachua-1200114 Eliam Baptist Church,281.0,4.0,0.0,22.0,8.0,579.0,66.0,10.0,112.0,3.0,2.0,0.0,60.0,1.0,0.0,0.0,0.0,8.0,1.0,50.0,1.0,137.0,894.0,263.0,188.0
Alachua-1200115 Windsor Baptist Church,263.0,1.0,0.0,22.0,3.0,371.0,70.0,6.0,68.0,1.0,2.0,0.0,61.0,0.0,0.0,0.0,0.0,5.0,2.0,29.0,0.0,69.0,660.0,169.0,144.0
