precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
APPLING1B,23,1,12,1,5,34,0,108,1,0,3,12,0,0,54,0,165,92,9,685,37,382,92,685
APPLING1C,14,1,5,0,3,28,0,88,0,1,2,9,0,2,45,0,125,42,5,496,20,303,42,496
APPLING2,284,3,41,1,3,28,0,45,0,0,0,7,0,0,27,0,96,742,10,427,329,206,742,427
APPLING3A,1,0,3,0,0,10,0,41,0,0,0,4,0,0,13,0,48,4,4,209,4,116,4,209
APPLING3A1,11,0,6,0,3,26,0,68,0,0,2,4,0,0,18,0,59,17,1,319,17,180,17,319
APPLING3B,39,2,6,0,2,8,0,22,0,0,2,1,0,0,14,0,24,98,1,101,47,73,98,101
APPLING3C,47,3,19,1,4,36,0,125,0,0,1,13,0,2,76,0,135,154,14,670,70,392,154,670
APPLING4A,3,0,4,0,3,11,1,46,0,0,1,5,0,0,25,0,53,14,1,261,7,145,14,261
APPLING4B,2,0,2,0,4,16,0,71,0,0,2,3,0,0,27,0,72,7,0,305,4,195,7,305
APPLING4C,2,0,3,0,0,10,0,55,0,0,1,2,0,0,33,0,67,10,2,284,5,168,10,284
APPLING4D,24,0,7,0,2,44,0,99,0,0,0,12,0,2,55,0,164,83,10,624,31,378,83,624
APPLING5A,17,0,16,1,3,23,0,66,0,0,2,1,0,0,35,0,126,68,12,530,34,256,68,530
APPLING5B,20,1,10,1,0,14,0,47,0,0,0,5,0,0,22,0,81,79,3,336,32,169,79,336
