precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_grn_CHERNEY,pri_grn_CURRY,pri_grn_KREML,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FEEGBEH,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SANDERS,gen_ind_SCHOENKE,gen_lib_JOHNSON,gen_rep_TRUMP,gen_unk_BLUMBERG,gen_unk_KASICH,gen_unk_ROMNEY,gen_unk_RYAN,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
ABINGTON1,193,0,3,268,0,0,0,0,0,7,10,5,36,3,1,0,61,0,2,45,0,235,818,25,0,0,0,0,0,0,97,717,0,0,0,0,464,405,818,717
ABINGTON2,195,0,3,271,0,0,0,0,1,5,14,0,34,0,0,0,46,0,1,48,0,257,739,27,0,0,0,0,0,0,67,785,0,0,0,0,469,405,739,785
ABINGTON3,246,2,5,273,0,0,0,0,0,2,11,2,48,0,0,1,56,0,2,52,0,264,773,18,0,0,0,0,0,0,80,808,0,0,0,0,526,438,773,808
ABINGTON4,265,1,2,267,0,0,0,0,0,3,12,1,56,0,0,2,68,0,0,62,0,267,877,16,0,0,0,0,0,0,87,878,0,0,0,0,535,471,877,878
ABINGTON5,260,1,2,311,0,0,0,0,1,6,6,2,37,0,0,1,72,0,1,61,1,245,908,16,0,0,0,0,0,0,86,829,0,0,0,0,574,432,908,829
ACTON1,431,0,1,339,0,0,0,0,1,9,7,3,37,0,2,1,101,2,0,82,0,108,2918,60,0,0,8,0,0,0,178,876,0,0,0,0,771,352,2918,876
ACTON2,451,0,1,369,0,0,0,0,0,8,10,2,30,1,1,0,148,0,1,123,0,97,3100,52,0,0,16,0,0,0,192,960,0,0,0,0,821,421,3100,960
ACTON3,516,0,1,494,0,0,0,0,1,7,18,1,42,2,0,0,138,1,2,108,1,122,3160,88,0,0,28,0,0,0,180,870,0,0,0,0,1011,442,3160,870
ACTON4,522,1,0,504,0,0,0,0,1,4,12,0,22,0,0,0,132,0,1,86,0,129,3350,90,0,0,8,0,0,0,208,828,0,0,0,0,1027,386,3350,828
ACTON5,526,0,2,480,0,0,0,0,0,6,4,2,41,1,0,0,128,0,1,85,0,86,3160,66,0,0,8,0,0,0,190,774,0,0,0,0,1008,354,3160,774
ACTON6,444,0,0,378,0,1,0,0,2,4,3,1,31,1,0,1,107,0,1,94,0,114,2708,60,0,0,12,0,0,0,156,802,0,0,0,0,822,357,2708,802
ACUSHNET1,269,0,1,264,0,0,0,0,1,2,20,0,36,1,0,0,19,0,1,49,0,201,783,26,0,0,5,0,0,0,58,786,0,0,0,0,534,329,783,786
ACUSHNET2,266,1,5,243,0,0,0,0,0,0,14,0,42,0,1,0,42,0,1,48,0,262,756,29,0,0,0,0,0,0,57,1043,0,0,0,0,515,410,756,1043
