precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
BEAVERHEADPRECINCT 01,27,44,10,18,30,8,78,1,175,15,48,203,71,144,175,203
BEAVERHEADPRECINCT 02,22,50,9,38,23,13,252,4,127,16,35,551,72,335,127,551
BEAVERHEADPRECINCT 03,36,33,11,35,35,18,269,0,158,5,32,507,69,368,158,507
BEAVERHEADPRECINCT 04,10,7,5,13,7,5,76,0,34,1,6,131,17,106,34,131
BEAVERHEADPRECINCT 05,1,1,2,7,5,2,56,0,9,1,4,99,2,72,9,99
BEAVERHEADPRECINCT 06,27,34,7,17,24,11,157,2,129,10,35,324,61,216,129,324
BEAVERHEADPRECINCT 07,11,13,3,16,18,7,120,2,40,4,12,231,24,164,40,231
BEAVERHEADPRECINCT 08,2,4,2,3,6,3,37,1,14,0,2,56,6,51,14,56
BEAVERHEADPRECINCT 09,15,29,14,12,10,7,143,1,87,4,19,300,44,186,87,300
BEAVERHEADPRECINCT 12,38,36,16,11,30,9,148,2,157,2,21,270,74,214,157,270
BEAVERHEADPRECINCT 14,27,41,3,12,13,6,94,2,125,7,27,225,68,128,125,225
BEAVERHEADPRECINCT 17,8,10,3,2,2,0,44,2,18,1,3,82,18,51,18,82
BEAVERHEADPRECINCT 19,2,7,0,4,4,2,67,1,14,1,6,92,9,77,14,92
BEAVERHEADPRECINCT 20,1,0,0,3,2,3,51,0,2,1,0,74,1,59,2,74
BEAVERHEADPRECINCT 21,11,6,4,7,3,3,55,0,25,2,10,117,17,72,25,117
BEAVERHEADPRECINCT 23,6,8,2,5,1,1,52,0,29,0,5,91,14,61,29,91
BIG HORNPRECINCT #1,8,11,2,5,1,2,46,0,56,0,4,93,19,56,56,93
BIG HORNPRECINCT #10,3,2,0,1,2,3,22,0,12,1,1,49,5,28,12,49
BIG HORNPRECINCT #14,18,16,0,0,0,1,12,1,70,2,7,51,34,13,70,51
BIG HORNPRECINCT #15,30,50,0,4,0,0,24,3,129,7,21,107,80,28,129,107
BIG HORNPRECINCT #17,32,34,1,5,3,3,83,1,116,3,15,200,66,95,116,200
BIG HORNPRECINCT #18,20,28,0,12,3,2,79,1,81,5,26,194,48,96,81,194
BIG HORNPRECINCT #19,34,55,5,16,1,5,122,2,172,7,35,269,89,149,172,269
BIG HORNPRECINCT #2,8,10,1,2,1,1,22,0,46,0,7,56,18,27,46,56
BIG HORNPRECINCT #21,54,35,1,1,4,0,24,2,228,6,4,93,89,30,228,93
BIG HORNPRECINCT #25,9,8,0,1,0,2,17,1,64,1,1,57,17,20,64,57
BIG HORNPRECINCT #26,23,37,0,6,1,2,15,3,224,7,11,73,60,24,224,73
BIG HORNPRECINCT #3,7,10,0,2,1,0,45,0,20,0,3,114,17,48,20,114
BIG HORNPRECINCT #4,5,5,0,5,1,0,30,0,13,2,2,60,10,36,13,60
BIG HORNPRECINCT #4N,5,10,2,3,0,1,58,0,16,0,4,124,15,64,16,124
BIG HORNPRECINCT #5,26,21,1,8,1,2,14,0,136,2,4,48,47,26,136,48
BIG HORNPRECINCT #6,4,6,0,1,0,0,22,0,14,0,2,50,10,23,14,50
BIG HORNPRECINCT #7,101,108,1,4,2,1,18,6,554,25,30,89,209,26,554,89
BIG HORNPRECINCT #8,10,15,0,2,1,2,45,0,46,2,5,98,25,50,46,98
BIG HORNPRECINCT #9,17,25,0,0,0,1,6,1,97,1,3,28,42,7,97,28
BLAINEBELKNAP 3-32,49,73,1,0,0,0,13,2,300,17,11,35,122,14,300,35
BLAINECHINOOK 11-33,66,103,5,21,8,10,138,2,172,11,37,381,169,182,172,381
BLAINEHARLEM 8-32,52,52,0,7,1,6,45,2,152,11,9,113,104,59,152,113
BLAINEHARLEM 9-32,18,24,0,0,0,0,2,5,126,14,3,12,42,2,126,12
BLAINEHAYS 15-32,51,91,2,1,0,0,8,10,350,19,11,43,142,11,350,43
