precinct_code,gen_dem_CLINTON,gen_ind_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_lib_FELDMAN,pri_lib_HALE,pri_lib_INCE,pri_lib_JOHNSON,pri_lib_JR.,pri_lib_KERBEL,pri_lib_PERRY,pri_lib_PETERSEN,pri_lib_REID,pri_lib_SMITH,pri_lib_WAYMIRE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Alamance-37101,411.0,10.0,50.0,1865.0,108.0,1.0,11.0,118.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,396.0,0.0,0.0,1.0,29.0,2.0,36.0,0.0,296.0,2336.0,770.0,238.0
Alamance-37102,403.0,5.0,40.0,2004.0,91.0,3.0,7.0,137.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,345.0,1.0,0.0,4.0,72.0,0.0,44.0,1.0,361.0,2452.0,843.0,238.0
Alamance-371035,995.0,14.0,77.0,1485.0,182.0,1.0,6.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,268.0,0.0,0.0,2.0,63.0,2.0,39.0,0.0,266.0,2571.0,657.0,371.0
Alamance-37103C,679.0,5.0,64.0,1059.0,207.0,1.0,10.0,157.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,239.0,0.0,0.0,2.0,167.0,4.0,87.0,1.0,214.0,1807.0,723.0,375.0
Alamance-37103N,1036.0,12.0,66.0,1160.0,231.0,2.0,7.0,169.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,210.0,1.0,0.0,2.0,123.0,0.0,74.0,1.0,223.0,2274.0,643.0,409.0
Alamance-37103N2,310.0,2.0,13.0,214.0,151.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,58.0,2.0,0.0,0.0,57.0,0.0,19.0,0.0,53.0,539.0,194.0,209.0
Alamance-37103S,1782.0,0.0,125.0,2045.0,405.0,3.0,2.0,335.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,348.0,1.0,0.0,2.0,161.0,0.0,116.0,2.0,392.0,3952.0,1033.0,745.0
Alamance-37103W,665.0,3.0,68.0,1201.0,168.0,2.0,4.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,247.0,0.0,0.0,1.0,64.0,2.0,55.0,0.0,192.0,1937.0,570.0,303.0
Alamance-37104,577.0,11.0,63.0,2043.0,173.0,3.0,11.0,155.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,350.0,0.0,2.0,6.0,39.0,0.0,46.0,2.0,315.0,2694.0,770.0,342.0
Alamance-37105,327.0,1.0,47.0,1448.0,73.0,4.0,7.0,121.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,217.0,1.0,0.0,2.0,43.0,2.0,46.0,0.0,227.0,1823.0,545.0,205.0
Alamance-371063,996.0,6.0,29.0,528.0,219.0,2.0,2.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93.0,0.0,0.0,3.0,16.0,0.0,13.0,0.0,76.0,1559.0,202.0,369.0
Alamance-371064,1054.0,9.0,63.0,1800.0,314.0,0.0,8.0,217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,341.0,0.0,0.0,1.0,88.0,0.0,55.0,0.0,334.0,2926.0,829.0,539.0
Alamance-37106E,741.0,3.0,39.0,671.0,185.0,2.0,4.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,130.0,0.0,0.0,0.0,17.0,0.0,18.0,0.0,108.0,1454.0,280.0,313.0
Alamance-37106N,834.0,3.0,38.0,423.0,166.0,0.0,1.0,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,68.0,0.0,0.0,1.0,12.0,1.0,9.0,1.0,53.0,1298.0,149.0,281.0
Alamance-37106S,716.0,7.0,57.0,1183.0,183.0,2.0,3.0,151.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,0.0,174.0,0.0,0.0,1.0,32.0,1.0,44.0,0.0,194.0,1963.0,458.0,339.0
Alamance-37106W,339.0,1.0,11.0,271.0,57.0,0.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,1.0,10.0,2.0,3.0,1.0,35.0,622.0,91.0,119.0
