precinct_code,gen_dem_CLINTON,gen_ind_CLINTON,gen_ind_JOHNSON,gen_ind_STEIN,gen_ind_TRUMP,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_ind_CLINTON,pri_ind_CRUZ,pri_ind_KASICH,pri_ind_SANDERS,pri_ind_TRUMP,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Baker-410011,0.0,0.0,0.0,0.0,0.0,0.0,63.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,216.0,0.0,260.0,165.0
Baker-4100111,222.0,0.0,44.0,18.0,0.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0,0.0,0.0
Baker-4100112,209.0,0.0,47.0,17.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,0.0,0.0
Baker-4100113,295.0,0.0,56.0,24.0,0.0,1179.0,20.0,37.0,0.0,0.0,0.0,0.0,0.0,74.0,44.0,242.0,1554.0,360.0,57.0
Baker-4100114,226.0,0.0,53.0,24.0,0.0,822.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,37.0,1125.0,47.0,2.0
Baker-4100115,289.0,0.0,72.0,18.0,0.0,1150.0,26.0,33.0,0.0,0.0,0.0,0.0,0.0,29.0,26.0,118.0,1529.0,173.0,59.0
Baker-4100117,94.0,0.0,43.0,6.0,0.0,406.0,22.0,28.0,0.0,0.0,0.0,0.0,0.0,52.0,59.0,153.0,549.0,264.0,50.0
Baker-4100118,4.0,0.0,2.0,2.0,0.0,69.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,36.0,77.0,45.0,3.0
Baker-4100119,46.0,0.0,19.0,4.0,0.0,170.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,48.0,239.0,53.0,35.0
Baker-410012,0.0,0.0,0.0,0.0,0.0,0.0,58.0,74.0,0.0,0.0,0.0,0.0,0.0,70.0,45.0,156.0,0.0,271.0,132.0
Baker-4100120,13.0,0.0,4.0,0.0,0.0,38.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,55.0,17.0,9.0
Baker-4100121,14.0,0.0,10.0,4.0,0.0,130.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,58.0,158.0,82.0,17.0
Baker-4100122,163.0,0.0,23.0,9.0,0.0,370.0,42.0,70.0,0.0,0.0,0.0,0.0,0.0,27.0,41.0,114.0,565.0,182.0,112.0
Baker-4100124,161.0,0.0,27.0,4.0,0.0,513.0,46.0,50.0,0.0,0.0,0.0,0.0,0.0,68.0,62.0,218.0,705.0,348.0,96.0
Baker-4100125,55.0,0.0,12.0,3.0,0.0,208.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,85.0,278.0,113.0,30.0
Baker-4100126,6.0,0.0,1.0,1.0,0.0,78.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,52.0,86.0,56.0,3.0
Baker-410013,0.0,0.0,0.0,0.0,0.0,0.0,45.0,92.0,0.0,0.0,0.0,0.0,0.0,56.0,30.0,220.0,0.0,306.0,137.0
Baker-410014,0.0,0.0,0.0,0.0,0.0,0.0,68.0,93.0,0.0,0.0,0.0,0.0,0.0,88.0,36.0,284.0,0.0,408.0,161.0
Baker-410015,0.0,0.0,0.0,0.0,0.0,0.0,56.0,118.0,0.0,0.0,0.0,0.0,0.0,94.0,54.0,297.0,0.0,445.0,174.0
Benton-4100301,2311.0,0.0,197.0,88.0,0.0,0.0,0.0,817.0,0.0,0.0,0.0,0.0,0.0,93.0,164.0,244.0,2596.0,501.0,817.0
Benton-4100302,1737.0,0.0,164.0,122.0,0.0,326.0,252.0,918.0,0.0,0.0,0.0,0.0,0.0,35.0,32.0,62.0,2349.0,129.0,1170.0
Benton-4100303,2147.0,0.0,199.0,160.0,0.0,617.0,411.0,1086.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,197.0,3123.0,336.0,1497.0
Benton-4100304,1772.0,0.0,176.0,77.0,0.0,419.0,223.0,575.0,0.0,0.0,0.0,0.0,0.0,16.0,44.0,54.0,2444.0,114.0,798.0
Benton-4100305,1781.0,0.0,144.0,96.0,0.0,291.0,276.0,931.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,81.0,2312.0,133.0,1207.0
Benton-4100306,2151.0,0.0,143.0,150.0,0.0,531.0,489.0,961.0,0.0,0.0,0.0,0.0,0.0,51.0,84.0,166.0,2975.0,301.0,1450.0
Benton-4100307,2963.0,0.0,170.0,129.0,0.0,516.0,918.0,1192.0,0.0,0.0,0.0,0.0,0.0,72.0,138.0,175.0,3778.0,385.0,2110.0
Benton-4100308,2809.0,0.0,156.0,83.0,0.0,782.0,946.0,790.0,0.0,0.0,0.0,0.0,0.0,107.0,206.0,264.0,3830.0,577.0,1736.0
Benton-4100309,1917.0,0.0,190.0,123.0,0.0,752.0,484.0,794.0,0.0,0.0,0.0,0.0,0.0,93.0,109.0,262.0,2982.0,464.0,1278.0
Benton-4100310,1174.0,0.0,196.0,83.0,0.0,872.0,267.0,535.0,0.0,0.0,0.0,0.0,0.0,98.0,101.0,228.0,2325.0,427.0,802.0
Benton-4100312,193.0,0.0,28.0,17.0,0.0,173.0,27.0,90.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,47.0,411.0,96.0,117.0
Benton-4100313,87.0,0.0,11.0,9.0,0.0,157.0,43.0,23.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,48.0,264.0,64.0,66.0
