precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
10ADAMS1,252,2,165,2,4,232,275,8,506,7,956,9,73,1893,419,1027,956,1893
10ADAMS2,169,2,105,4,3,181,190,3,481,4,668,11,61,1572,276,862,668,1572
10ADAMS3,247,1,155,5,3,201,228,5,577,9,751,7,58,1708,403,1019,751,1708
10ALLEGHENY,16,0,19,0,1,39,17,2,64,6,40,0,5,205,35,123,40,205
10BRADY,48,2,57,1,1,43,22,0,114,1,138,5,21,380,107,181,138,380
10BRUIN,12,0,9,1,1,25,7,0,63,1,25,1,5,149,21,97,25,149
10BUFFALO1,137,6,123,1,3,106,79,3,322,2,399,5,37,985,266,514,399,985
10BUFFALO2,131,3,124,2,2,87,98,0,312,1,368,10,32,988,258,501,368,988
10BUFFALO3,126,5,97,1,4,77,93,3,236,6,344,4,39,819,228,414,344,819
10BUTLER1,148,3,159,1,4,82,50,6,178,5,473,12,67,683,310,321,473,683
10BUTLER11,205,2,155,2,7,101,120,2,338,5,549,26,42,1060,362,570,549,1060
10BUTLER12,135,4,105,3,4,72,66,2,262,5,351,11,36,783,244,409,351,783
10BUTLER2,150,5,134,1,1,56,27,1,151,4,397,10,61,600,289,237,397,600
10BUTLER3,161,7,125,1,8,97,68,2,239,15,483,21,52,827,293,415,483,827
10BUTLER4,179,7,173,3,5,130,128,4,378,5,504,11,61,1158,359,648,504,1158
10BUTLER41,70,1,64,1,2,27,30,1,102,3,233,11,24,284,135,163,233,284
10BUTLER42,74,0,95,0,2,35,42,2,116,5,256,6,23,336,169,197,256,336
10BUTLER5,342,1,273,6,6,152,120,2,420,8,926,22,100,1426,616,706,926,1426
10BUTLER6NORTH,121,2,105,1,2,70,69,4,222,5,331,10,23,633,228,368,331,633
10BUTLER6SOUTH,130,3,96,0,3,110,89,2,261,3,359,4,24,812,229,465,359,812
10CALLERY,16,3,11,0,0,13,14,0,51,2,41,2,12,150,30,78,41,150
10CENTER1,181,3,136,3,2,124,94,6,335,3,469,10,43,1049,320,564,469,1049
10CENTER2,163,5,104,3,2,159,107,2,377,5,474,6,50,1090,272,650,474,1090
10CENTER3,119,3,129,4,4,133,76,2,325,6,379,12,39,1038,251,544,379,1038
10CHERRY,47,3,57,1,0,40,17,0,127,2,141,3,21,392,107,185,141,392
10CHERRYVALLEY,7,0,4,0,0,0,4,0,6,0,6,3,1,19,11,10,6,19
10CHICORA,50,2,34,1,3,28,16,0,99,2,81,1,14,328,86,147,81,328
10CLAY,104,7,95,2,1,67,40,4,251,7,250,9,27,867,206,365,250,867
10CLEARFIELD,87,5,129,2,2,92,32,1,247,5,244,8,34,826,221,376,244,826
10CLINTON,110,3,104,3,6,147,132,5,398,6,379,2,54,1158,217,691,379,1158
10CONCORD,45,4,75,3,3,51,47,2,171,1,117,4,16,544,124,277,117,544
10CONNOQUENESSING,206,8,204,4,11,255,190,3,668,13,678,20,107,1950,418,1131,678,1950
10CRANBERRYEAST1,150,0,89,1,3,159,221,3,415,7,663,6,55,1298,239,802,663,1298
10CRANBERRYEAST2,130,4,77,1,6,123,159,3,355,3,503,6,39,1103,211,647,503,1103
10CRANBERRYEAST3,168,0,123,4,5,117,164,9,332,4,647,8,54,1018,291,631,647,1018
10CRANBERRYWEST1,182,5,100,2,3,168,204,2,351,3,685,3,53,1229,287,730,685,1229
10CRANBERRYWEST2,195,2,113,7,7,122,155,5,265,5,645,7,56,877,310,561,645,877
10CRANBERRYWEST3,198,7,152,1,2,167,233,6,366,10,826,7,66,1354,357,775,826,1354
10CRANBERRYWEST4,179,2,144,5,3,149,164,7,287,6,672,10,69,1008,325,615,672,1008
10CRANBERRYWEST5,152,1,138,1,5,110,97,3,247,7,601,9,64,909,291,463,601,909
10CRANBERRYWEST6,185,1,117,3,2,138,177,7,305,5,690,9,65,1018,303,632,690,1018
10DONEGAL,80,2,105,1,5,83,40,0,214,6,192,6,23,672,187,343,192,672
10EASTBUTLER,41,1,41,1,2,27,10,1,54,2,83,3,14,240,83,95,83,240
10EAUCLAIRE,9,1,2,1,0,7,6,0,29,1,21,1,7,70,12,43,21,70
10EVANSCITY,92,2,91,0,1,86,53,1,176,4,264,10,43,589,185,317,264,589
10FAIRVIEW,90,6,110,1,4,75,51,1,241,4,212,2,35,838,206,373,212,838
10FOR,102,3,120,2,6,113,120,2,349,11,362,10,46,1020,225,592,362,1020
10FRANKLIN,134,6,147,6,4,140,99,2,387,8,343,10,39,1115,287,638,343,1115
10HARMONY,45,0,63,0,3,47,55,1,100,5,181,9,23,331,108,206,181,331
10HARRISVILLE,25,2,41,0,0,38,35,1,92,6,81,2,14,273,68,166,81,273
10JACKSON,194,1,172,2,3,205,163,2,446,9,651,14,63,1531,367,821,651,1531
10JEFFERSONI,104,8,100,7,5,159,86,1,330,5,301,8,36,1056,212,588,301,1056
10JEFFERSONII,91,3,66,1,7,137,92,5,319,5,298,4,31,959,160,561,298,959
10KARNSCITY,8,1,12,1,0,5,4,1,25,0,15,0,1,70,21,36,15,70
10LANCASTER,114,2,100,2,6,163,124,5,347,11,375,8,53,1046,216,647,375,1046
10MARION,62,1,62,0,0,44,30,0,109,1,140,4,8,419,125,183,140,419
10MARS,60,3,68,4,2,73,59,2,158,2,203,8,23,493,131,298,203,493
10MERCER,26,2,32,0,1,52,27,1,130,2,82,7,17,400,60,211,82,400
10MIDDLESEXNORTH,134,4,109,5,6,164,110,4,356,4,392,7,42,1083,247,645,392,1083
10MIDDLESEXSOUTH,125,12,130,5,3,133,132,5,391,4,503,6,49,1205,267,669,503,1205
10MUDDYCREEK,61,4,75,2,4,128,63,2,245,4,196,10,37,874,140,444,196,874
