precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
ANDERSONANDERSONVILLE,64,1,39,2,55,3,170,0,0,0,4,24,0,1,120,0,304,227,1,0,2,0,32,1,0,3,0,7,5,1222,0,104,683,227,1222
ANDERSONBRICEVILLE,11,1,10,0,4,0,44,0,0,0,0,2,0,0,10,0,58,42,0,0,3,0,5,0,0,0,0,1,0,243,0,22,118,42,243
ANDERSONBULL RUN,106,5,102,7,79,1,196,1,1,0,1,31,0,3,162,1,316,424,7,0,3,0,76,2,0,2,0,13,6,1397,0,213,799,424,1397
ANDERSONCLAXTON,94,3,58,5,40,2,187,2,0,0,2,23,0,1,118,1,282,387,3,0,2,0,53,0,0,5,0,8,5,1319,0,155,663,387,1319
ANDERSONCLINTON,159,2,94,10,77,0,154,2,0,0,4,44,0,3,201,1,326,556,0,0,5,0,47,2,0,4,0,19,8,1330,0,255,822,556,1330
ANDERSONCLINTON HIGH,87,2,39,2,23,0,98,2,0,0,4,23,1,1,98,0,191,279,2,0,2,0,33,4,0,7,0,7,7,792,0,128,443,279,792
ANDERSONCLINTON MIDDLE,19,1,26,1,17,1,66,0,0,0,0,5,0,0,47,0,107,87,0,0,1,0,9,0,0,0,0,1,3,453,0,46,244,87,453
ANDERSONDUTCH VALLEY,23,1,21,1,10,1,30,1,0,0,0,3,0,1,28,0,75,73,0,0,0,0,11,0,0,1,0,2,0,271,0,45,150,73,271
ANDERSONEMORY VALLEY,216,4,166,19,43,0,141,1,0,0,0,81,0,2,218,0,189,894,1,0,1,0,88,3,0,17,0,15,19,1034,0,386,694,894,1034
ANDERSONFAIRVIEW,25,1,27,2,21,0,78,0,0,0,1,6,0,0,53,0,128,117,1,0,1,0,12,0,0,1,0,6,1,543,0,53,289,117,543
ANDERSONGLEN ALPINE,74,4,63,6,34,0,159,0,0,1,0,22,1,2,92,1,285,304,0,0,3,0,48,2,0,2,0,9,4,1149,0,141,603,304,1149
ANDERSONGLENWOOD,124,3,158,5,33,0,98,1,0,0,1,22,0,0,105,1,159,608,4,0,4,0,75,5,0,5,0,6,22,763,0,285,425,608,763
ANDERSONHENDRIX CREEK,188,4,137,9,40,0,108,2,1,0,2,77,0,1,211,1,157,784,3,0,3,0,77,2,0,9,0,10,10,849,0,329,609,784,849
ANDERSONHIGHLAND VIEW,56,0,76,1,12,0,49,0,0,0,1,10,0,1,43,0,59,278,1,0,2,0,28,1,0,6,0,3,4,299,0,132,176,278,299
ANDERSONLAKE CITY MS,56,0,52,7,47,0,153,0,0,0,3,14,0,0,100,1,255,250,0,0,2,0,18,1,0,4,0,8,4,1219,0,108,580,250,1219
ANDERSONMARLOW,16,3,22,2,26,0,65,0,0,0,2,8,0,0,30,0,106,111,1,0,3,0,13,1,0,2,0,1,0,505,0,41,239,111,505
ANDERSONNORRIS,113,1,101,3,22,1,51,0,0,0,0,30,0,1,68,0,120,365,0,0,3,0,34,0,0,0,0,2,7,412,0,215,296,365,412
ANDERSONNORTH CLINTON,67,0,53,2,29,0,79,0,0,0,1,7,0,0,74,1,215,245,0,0,2,0,30,3,0,2,0,11,10,809,0,120,408,245,809
ANDERSONNORWOOD,76,2,48,3,39,1,81,1,0,0,0,12,0,1,104,0,222,266,1,0,5,0,40,1,0,4,0,9,10,915,0,126,464,266,915
ANDERSONOAK RIDGE,144,3,68,1,18,0,26,0,0,0,0,14,0,1,44,0,65,521,0,0,0,0,33,2,0,4,0,0,7,324,0,215,169,521,324
ANDERSONPINE VALLEY,160,4,166,5,33,0,102,0,0,0,0,18,1,4,110,0,140,606,0,0,5,0,84,2,0,4,0,8,22,748,0,330,413,606,748
ANDERSONROBERTSVILLE,117,1,82,9,36,1,50,1,0,1,0,16,0,0,46,0,78,434,2,0,7,0,46,2,0,9,0,9,10,496,0,200,238,434,496
ANDERSONROSEDALE,9,0,6,0,8,0,3,0,0,0,0,0,0,0,4,0,13,27,0,0,2,0,0,0,0,0,0,1,0,53,0,15,28,27,53
ANDERSONSOUTH CLINTON,59,3,44,3,35,0,80,1,0,0,3,11,1,0,68,1,188,177,1,0,1,0,30,2,0,2,0,7,2,674,0,106,391,177,674
ANDERSONWEST HILLS,143,1,111,12,47,0,98,0,0,0,1,49,1,1,139,1,135,574,0,0,2,0,70,2,0,12,0,4,13,740,0,255,484,574,740
ANDERSONWOODLAND,87,0,57,2,28,0,48,0,0,1,0,10,0,0,28,0,72,286,0,0,6,0,28,2,0,10,0,3,7,350,0,144,189,286,350
BEDFORD1-1 WARTRACE,82,0,41,0,45,0,168,0,0,0,1,11,0,2,54,0,262,230,0,0,2,0,27,1,0,0,0,2,4,974,0,123,543,230,974
BEDFORD1-2 BELL BUCKLE,63,1,48,1,43,0,97,0,1,1,3,32,0,3,77,0,193,213,0,0,1,0,42,2,0,0,0,3,8,794,0,112,451,213,794
BEDFORD2-3 FAIR HAVEN,107,1,54,6,71,2,256,0,0,0,2,16,0,0,98,2,435,298,0,0,3,0,31,0,0,1,0,10,7,1605,0,162,888,298,1605
BEDFORD3-3 UNIONVILLE,118,2,39,1,55,0,173,0,0,0,1,7,0,1,75,0,430,289,2,0,1,0,32,2,0,1,0,2,9,1472,0,159,743,289,1472
BEDFORD4-3 BEDFORD,125,6,56,5,43,1,209,2,1,0,2,27,0,0,96,0,449,308,0,0,4,0,20,0,0,1,0,6,6,1582,0,187,835,308,1582
BEDFORD5-2 FLAT CREEK,99,0,70,8,49,2,204,1,0,0,1,20,0,0,117,1,339,271,0,0,1,0,32,1,0,0,0,6,5,1318,0,169,742,271,1318
BEDFORD5-5 NORMANDY,59,1,26,4,42,0,124,0,0,0,0,28,0,0,54,0,147,146,1,0,0,0,17,0,0,2,0,3,4,659,0,86,399,146,659
BEDFORD6-1 EAST SIDE,113,1,51,0,26,0,55,0,1,0,0,7,0,1,34,0,131,374,0,0,4,0,24,0,0,0,0,2,8,490,0,165,255,374,490
BEDFORD7-1 DEERY EAKIN,147,2,45,4,37,0,124,0,0,0,0,18,0,0,63,0,234,445,0,0,1,0,34,1,0,0,0,4,8,837,0,194,480,445,837
BEDFORD8-1 THOMAS,163,2,35,4,31,0,96,0,0,0,2,11,0,0,70,1,191,436,0,0,2,0,16,0,0,0,0,1,6,744,0,200,406,436,744
BEDFORD9-2 SOUTHSIDE,132,2,61,6,33,0,149,0,2,1,1,23,0,1,83,0,273,385,0,0,6,0,31,1,0,0,0,8,10,1011,0,195,572,385,1011
BENTON1 HOLLADAY,83,3,37,3,23,0,93,0,0,0,3,13,0,0,39,0,219,213,0,0,2,0,9,0,0,1,0,0,3,846,0,123,393,213,846
BENTON2 CAMDEN JR HIGH,106,3,53,0,18,0,96,0,0,0,1,11,0,1,53,0,194,265,0,0,1,0,18,2,0,0,0,1,5,784,0,162,374,265,784
BENTON3 CAMDEN CITY HALL,88,3,50,5,21,1,111,0,0,0,0,10,0,0,49,0,141,228,0,0,2,0,15,0,0,0,0,0,2,725,0,141,338,228,725
