county,gen_dem_BIDEN,gen_dem_HARRI,gen_ind_COH,gen_ind_COHEN,gen_ind_JORGENSEN,gen_oth_INS,gen_oth_VOTES,gen_rep_PENC,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_BUTTIGIEG,pri_dem_CASTRO,pri_dem_DELANEY,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_UNCOMMITTED,pri_dem_VOTES,pri_dem_WARREN,pri_dem_WILLIAMSON,pri_dem_YANG,pri_rep_TRUMP,pri_rep_UNCOMMITTED,pri_rep_VOTES,pri_rep_WELD,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Autauga,7503,0,0,0,350,79,87,0,19838,23,2241,429,6,10,2,1,5,5,606,7,22,33,193,1,9,9619,246,75,140,27857,19838,7503,10080,3593,10080,3593
Baldwin,24578,0,0,0,1229,328,333,0,83544,33,7343,1521,13,78,3,5,48,26,2490,43,84,33,895,6,30,39089,1052,327,670,110012,83544,24578,41138,12651,41138,12651
Barbour,4816,0,0,68,0,12,42,0,5622,31,1905,290,6,7,2,4,5,5,202,5,17,39,57,4,2,2739,23,28,17,10560,5622,4816,2807,2581,2807,2581
Bibb,1986,0,0,0,74,10,35,0,7525,4,561,243,1,5,0,2,0,0,138,1,6,13,34,0,2,3970,51,33,32,9630,7525,1986,4086,1010,4086,1010
Blount,2640,0,0,0,209,28,75,0,24711,5,655,147,1,9,2,1,5,1,338,4,23,14,91,0,8,12819,149,93,107,27663,24711,2640,13168,1304,13168,1304
Bullock,3446,0,0,0,19,2,20,0,1146,41,1572,356,6,5,1,3,10,6,150,3,32,154,44,3,7,420,7,3,1,4633,1146,3446,431,2393,431,2393
Calhoun,15216,0,0,0,553,113,162,0,35101,32,4871,885,13,25,1,4,27,22,1517,12,43,30,459,8,19,16539,276,126,162,51145,35101,15216,17103,7968,17103,7968
Chambers,6365,0,0,0,141,25,48,0,8753,18,1839,571,4,4,0,0,10,1,285,6,12,13,61,1,9,4093,83,43,38,15332,8753,6365,4257,2834,4257,2834
Cherokee,1624,0,0,0,82,12,45,0,10583,2,456,149,3,4,0,1,5,5,163,2,14,8,44,1,1,5520,118,137,94,12346,10583,1624,5869,858,5869,858
Chilton,3073,0,0,0,123,29,56,0,16085,15,857,169,2,3,0,1,5,2,234,7,17,5,63,0,5,8951,81,67,75,19366,16085,3073,9174,1385,9174,1385
Choctaw,3127,0,0,0,38,3,46,0,4296,32,1352,441,6,11,2,1,17,17,216,11,136,327,30,0,7,1632,7,20,12,7510,4296,3127,1671,2606,1671,2606
Clarke,5755,0,0,0,49,7,50,0,7324,33,1974,933,4,6,2,1,2,1,259,8,20,50,43,3,3,4228,50,73,36,13185,7324,5755,4387,3342,4387,3342
Clay,1267,0,0,0,53,9,26,0,5601,10,486,95,0,7,1,1,2,3,75,3,14,14,27,0,3,3836,80,68,53,6956,5601,1267,4037,741,4037,741
Cleburne,675,0,0,0,60,8,28,0,6484,2,220,43,0,5,1,0,0,2,60,1,6,5,25,0,0,3197,53,38,23,7255,6484,675,3311,370,3311,370
Coffee,5076,0,0,0,264,36,64,0,16899,11,1599,278,9,11,1,0,9,3,435,7,24,12,119,0,5,9270,178,60,123,22339,16899,5076,9631,2523,9631,2523
Colbert,8343,0,0,0,272,68,98,0,19203,26,2997,604,7,22,1,2,18,9,785,7,51,32,182,1,5,8598,153,89,101,27984,19203,8343,8941,4749,8941,4749
Conecuh,2966,0,0,0,32,1,38,0,3442,55,1216,704,18,5,3,5,14,6,254,27,112,377,52,7,9,1344,15,6,5,6479,3442,2966,1370,2864,1370,2864
Coosa,1796,0,0,0,46,6,15,0,3631,8,574,156,1,1,0,1,0,1,99,0,6,9,21,0,2,2064,48,51,27,5494,3631,1796,2190,879,2190,879
Covington,2721,0,0,0,97,26,61,0,14586,12,856,166,1,5,1,0,0,1,184,8,9,11,45,1,1,7974,119,86,69,17491,14586,2721,8248,1301,8248,1301
Crenshaw,1700,0,0,0,44,9,22,0,4864,5,554,221,2,4,0,0,0,0,70,0,6,5,17,0,3,2381,38,13,15,6639,4864,1700,2447,887,2447,887
Cullman,4478,0,0,0,418,75,132,0,36880,10,1262,317,5,20,3,2,6,15,633,9,64,25,173,1,11,21160,338,193,224,41983,36880,4478,21915,2556,21915,2556
Dale,5170,0,0,0,233,32,76,0,14303,8,1658,204,2,14,0,2,6,4,402,9,19,11,86,0,5,7836,140,50,91,19814,14303,5170,8117,2430,8117,2430
Dallas,12230,0,0,0,90,20,76,0,5524,69,6238,1071,33,44,7,13,58,40,897,38,510,1078,237,17,52,985,11,10,6,17940,5524,12230,1012,10402,1012,10402
Dekalb,4281,0,0,0,250,58,95,0,24767,8,1193,267,2,8,2,1,6,7,571,13,26,23,115,0,7,11678,145,125,82,29451,24767,4281,12030,2249,12030,2249
Elmore,10367,0,0,0,398,101,116,0,30164,16,3092,591,5,16,0,4,8,5,738,5,27,21,260,3,4,14977,308,115,189,41146,30164,10367,15589,4795,15589,4795
Escambia,4918,0,0,0,94,29,46,0,10869,19,1462,341,3,8,2,2,3,2,218,3,15,13,48,0,1,5129,80,49,32,15956,10869,4918,5290,2140,5290,2140
