county,gen_dem_BIDEN,gen_grn_HAWKINS,gen_ind_COLLINS,gen_ind_FUENTE,gen_ind_GAMMON,gen_ind_JORGENSEN,gen_ind_PIERCE,gen_ind_WEST,gen_lib_JORGENSEN,gen_oth_BLANKENSHIP,gen_oth_CARROLL,gen_oth_HAWKINS,gen_oth_MYERS,gen_oth_RIVA,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_BOYD,pri_dem_BULLOCK,pri_dem_BUTTIGIEG,pri_dem_CASTRO,pri_dem_DELANEY,pri_dem_GABBARD,pri_dem_HARRIS,pri_dem_KLOBUCHAR,pri_dem_SANDERS,pri_dem_SESTAK,pri_dem_STEYER,pri_dem_WARREN,pri_dem_WILLIAMSON,pri_dem_YANG,pri_rep_FUENTE,pri_rep_TRUMP,pri_rep_WELD,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Arkansas,1818,16,22,7,13,0,4,19,46,9,7,0,4,23,4304,1,294,70,0,4,0,1,0,4,5,1,3,75,0,2,46,1,0,3,662,5,6292,4304,1818,670,507,670,507
Ashley,2125,0,44,9,34,0,5,43,25,30,10,9,17,27,5548,5,398,66,0,3,5,5,3,2,1,4,5,147,0,4,28,3,1,5,1234,12,7926,5548,2125,1251,680,1251,680
Baxter,4635,0,31,24,16,0,41,72,183,78,27,43,11,10,15836,0,610,173,0,0,2,5,0,1,5,2,7,241,2,5,89,2,1,27,2518,66,21007,15836,4635,2611,1145,2611,1145
Benton,42249,277,116,153,102,0,275,323,1972,115,170,0,90,105,73965,7,3932,1260,7,2,10,48,11,5,56,5,27,3400,6,18,1322,11,39,149,11751,337,119912,73965,42249,12237,10166,12237,10166
Boone,3064,55,22,12,21,0,20,39,153,17,37,0,13,9,13652,1,390,141,1,1,5,4,1,3,9,1,9,268,1,1,81,2,5,3,1892,14,17114,13652,3064,1909,924,1909,924
Bradley,1214,0,10,0,1,0,10,15,33,8,6,4,4,14,2335,4,265,43,7,1,0,2,0,2,5,12,2,58,1,12,16,2,1,4,604,7,3654,2335,1214,615,433,615,433
Calhoun,479,8,6,3,4,0,9,12,16,2,3,0,2,2,1636,4,91,33,2,1,2,3,0,1,0,1,4,29,1,1,10,0,1,1,233,0,2182,1636,479,234,184,234,184
Carroll,4023,48,22,22,20,0,9,40,100,26,28,0,30,5,7424,2,470,124,1,0,1,4,2,1,18,1,6,399,0,1,139,3,4,8,1262,27,11797,7424,4023,1297,1176,1297,1176
Chicot,2260,5,5,2,2,0,16,20,17,5,8,0,4,7,1752,6,552,162,1,4,4,5,2,6,4,7,7,143,2,4,33,0,2,1,330,3,4103,1752,2260,334,944,334,944
Clark,3438,0,66,13,12,0,10,37,79,29,24,48,11,12,4616,0,643,141,2,9,3,4,2,4,7,12,17,195,3,9,94,2,4,7,862,13,8395,4616,3438,882,1151,882,1151
Clay,962,0,13,1,4,0,9,11,53,19,3,11,8,3,4086,1,205,103,0,1,2,3,0,3,2,5,0,87,1,5,21,1,0,6,736,12,5183,4086,962,754,440,754,440
Cleburne,1988,0,74,7,25,0,10,29,105,57,26,10,19,2,10328,0,4,7,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,46,1,12680,10328,1988,47,17,47,17
Cleveland,651,0,8,5,2,0,11,5,27,5,2,8,8,1,2867,0,155,52,0,0,2,2,1,1,3,0,4,42,1,3,13,3,2,3,742,5,3600,2867,651,750,284,750,284
Columbia,2814,0,26,27,9,0,11,19,53,47,17,71,10,12,5500,4,361,75,6,0,2,2,2,5,5,3,1,99,6,9,33,5,2,2,802,4,8616,5500,2814,808,620,808,620
Conway,2615,0,88,34,20,0,23,31,78,22,8,18,49,5,5694,2,644,184,2,12,3,20,0,5,15,18,20,226,7,21,71,2,1,3,1205,16,8685,5694,2615,1224,1253,1224,1253
Craighead,11921,0,40,17,43,0,28,157,440,71,64,121,11,40,25558,1,1128,372,5,1,15,10,4,1,18,8,12,827,2,11,246,2,8,58,4705,183,38511,25558,11921,4946,2671,4946,2671
Crawford,4959,0,39,26,22,0,29,49,274,22,9,35,12,8,18607,3,699,304,3,9,1,5,2,0,22,4,12,399,5,14,125,7,11,24,3793,45,24091,18607,4959,3862,1625,3862,1625
Crittenden,8514,29,45,35,63,0,18,128,112,25,24,0,19,22,7333,5,1275,329,6,4,4,13,2,3,6,5,21,318,6,8,88,5,10,5,709,8,16367,7333,8514,722,2108,722,2108
Cross,1772,0,30,4,5,0,21,37,48,14,9,8,43,5,4946,0,112,81,2,2,1,29,0,2,4,4,20,69,0,8,27,2,2,2,708,10,6942,4946,1772,720,365,720,365
Dallas,963,0,8,5,8,0,18,19,14,9,3,3,17,9,1573,0,263,65,4,6,5,2,2,2,9,5,8,38,2,4,10,1,1,0,313,4,2649,1573,963,317,427,317,427
Desha,2016,0,10,33,5,0,40,24,18,10,5,10,35,37,1921,8,468,114,7,4,3,3,0,1,2,7,7,102,3,6,29,1,1,4,451,9,4164,1921,2016,464,766,464,766
Drew,2426,21,14,3,0,0,10,38,27,2,6,0,8,4,4349,3,444,117,4,2,8,4,0,4,5,5,20,139,6,1,45,5,3,4,938,10,6908,4349,2426,952,815,952,815
Faulkner,18347,159,78,56,15,0,51,189,840,53,91,0,67,61,34421,7,1884,494,4,3,8,13,4,2,38,8,34,1454,4,7,689,5,11,40,4690,84,54428,34421,18347,4814,4669,4814,4669
Franklin,1300,0,17,10,4,0,5,11,67,11,15,9,3,0,5677,3,226,98,6,4,2,3,1,5,7,4,10,85,3,2,42,4,2,5,1175,25,7129,5677,1300,1205,507,1205,507
Fulton,1035,4,10,7,2,0,29,9,38,14,1,0,4,5,3961,8,237,80,3,1,2,9,2,7,3,0,3,88,2,6,39,0,3,1,594,6,5119,3961,1035,601,493,601,493
Garland,14045,102,64,27,73,0,88,88,396,137,51,0,31,28,29069,5,1720,559,13,4,2,18,1,6,23,9,33,918,4,18,298,17,15,37,4854,132,44199,29069,14045,5023,3663,5023,3663
Grant,1268,8,11,10,9,0,7,9,56,6,6,0,13,3,6794,3,236,102,1,0,4,3,0,1,4,3,9,94,2,4,44,2,3,7,1388,13,8200,6794,1268,1408,515,1408,515
Greene,3058,0,36,8,16,0,17,43,188,9,9,33,7,6,12670,5,422,148,5,0,8,5,0,5,7,3,1,235,3,6,62,4,9,15,2137,37,16100,12670,3058,2189,928,2189,928
Hempstead,2138,0,19,18,25,0,28,58,31,6,5,24,22,4,4470,2,414,96,1,1,8,2,1,7,4,4,7,76,1,6,27,7,1,5,1105,11,6848,4470,2138,1121,665,1121,665
Hot Spring,3082,0,26,6,17,0,37,38,93,15,11,16,8,6,9202,5,441,135,2,2,2,3,3,4,3,3,19,233,1,6,67,6,6,11,2008,27,12557,9202,3082,2046,941,2046,941
Howard,1340,11,20,2,8,0,10,17,27,13,4,0,1,14,3367,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,4834,3367,1340,5,5,5,5
Independence,2806,0,99,6,17,0,45,58,147,29,16,23,7,9,11250,3,270,176,3,3,2,56,0,1,11,3,62,136,1,17,73,6,4,4,1227,13,14512,11250,2806,1244,827,1244,827
Izard,1021,4,12,2,8,0,6,14,55,30,12,0,13,2,4631,0,202,37,0,0,2,3,0,0,4,2,8,74,0,1,32,2,4,3,788,9,5810,4631,1021,800,371,800,371
Jackson,1365,5,10,8,3,0,2,25,37,19,8,0,11,5,3593,5,276,75,0,2,1,5,0,5,6,4,7,75,0,1,29,0,1,2,682,8,5091,3593,1365,692,492,692,492
Jefferson,14981,0,60,77,49,0,27,132,106,24,59,26,23,73,9521,13,3204,1004,26,8,17,41,29,15,48,12,68,798,37,90,410,28,16,8,1896,16,25158,9521,14981,1920,5864,1920,5864
Johnson,2283,0,31,17,6,0,24,30,97,20,13,25,3,11,6938,4,387,132,5,3,3,9,5,3,10,1,11,218,4,12,90,2,5,6,1327,19,9498,6938,2283,1352,904,1352,904
Lafayette,839,0,13,5,1,0,7,22,9,6,0,5,3,12,1757,0,143,14,0,0,2,3,0,0,0,1,1,26,1,0,6,3,0,0,262,1,2679,1757,839,263,200,263,200
Lawrence,1080,0,49,3,3,0,12,16,52,45,9,8,9,2,4569,3,257,102,0,1,0,7,2,6,18,3,9,105,3,13,35,0,2,2,952,7,5857,4569,1080,961,566,961,566
Lee,1423,0,18,6,24,0,8,15,8,14,8,7,5,26,1286,8,279,59,0,1,1,1,1,1,3,0,11,67,3,4,7,3,2,0,158,0,2848,1286,1423,158,451,158,451
Lincoln,1032,0,21,4,6,0,3,14,21,3,2,20,4,16,2729,0,7,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,17,0,3875,2729,1032,17,13,17,13
Little River,1226,0,11,1,13,0,9,17,44,83,3,7,29,19,3715,4,288,52,5,2,4,4,5,1,5,7,6,65,1,2,22,5,3,4,863,9,5177,3715,1226,876,481,876,481
Logan,1544,0,27,5,12,0,13,24,88,28,7,16,14,6,6441,7,304,137,2,4,0,5,1,2,6,2,5,98,3,5,41,0,4,18,1547,33,8225,6441,1544,1598,626,1598,626
Lonoke,6686,0,48,97,124,0,35,71,403,63,19,72,123,37,22884,7,772,217,1,1,3,18,2,4,12,5,14,409,6,6,167,1,7,14,2676,36,30662,22884,6686,2726,1652,2726,1652
Madison,1563,0,18,6,3,0,8,10,54,3,3,19,2,4,5658,1,262,109,2,2,5,9,1,5,12,6,3,158,1,5,60,3,0,3,1074,10,7351,5658,1563,1087,644,1087,644
Marion,1531,0,19,7,27,0,7,7,65,7,7,19,20,4,5783,1,212,73,0,0,0,0,2,0,4,3,1,110,0,5,41,2,1,6,909,15,7503,5783,1531,930,455,930,455
Miller,4245,41,27,29,17,0,41,28,101,19,7,0,35,19,11920,5,704,123,3,3,2,1,2,3,7,6,7,169,1,6,50,4,2,16,2963,18,16529,11920,4245,2997,1098,2997,1098
Mississippi,4558,0,86,19,18,0,52,49,120,28,44,24,35,13,7296,6,609,116,8,2,11,6,1,5,4,3,2,159,5,4,47,1,4,7,1233,25,12342,7296,4558,1265,993,1265,993
Monroe,1147,0,6,2,20,0,4,10,12,5,1,33,12,19,1545,18,310,77,7,2,5,4,1,3,12,3,1,104,4,9,33,1,3,0,326,3,2816,1545,1147,329,597,329,597
Montgomery,731,0,6,9,4,0,1,4,26,2,31,7,3,3,3046,4,147,40,1,2,0,2,1,0,1,1,5,55,2,5,20,2,1,1,687,5,3873,3046,731,693,289,693,289
Nevada,1076,0,29,8,0,0,7,5,8,46,3,26,14,3,2133,0,231,51,1,1,3,2,2,3,4,3,14,69,3,9,21,7,1,1,340,5,3358,2133,1076,346,425,346,425
Newton,709,0,4,8,8,0,9,13,23,15,4,11,2,0,3192,0,147,42,0,0,0,0,1,1,4,0,3,95,0,1,33,0,1,3,464,6,3998,3192,709,473,328,473,328
Ouachita,3995,59,50,10,10,0,28,40,79,10,13,0,28,13,5294,12,701,94,2,6,9,7,0,2,9,4,14,145,1,1,39,5,3,2,702,4,9629,5294,3995,708,1054,708,1054
Perry,1012,20,2,8,14,0,2,26,35,12,10,0,3,4,3479,3,194,85,3,1,3,3,0,2,2,5,5,99,2,3,47,2,5,2,668,9,4627,3479,1012,679,464,679,464
Phillips,3623,0,47,4,10,0,11,44,15,23,5,16,13,14,2417,5,623,141,10,1,4,7,3,12,11,3,26,146,10,5,57,5,5,2,415,2,6242,2417,3623,419,1074,419,1074
Pike,644,4,2,3,3,0,4,12,41,4,4,0,6,0,3519,1,127,26,2,0,1,0,1,0,6,0,3,35,1,3,18,0,2,5,522,2,4246,3519,644,529,226,529,226
Poinsett,1424,0,9,21,6,0,18,10,40,38,14,10,11,2,5918,2,339,100,4,3,6,3,1,4,7,2,1,140,1,3,44,2,2,8,1289,17,7521,5918,1424,1314,664,1314,664
Polk,1246,10,28,8,14,0,4,23,83,23,8,0,4,4,7035,2,167,56,0,2,0,7,0,3,7,0,6,87,2,5,29,4,4,3,1557,16,8490,7035,1246,1576,381,1576,381
Pope,5772,0,51,20,18,0,21,74,240,23,37,54,16,25,18081,2,621,142,1,1,5,3,1,4,10,3,6,491,6,3,156,8,1,34,3158,64,24432,18081,5772,3256,1464,3256,1464
Prairie,654,0,3,3,3,0,11,8,16,5,2,3,1,0,2786,3,120,40,1,0,2,4,2,0,4,0,6,58,3,5,16,0,0,1,530,7,3495,2786,654,538,264,538,264
Pulaski,101947,440,363,95,74,0,290,719,1668,131,233,0,123,186,63687,74,19163,4752,46,22,10,101,12,21,174,66,173,7484,26,41,4032,13,55,109,12256,282,169956,63687,101947,12647,36265,12647,36265
Randolph,1215,0,85,4,8,0,8,36,55,12,9,10,6,9,5355,1,191,79,7,0,0,2,1,4,5,9,6,123,1,1,38,2,0,6,736,7,6812,5355,1215,749,470,749,470
