county,gen_ind_CELLA,gen_oth_BIDEN,gen_oth_BLANKENSHIP,gen_oth_CARROLL,gen_oth_CHARLES,gen_oth_COLLINS,gen_oth_FAMBRO,gen_oth_FUENTE,gen_oth_HAMMONS,gen_oth_HAWKINS,gen_oth_HOEFLING,gen_oth_HUBER,gen_oth_HUNTER,gen_oth_JORGENSEN,gen_oth_KENNEDY,gen_oth_KISHORE,gen_oth_KOPITKE,gen_oth_MCHUGH,gen_oth_PIERCE,gen_oth_RIVA,gen_oth_SCOTT,gen_oth_TRUMP,gen_oth_WELLS,gen_oth_WEST,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_GABBARD,pri_dem_III,pri_dem_KRICHEVSKY,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_WELLS,pri_dem_WILLIAMSON,pri_dem_YANG,pri_rep_ARDINI,pri_rep_ISTVAN,pri_rep_MATERN,pri_rep_TRUMP,pri_rep_WALSH,pri_rep_WELD,gen_total,rep_pri_total,dem_pri_total
Adams,1,134202,455,160,197,46,40,72,264,744,4,37,38,3731,24,13,102,60,51,90,23,95657,0,729,14998,12517,92,690,96,40,25,28300,204,8760,30,82,319,209,181,488,39107,814,1235,236740,42034,66153
Alamosa,0,3759,22,7,11,2,0,5,6,23,0,1,1,90,5,2,3,4,3,3,0,3813,0,48,481,348,2,20,11,3,1,934,21,328,2,10,8,10,2,24,1780,42,47,7808,1905,2169
Arapahoe,0,213607,503,297,189,63,65,67,328,926,0,41,45,5423,41,25,94,58,45,118,17,127323,0,908,27219,21591,157,1008,96,41,24,37902,324,16412,28,116,425,397,377,809,56051,1461,2927,350183,62022,105343
Archuleta,0,3738,20,7,6,1,3,0,9,19,0,1,0,120,0,0,2,2,5,2,0,5189,0,20,465,373,4,23,2,4,0,662,14,333,0,7,2,11,7,39,2526,47,82,9144,2712,1889
Baca,0,317,2,3,0,1,0,0,0,3,0,2,0,26,0,0,0,0,0,0,0,1867,0,4,71,43,7,13,2,3,2,60,3,31,1,1,2,2,0,2,1137,7,5,2225,1153,239
Bent,0,732,5,0,0,0,0,3,0,6,0,1,0,15,0,1,0,0,1,0,0,1503,0,7,108,128,1,4,2,1,0,154,9,36,1,3,3,1,0,9,826,10,15,2274,861,450
Boulder,0,159089,219,143,75,19,24,23,122,697,0,22,26,2539,24,12,22,20,33,103,7,42501,0,391,22924,15138,76,777,51,16,10,37563,227,22706,19,84,302,186,183,333,18551,618,1647,206111,21518,99893
Broomfield,0,29077,74,50,23,6,2,8,46,104,0,2,5,772,7,1,10,13,13,14,4,16295,0,106,4152,2988,5,187,4,5,4,5547,48,3029,3,4,74,51,41,123,7371,200,439,46632,8225,16050
Chaffee,0,7160,20,14,11,3,4,2,10,46,1,2,1,189,1,0,3,3,1,2,1,6222,0,22,1046,794,1,48,4,2,0,1505,13,768,4,7,20,20,14,45,3364,69,123,13718,3635,4212
Cheyenne,0,131,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,993,0,3,22,28,0,2,0,0,0,17,3,8,1,1,1,4,3,5,636,3,5,1136,656,83
Clear Creek,0,3604,10,5,7,3,1,2,3,23,0,1,5,113,0,1,1,3,0,2,0,2754,0,10,483,380,1,28,1,0,1,728,8,328,0,6,11,8,6,15,1229,32,63,6548,1353,1975
Conejos,0,1959,15,2,5,1,2,4,1,9,0,0,0,34,0,1,0,2,0,2,0,2286,0,10,388,278,2,18,5,4,0,482,10,81,2,3,12,5,12,11,1028,24,26,4333,1106,1285
Costilla,0,1311,8,0,2,0,0,1,2,4,0,0,1,15,0,2,1,0,0,1,0,741,0,5,202,158,1,10,3,0,0,319,7,83,4,2,8,0,3,4,225,4,7,2094,243,797
Crowley,0,437,3,0,2,1,2,0,3,0,0,0,0,22,0,0,0,1,0,0,0,1271,0,8,81,78,1,6,2,0,0,71,3,29,1,0,1,2,1,11,762,8,18,1750,802,273
Custer,0,1112,5,2,1,1,0,0,4,5,1,0,0,29,0,0,0,1,0,0,0,2474,0,0,154,111,2,9,1,0,0,136,4,110,1,1,2,4,4,8,1506,32,61,3635,1615,531
Delta,0,5887,34,6,12,5,2,3,11,45,0,9,4,218,1,1,7,4,5,2,1,13081,0,32,783,651,8,48,2,5,1,1362,28,525,4,19,13,19,17,44,7198,91,127,19370,7496,3449
Denver,0,313293,314,242,181,63,87,60,222,1230,2,55,49,4870,61,39,70,34,60,287,16,71618,0,976,40881,29216,206,1027,101,41,26,69727,351,37176,21,114,536,279,337,530,25640,944,2329,393829,30059,179423
