county,gen_dem_HARRIS,gen_oth_COHEN,gen_oth_DOW,gen_oth_HOWARD,gen_oth_LEMAY,gen_oth_PATEL,gen_oth_RICHARDSON,gen_oth_ROZE,gen_oth_TIDBALL,gen_oth_WALKER,gen_oth_WALLACE,gen_oth_WEINSTEIN,gen_oth_WELLS,gen_rep_PENCE,pri_dem_BIDEN,pri_dem_GABBARD,pri_dem_SANDERS,pri_dem_UNCOMMITTED,pri_rep_FUENTE,pri_rep_TRUMP,pri_rep_UNCOMMITTED,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Andover,1058,27,0,0,0,0,0,0,0,8,0,0,0,998,229,4,31,10,13,111,17,2091,998,1058,141,274,141,274
Ansonia,4521,63,0,0,0,0,0,0,1,37,0,0,0,3797,787,21,137,49,17,286,20,8419,3797,4521,323,994,323,994
Ashford,1330,35,0,0,0,0,0,0,1,17,1,0,0,1160,345,11,71,7,15,145,21,2544,1160,1330,181,434,181,434
Avon,7299,169,0,0,0,0,0,0,1,49,0,0,0,4469,1610,13,192,18,61,593,154,11987,4469,7299,808,1833,808,1833
Barkhamsted,1154,42,0,0,0,2,0,0,0,16,0,0,0,1228,217,4,41,4,11,157,21,2442,1228,1154,189,266,189,266
Beacon Falls,1543,57,0,0,0,0,0,0,0,12,0,0,0,2191,322,5,52,18,11,191,24,3803,2191,1543,226,397,226,397
Berlin,6008,136,0,0,0,0,0,0,1,41,0,0,0,6687,1347,40,162,82,66,1100,130,12873,6687,6008,1296,1631,1296,1631
Bethany,1912,46,0,0,0,0,0,0,0,22,0,0,0,1718,493,8,103,6,18,199,31,3698,1718,1912,248,610,248,610
Bethel,6270,114,0,0,0,2,0,0,1,51,0,0,0,4734,1244,16,221,32,32,763,92,11172,4734,6270,887,1513,887,1513
Bethlehem,937,21,0,0,0,0,0,0,1,15,0,0,0,1393,207,7,37,7,14,137,17,2367,1393,937,168,258,168,258
Bloomfield,11007,78,0,0,0,1,0,1,2,34,0,0,0,1698,4092,23,219,47,36,193,80,12821,1698,11007,309,4381,309,4381
Bolton,1727,54,0,0,0,0,0,2,0,23,0,0,0,1482,407,14,70,9,18,211,36,3288,1482,1727,265,500,265,500
Bozrah,703,23,0,0,0,0,0,0,0,5,0,0,0,817,158,7,20,8,3,78,16,1548,817,703,97,193,97,193
Branford,10562,178,0,0,0,1,1,1,4,68,0,0,0,7098,2439,28,321,43,45,595,101,17913,7098,10562,741,2831,741,2831
Bridgeport,33515,200,0,0,0,45,0,0,3,153,0,1,2,8269,8585,87,908,300,52,455,72,42188,8269,33515,579,9880,579,9880
Bridgewater,667,10,0,0,0,0,0,0,0,7,0,0,0,549,160,7,20,3,5,70,13,1233,549,667,88,190,88,190
Bristol,15462,357,1,0,0,17,0,2,5,121,0,0,0,13834,3069,79,440,149,88,1282,171,29799,13834,15462,1541,3737,1541,3737
Brookfield,5426,111,0,0,0,1,0,0,4,39,0,0,0,5226,918,13,121,13,50,528,102,10807,5226,5426,680,1065,680,1065
Brooklyn,1876,70,0,0,0,0,0,0,1,13,0,0,0,2262,359,8,69,11,9,229,38,4222,2262,1876,276,447,276,447
Burlington,3099,76,0,0,0,0,0,0,2,22,0,0,0,3034,597,8,87,12,31,320,45,6233,3034,3099,396,704,396,704
Canaan,437,6,0,0,0,0,0,0,1,2,0,0,0,209,131,1,15,4,5,27,8,655,209,437,40,151,40,151
Canterbury,1182,58,0,0,0,0,0,0,0,17,0,0,0,1755,223,4,27,9,14,199,18,3012,1755,1182,231,263,231,263
Canton,3878,97,0,0,0,0,0,0,2,23,0,0,0,2663,795,13,119,12,34,337,73,6663,2663,3878,444,939,444,939
Chaplin,598,22,0,0,0,0,0,0,0,8,0,0,0,662,123,1,34,4,6,95,11,1290,662,598,112,162,112,162
Cheshire,9745,237,0,1,0,0,0,0,0,86,0,0,0,7349,2043,32,262,32,78,748,157,17418,7349,9745,983,2369,983,2369
Chester,1701,29,0,0,0,1,0,1,0,11,0,0,0,853,510,6,85,8,16,99,25,2596,853,1701,140,609,140,609
Clinton,4368,99,0,0,0,0,0,0,0,25,0,0,0,3312,1014,9,140,19,49,464,66,7804,3312,4368,579,1182,579,1182
Colchester,5216,178,0,0,0,0,0,0,0,54,0,0,0,4243,1057,22,199,25,55,454,77,9691,4243,5216,586,1303,586,1303
Colebrook,403,19,0,0,0,0,0,0,0,3,0,0,0,563,83,3,15,6,4,66,13,988,563,403,83,107,83,107
Columbia,1888,61,0,0,0,0,0,1,0,18,0,0,0,1600,438,10,56,15,18,166,31,3568,1600,1888,215,519,215,519
Cornwall,760,9,0,0,0,0,0,0,0,13,0,0,0,250,267,5,45,0,8,33,10,1032,250,760,51,317,51,317
Coventry,4011,154,0,0,0,6,0,0,7,49,0,0,0,3545,816,11,154,16,34,354,58,7772,3545,4011,446,997,446,997
Cromwell,4872,110,0,0,0,5,0,0,5,42,0,0,0,3749,996,20,127,24,38,335,53,8783,3749,4872,426,1167,426,1167
Danbury,18869,261,0,1,0,0,0,0,2,100,0,0,0,12788,2891,44,409,83,100,1096,176,32021,12788,18869,1372,3427,1372,3427
Darien,7876,174,0,0,0,0,0,0,0,47,0,0,0,4921,1202,9,88,14,94,516,229,13018,4921,7876,839,1313,839,1313
Deep River,1785,29,0,0,0,0,0,0,0,12,0,0,0,1076,402,9,68,7,10,94,22,2902,1076,1785,126,486,126,486
Derby,2963,49,0,0,0,0,0,0,0,17,0,0,0,2749,679,26,102,50,14,212,18,5778,2749,2963,244,857,244,857
Durham,2363,65,0,0,0,0,0,0,2,22,0,0,0,2330,475,9,94,9,29,255,58,4782,2330,2363,342,587,342,587
East Granby,1789,55,0,0,0,0,0,0,0,15,0,0,0,1405,357,7,54,9,15,166,23,3264,1405,1789,204,427,204,427
East Haddam,2980,88,0,0,0,0,0,0,1,25,0,0,0,2731,676,11,129,18,30,395,38,5825,2731,2980,463,834,463,834
East Hampton,4051,139,0,0,0,3,1,0,0,48,0,0,0,3746,776,14,137,24,30,305,47,7988,3746,4051,382,951,382,951
East Hartford,14787,227,0,0,0,1,0,0,1,67,0,0,0,5524,2789,39,267,106,45,426,66,20607,5524,14787,537,3201,537,3201
East Haven,6757,111,0,0,0,2,0,0,1,58,0,0,0,7572,1080,18,143,54,21,524,44,14501,7572,6757,589,1295,589,1295
East Lyme,7290,145,0,0,0,0,0,0,0,36,0,0,0,4285,1635,23,231,29,67,466,128,11756,4285,7290,661,1918,661,1918
East Windsor,3008,82,0,0,0,1,0,0,0,20,0,0,0,2541,573,14,84,26,25,259,42,5652,2541,3008,326,697,326,697
Eastford,464,23,0,0,0,0,0,0,0,8,0,0,0,572,99,1,18,0,8,66,29,1067,572,464,103,118,103,118
Easton,2777,46,0,0,0,0,0,0,2,19,0,0,1,2178,573,9,89,12,37,238,59,5023,2178,2777,334,683,334,683
Ellington,4787,142,0,0,0,4,0,1,5,36,1,0,0,4515,862,11,116,17,53,540,66,9491,4515,4787,659,1006,659,1006
Enfield,11263,272,0,0,0,5,0,0,6,85,0,0,0,9298,2238,55,263,103,69,984,146,20929,9298,11263,1199,2659,1199,2659
Essex,3011,44,0,0,0,0,0,0,2,23,0,0,0,1635,852,5,87,10,38,238,63,4715,1635,3011,339,954,339,954
Fairfield,22861,377,0,0,0,1,0,0,7,116,0,0,0,12052,4229,55,500,48,153,1146,315,35414,12052,22861,1614,4832,1614,4832
Farmington,9616,202,0,0,0,0,0,0,3,56,0,0,0,6160,1983,27,248,38,66,717,159,16037,6160,9616,942,2296,942,2296
Franklin,553,28,0,0,0,0,0,0,1,5,0,0,0,674,84,1,15,9,4,65,5,1261,674,553,74,109,74,109
Glastonbury,13990,290,0,0,0,0,0,0,0,96,0,0,0,7998,3003,50,440,43,151,856,263,22374,7998,13990,1270,3536,1270,3536
Goshen,902,32,0,0,0,0,0,0,0,5,0,0,0,1161,207,3,33,8,8,160,15,2100,1161,902,183,251,183,251
Granby,4029,138,0,1,0,0,1,0,3,35,0,0,0,3166,912,23,128,18,51,467,92,7373,3166,4029,610,1081,610,1081
Greenwich,22243,488,1,2,0,2,0,1,12,94,0,0,0,13269,3557,45,305,47,199,1333,445,36112,13269,22243,1977,3954,1977,3954
Griswold,2565,116,0,0,0,1,0,0,0,42,0,0,0,3257,630,27,115,53,22,269,48,5981,3257,2565,339,825,339,825
Groton,10699,319,0,1,0,2,1,1,2,92,0,0,0,6272,2290,30,339,59,81,641,154,17389,6272,10699,876,2718,876,2718
Guilford,9616,135,0,0,0,2,0,0,1,63,0,0,0,5050,2614,19,315,18,70,496,120,14867,5050,9616,686,2966,686,2966
Haddam,2728,67,0,0,0,2,0,0,4,23,0,0,0,2693,630,16,126,19,32,364,45,5517,2693,2728,441,791,441,791
Hamden,21652,174,0,0,0,0,0,0,0,139,0,0,0,7139,6841,73,961,148,85,845,115,29104,7139,21652,1045,8023,1045,8023
Hampton,572,9,0,0,0,0,0,0,1,6,0,0,0,551,159,3,18,4,6,50,7,1139,551,572,63,184,63,184
Hartford,28301,135,0,0,0,1,0,0,0,134,0,0,0,4116,3001,22,416,0,22,117,41,32687,4116,28301,180,3439,180,3439
Hartland,457,11,0,0,0,0,0,0,1,5,0,0,0,818,91,3,24,5,1,130,4,1292,818,457,135,123,135,123
Harwinton,1397,53,0,0,0,0,0,0,1,21,0,0,0,2229,276,12,53,14,8,227,32,3701,2229,1397,267,355,267,355
Hebron,3388,121,0,0,0,0,0,0,0,26,0,0,0,2731,680,12,83,12,33,294,51,6266,2731,3388,378,787,378,787
Kent,1277,12,0,0,0,1,0,0,0,7,0,0,0,568,406,4,56,7,6,87,22,1865,568,1277,115,473,115,473
