county,gen_dem_BIDEN,gen_lib_JORGENSEN,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_DELANEY,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Appling,1779,36,6526,15,647,7,3,13,5,4,3,61,14,7,10,3238,8341,3238,789
Atkinson,825,30,2300,8,269,4,0,3,2,0,2,24,2,3,1,1361,3155,1361,318
Bacon,625,25,4018,3,137,4,0,4,0,1,0,14,4,9,1,2310,4668,2310,177
Baker,652,6,897,13,374,13,6,9,16,8,2,52,10,23,23,65,1555,65,549
Baldwin,9140,208,8903,42,3776,24,16,9,10,11,1,268,3,81,24,3587,18251,3587,4265
Banks,932,74,7795,0,267,6,1,2,2,3,1,64,0,6,5,3622,8801,3622,357
Barrow,10453,664,26804,15,3061,30,26,4,15,17,0,442,4,70,40,8476,37921,8476,3724
Bartow,12092,701,37674,21,3576,37,40,2,20,22,4,546,7,75,43,14559,50467,14559,4393
Ben Hill,2392,58,4110,8,874,11,0,7,6,2,2,44,4,12,3,1529,6560,1529,973
Berrien,1269,55,6419,8,361,2,1,2,1,5,0,53,2,4,3,3014,7743,3014,442
Bibb,43468,749,26585,228,19406,279,130,47,200,145,25,1719,37,404,201,11137,70802,11137,22821
Bleckley,1311,67,4328,9,366,1,4,3,1,5,0,40,0,6,4,1684,5706,1684,439
Brantley,699,56,6991,3,210,4,2,0,1,0,0,28,2,4,3,3442,7746,3442,257
Brooks,2790,50,4260,4,904,8,3,3,2,0,0,53,1,11,6,1680,7100,1680,995
Bryan,6739,357,14244,13,2046,15,21,5,5,11,3,204,16,51,26,5639,21340,5639,2416
Bulloch,11243,455,18386,28,3490,31,22,8,7,13,4,472,25,109,32,8846,30084,8846,4241
Burke,5209,75,5400,43,2605,37,14,18,23,27,9,213,53,42,44,1569,10684,1569,3128
Butts,3274,91,8406,11,1199,17,2,4,3,6,0,94,2,15,8,3313,11771,3313,1361
Calhoun,1260,11,923,31,787,17,7,12,12,18,5,89,9,21,26,162,2194,162,1034
Camden,7967,470,15251,12,2231,17,19,2,9,14,4,198,2,45,11,4600,23688,4600,2564
Candler,1269,29,3133,4,434,1,1,1,0,1,0,30,4,7,5,1510,4431,1510,488
Carroll,16238,760,37476,32,5663,48,45,8,27,28,5,783,3,149,41,15290,54474,15290,6832
Catoosa,6932,494,25167,4,1536,22,15,1,6,14,0,231,2,37,23,9604,32593,9604,1891
Charlton,1103,44,3419,1,197,2,1,2,0,0,1,9,0,2,2,1921,4566,1921,217
Chatham,78254,1929,53237,150,29290,180,211,38,82,123,22,2844,146,588,215,18669,133420,18669,33889
Chattahoochee,667,35,880,7,281,4,0,0,4,2,4,40,1,13,7,244,1582,244,363
Chattooga,1854,132,8064,6,627,9,7,3,2,6,2,70,1,11,0,4225,10050,4225,744
Cherokee,42794,2449,99587,32,12756,104,166,9,77,68,5,1987,12,374,153,35457,144830,35457,15743
Clarke,36048,839,14446,64,12175,125,123,14,63,101,13,3454,11,906,176,5004,51333,5004,17225
Clay,790,7,637,2,336,2,1,7,3,0,1,9,2,4,2,278,1434,278,369
Clayton,95476,1055,15813,224,39503,283,63,58,88,69,57,3367,28,446,247,4522,112344,4522,44433
Clinch,747,12,2105,1,141,4,1,0,0,0,0,10,3,2,0,1530,2864,1530,162
Cobb,221846,6441,165459,208,84811,531,731,62,329,403,72,10690,42,2187,830,63696,393746,63696,100896
Coffee,4511,125,10578,12,1098,17,3,8,3,5,2,103,1,17,12,4931,15214,4931,1281
Colquitt,4187,119,11777,12,1310,9,11,6,3,7,3,108,4,20,4,5139,16083,5139,1497
Columbia,29236,1330,50013,22,9006,39,70,6,35,32,8,881,36,158,63,17358,80579,17358,10356
Cook,2059,76,4900,8,709,13,3,7,0,3,1,65,3,8,4,1854,7035,1854,824
Coweta,24210,1088,51501,28,8170,64,58,10,32,40,6,811,5,166,59,17274,76799,17274,9449
Crawford,1615,59,4428,10,761,8,2,1,1,0,1,50,1,10,8,1593,6102,1593,853
Crisp,2986,66,4987,8,880,14,3,3,1,3,1,42,2,13,7,2685,8039,2685,977
Dade,1261,107,6066,3,341,3,2,1,1,1,1,39,2,9,2,3070,7434,3070,405
Dawson,2486,197,13398,2,665,10,7,1,3,5,1,73,1,12,5,5978,16081,5978,785
Decatur,4780,89,6758,41,1731,35,21,9,63,41,9,149,18,50,73,1497,11627,1497,2240
Dekalb,308227,4204,58373,477,129273,772,943,89,361,510,111,15452,71,4803,1077,17425,370804,17425,153939
Dodge,2171,56,5843,9,522,4,0,4,1,5,0,63,3,9,1,3799,8070,3799,621
Dooly,1911,35,2159,32,903,26,16,10,21,24,5,87,5,29,54,551,4105,551,1212
Dougherty,24577,280,10454,110,10692,94,36,30,60,51,27,648,19,118,103,3571,35311,3571,11988
Douglas,42809,837,25451,126,18905,213,106,40,271,139,43,1835,42,292,346,8079,69097,8079,22358
Early,2437,28,2722,37,1173,21,2,13,2,14,5,98,5,30,14,1241,5187,1241,1414
Echols,167,18,1256,0,35,1,0,1,0,0,0,7,0,1,0,772,1441,772,45
Effingham,7720,492,23358,16,2425,17,11,6,10,5,5,211,14,60,25,8411,31570,8411,2805
Elbert,2879,66,6226,11,1018,8,3,1,5,4,1,73,7,12,10,2624,9171,2624,1153
Emanuel,2884,66,6551,9,1034,6,2,6,3,0,1,85,13,20,3,4431,9501,4431,1182
