county,gen_dem_BIDEN,gen_ind_FUENTE,gen_ind_PIERCE,gen_ind_WEST,gen_lib_JORGENSEN,gen_oth_BLANKENSHIP,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_BURKE,pri_dem_BUTTIGIEG,pri_dem_CASTRO,pri_dem_DELANEY,pri_dem_FUENTE,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_WILLIAMSON,pri_dem_YANG,pri_oth_BENNET,pri_oth_BIDEN,pri_oth_BLANKENSHIP,pri_oth_BLOOMBERG,pri_oth_BOOKER,pri_oth_BURKE,pri_oth_BUTTIGIEG,pri_oth_CASTRO,pri_oth_CUMMINGS,pri_oth_DELANEY,pri_oth_ELY,pri_oth_FUENTE,pri_oth_GABBARD,pri_oth_GRUNDMANN,pri_oth_KLOBUCHAR,pri_oth_KRAUT,pri_oth_MATERN,pri_oth_MYERS,pri_oth_PATRICK,pri_oth_SANDERS,pri_oth_STEYER,pri_oth_TITTLE,pri_oth_TRUMP,pri_oth_WALSH,pri_oth_WARREN,pri_oth_WELD,pri_oth_WILLIAMSON,pri_oth_YANG,pri_rep_ELY,pri_rep_FUENTE,pri_rep_MATERN,pri_rep_TRUMP,pri_rep_WALSH,pri_rep_WELD,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Ada,120539,356,875,1172,5310,438,130699,32,22704,794,8,2,572,5,5,3,311,264,2,21361,25,1289,14,128,0,0,42,0,0,0,0,0,18,0,0,0,0,23,0,21,0,22,0,0,0,53,0,0,0,0,0,0,65,95,95,19851,438,755,259389,130699,120539,21299,47519,21299,47519
Adams,591,3,6,5,34,6,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,2,0,0,3,0,1,1,3,2,3,0,7,1,3,2,0,77,0,3,656,19,8,8,0,0,0,0,0,0,0,0,2586,1941,591,0,0,0,0
Bannock,14682,89,212,205,947,87,23331,3,2874,209,5,6,108,4,5,2,62,46,1,2821,10,159,2,12,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,24,28,35,4597,140,82,39553,23331,14682,4906,6329,4906,6329
Bear Lake,350,4,3,11,25,8,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2,5,0,1,3,0,1,0,3,6,1,0,8,3,10,0,0,27,2,1,940,29,3,12,0,0,0,0,0,0,0,0,3315,2914,350,0,0,0,0
Benewah,977,6,17,28,58,9,3878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,3,8,1,0,3,0,2,0,5,2,8,0,2,0,1,1,0,154,1,1,935,6,14,4,0,1,0,0,0,0,0,0,4973,3878,977,0,0,0,0
Bingham,4124,49,65,100,307,56,15295,2,537,81,1,2,21,1,1,2,18,14,0,467,6,26,2,4,0,0,3,0,0,0,0,0,10,0,0,0,0,1,0,5,0,4,0,0,0,3,0,0,0,0,0,0,12,16,26,3196,79,40,19996,15295,4124,3369,1185,3369,1185
Blaine,8919,34,36,53,168,47,4032,2,2315,127,1,0,55,0,1,0,22,28,1,1213,3,91,2,4,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,7,0,0,0,0,0,0,2,3,1,605,22,27,13289,4032,8919,660,3865,660,3865
Boise,1204,7,15,30,67,12,3485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,273,7,6,0,0,12,0,3,1,1,8,6,0,5,1,1,1,0,145,2,3,1030,41,13,38,0,0,0,0,0,0,0,0,4820,3485,1204,0,0,0,0
Bonner,8310,37,60,102,401,56,18369,3,1690,88,1,1,41,0,2,0,16,38,2,1391,4,102,0,9,0,0,10,0,0,0,0,0,7,0,0,0,0,5,0,3,0,2,0,0,0,2,0,0,0,0,0,0,11,19,17,4203,83,112,27335,18369,8310,4445,3388,4445,3388
Bonneville,14254,90,186,259,1288,113,37805,2,2082,112,3,3,43,1,3,1,40,35,1,1835,3,102,1,11,0,0,12,0,0,0,0,0,7,0,0,0,0,4,0,11,0,7,0,0,0,12,0,0,0,0,0,0,27,54,46,5261,155,154,53995,37805,14254,5697,4278,5697,4278
Boundary,1220,14,16,15,82,29,4937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,6,12,0,0,6,0,1,0,6,6,6,0,5,2,2,1,0,200,0,1,1168,17,13,19,1,2,0,0,0,0,0,0,6313,4937,1220,0,0,0,0
Butte,188,2,2,5,11,5,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,1,0,3,3,1,0,0,0,1,0,0,23,0,0,252,5,0,2,0,0,0,0,0,0,0,0,1415,1202,188,0,0,0,0
