county,gen_dem_BIDEN,gen_dem_HARRIS,gen_grn_W,gen_ind_W,gen_lib_COHE,gen_lib_COHEN,gen_lib_JORGENSEN,gen_lib_JORGENSON,gen_oth_CARROLL,gen_oth_COHEN,gen_oth_HARRIS,gen_oth_HAWKINS,gen_oth_IN,gen_oth_INS,gen_oth_PENCE,gen_oth_VOTES,gen_oth_W,gen_rep_PENCE,gen_rep_TRUMP,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_TRUMP,pri_rep_WELD,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Adams,0,3236,0,0,0,287,0,0,0,287,3236,0,30,0,10685,0,0,10686,0,978,18,34,9,16,141,8,31,11,4501,294,28447,10686,3236,4795,1246,4795,1246
Allen,0,73189,29,2,0,3728,0,0,0,0,0,0,0,0,0,0,51,92083,0,21296,206,810,87,189,3941,56,747,193,27627,2433,169082,92083,73189,30060,27525,30060,27525
Bartholomew,0,12934,9,0,0,872,0,0,0,863,12934,0,84,0,22410,0,10,22410,0,4286,42,193,20,52,672,9,177,42,9027,1113,72526,22410,12934,10140,5493,10140,5493
Benton,0,3027,1,2,0,276,0,0,0,0,0,0,0,0,0,14,3,9021,0,246,3,16,0,1,53,0,10,2,1639,206,12344,9021,3027,1845,331,1845,331
Blackford,0,2752,1,0,0,264,0,0,0,0,0,0,9,0,0,0,1,7682,0,493,13,26,5,5,63,3,10,5,1234,74,10709,7682,2752,1308,623,1308,623
Boone,0,15244,7,0,0,905,0,0,0,905,15244,0,168,0,22351,0,13,22351,0,3952,20,238,19,36,530,4,162,42,7276,999,77188,22351,15244,8275,5003,8275,5003
Brown,3036,3036,0,0,0,168,168,0,0,0,0,0,0,0,0,0,0,5777,5777,1003,6,32,4,9,205,1,26,6,1745,111,17962,11554,6072,1856,1292,1856,1292
Carroll,2224,2224,0,0,0,185,185,0,0,0,0,0,19,0,0,0,0,7086,7086,648,12,31,2,14,94,8,33,12,2523,215,19009,14172,4448,2738,854,2738,854
Cass,0,4304,3,1,0,333,0,0,0,0,0,0,0,0,0,0,5,10552,0,1258,20,58,3,12,188,5,22,14,3742,445,15198,10552,4304,4187,1580,4187,1580
Clark,23093,23093,0,0,0,1108,1108,0,0,0,0,0,0,188,0,0,0,33668,33668,7786,136,345,60,109,1322,45,299,142,9966,644,115926,67336,46186,10610,10244,10610,10244
Clay,2552,2552,6,0,0,208,208,0,0,0,0,0,22,0,0,0,2,9499,9499,897,22,44,9,26,107,12,27,17,2388,67,24548,18998,5104,2455,1161,2455,1161
Clinton,3361,3361,6,0,0,246,246,0,0,0,0,0,20,0,0,0,2,9334,9334,746,14,39,3,10,137,1,26,9,3438,350,25910,18668,6722,3788,985,3788,985
Crawford,1354,1355,0,0,0,106,106,0,0,0,0,0,4,0,0,0,0,3483,3483,569,9,15,10,17,71,8,23,5,967,35,9891,6966,2709,1002,727,1002,727
Daviess,2169,2169,3,0,0,204,204,0,0,0,0,0,22,0,0,0,2,9576,9576,569,13,15,3,6,113,7,18,8,3689,260,23925,19152,4338,3949,752,3949,752
Dearborn,5445,5446,12,1,0,387,387,0,0,0,0,0,72,0,0,0,9,19528,19528,1327,30,48,13,15,190,4,23,20,4601,249,50815,39056,10891,4850,1670,4850,1670
Decatur,2436,2439,0,0,0,273,273,0,0,0,0,0,17,0,0,0,0,9575,9570,648,18,34,6,12,96,9,25,10,3365,203,24583,19145,4875,3568,858,3568,858
Dekalb,4966,4966,0,0,0,425,425,0,0,0,0,0,28,0,0,0,0,14237,14237,1360,19,70,8,11,199,9,33,14,4502,359,39284,28474,9932,4861,1723,4861,1723
Delaware,0,20474,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,26827,0,6743,124,329,62,90,1480,37,289,128,8211,597,48191,26827,20474,8808,9282,8808,9282
Dubois,6292,6292,0,0,0,432,432,0,0,0,0,0,49,0,0,0,13,15033,15033,2066,39,97,16,31,265,12,59,27,2487,142,43576,30066,12584,2629,2612,2629,2612
Elkhart,0,26108,37,3,0,1241,0,0,0,0,0,0,0,0,0,0,26,46972,0,6763,37,387,22,62,1131,18,260,47,14472,1465,74387,46972,26108,15937,8727,15937,8727
Fayette,2237,2237,0,0,144,144,0,0,0,0,0,0,10,0,0,0,0,7755,7755,739,19,36,11,8,103,3,16,6,2359,101,20282,15510,4474,2460,941,2460,941
Floyd,17511,17511,24,2,0,850,841,0,0,0,0,0,0,138,0,0,15,23400,23400,5492,91,247,43,62,1034,22,253,81,6823,537,83692,46800,35022,7360,7325,7360,7325
Fountain,1629,1629,2,0,0,200,200,0,1,0,0,2,0,0,0,7,1,6154,6154,462,6,16,2,6,69,6,9,0,2343,171,15979,12308,3258,2514,576,2514,576
Franklin,2137,2137,1,0,0,169,169,0,0,0,0,0,21,0,0,0,2,9691,9691,666,11,30,3,2,86,4,13,9,2541,101,24018,19382,4274,2642,824,2642,824
Fulton,0,2280,3,0,0,170,0,0,0,0,0,0,0,0,0,0,0,6694,0,555,11,41,7,7,71,3,10,6,1744,131,9147,6694,2280,1875,711,1875,711
Gibson,0,4023,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,11817,0,1317,27,37,7,30,165,10,30,27,4005,283,16161,11817,4023,4288,1650,4288,1650
Grant,0,8015,4,1,0,584,0,0,0,0,0,0,0,0,0,0,12,18543,0,2485,44,80,17,26,335,14,90,31,7300,508,27159,18543,8015,7808,3122,7808,3122
Greene,3389,3389,1,1,0,290,290,0,0,0,0,0,25,0,0,0,0,11103,11305,1205,34,68,11,18,153,10,37,12,3453,203,29793,22408,6778,3656,1548,3656,1548
Hamilton,0,88390,57,9,0,3894,0,0,0,0,0,0,0,0,0,0,62,101587,0,22170,111,1047,85,136,3539,26,882,233,35986,5386,193999,101587,88390,41372,28229,41372,28229
