county,gen_dem_JR,gen_lib_JORGENSEN,gen_oth_BLANKENSHIP,gen_oth_BODDIE,gen_oth_CARROLL,gen_oth_HAMMONS,gen_oth_HOEFLING,gen_oth_KENNEDY,gen_oth_PIERCE,gen_oth_RIVA,gen_oth_SIMMONS,gen_oth_WEST,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BURKE,pri_dem_BUTTIGIEG,pri_dem_DELANEY,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_WELLS,pri_dem_YANG,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Acadia,5443,241,16,12,25,8,8,3,6,4,18,45,22596,52,1060,56,21,32,19,26,34,13,103,17,47,15,70,28425,22596,5443,0,1565,0,1565
Allen,2108,73,6,2,11,1,3,0,3,1,13,15,7574,48,546,17,13,14,7,6,14,2,36,14,20,12,36,9810,7574,2108,0,785,0,785
Ascension,20399,816,20,32,89,16,19,13,28,26,46,134,40687,103,4455,88,32,39,53,41,53,15,315,18,87,34,112,62325,40687,20399,0,5445,0,5445
Assumption,3833,68,8,5,13,5,1,4,3,2,6,16,7271,50,958,23,9,14,18,9,25,9,45,4,25,14,26,11235,7271,3833,0,1229,0,1229
Avoyelles,4979,161,8,23,20,1,7,5,3,5,11,41,12028,36,917,28,10,19,16,13,17,9,76,8,23,10,35,17292,12028,4979,0,1217,0,1217
Beauregard,2542,172,6,6,18,3,5,0,1,3,13,13,13575,52,682,21,13,15,21,12,11,9,70,13,23,16,50,16357,13575,2542,0,1008,0,1008
Bienville,3067,49,4,10,7,1,1,1,3,1,3,12,3891,26,915,25,11,10,12,13,5,4,38,4,24,7,19,7050,3891,3067,0,1113,0,1113
Bossier,15662,632,31,22,40,12,19,9,15,19,38,82,38074,69,2886,100,11,38,24,37,55,22,213,20,66,28,77,54655,38074,15662,0,3646,0,3646
Caddo,55110,1021,38,50,122,37,27,28,33,37,98,290,48021,210,12845,301,56,76,47,52,87,30,761,35,227,32,118,104912,48021,55110,0,14877,0,14877
Calcasieu,25982,1083,36,30,89,24,38,19,27,26,79,164,55066,208,7180,186,64,98,100,126,114,46,525,41,183,63,277,82663,55066,25982,0,9211,0,9211
