county,gen_dem_JR,gen_lib_JORGENSEN,gen_oth_HAWKINS,gen_oth_OTHERS,gen_oth_PREFERENCE,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_BUTTIGIEG,pri_dem_CASTRO,pri_dem_DELANEY,pri_dem_GABBARD,pri_dem_JR,pri_dem_KLOBUCHAR,pri_dem_OTHERS,pri_dem_PATRICK,pri_dem_PREFERENCE,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_WILLIAMSON,pri_dem_YANG,pri_lib_ABRAMSON,pri_lib_ARMSTRONG,pri_lib_BEHRMAN,pri_lib_HORNBERGER,pri_lib_JORGENSEN,pri_lib_KOKESH,pri_lib_OTHERS,pri_lib_PREFERENCE,pri_lib_ROBB,pri_lib_RUFF,pri_lib_SUPREME,pri_lib_VOHRA,pri_oth_CURRY,pri_oth_HAWKINS,pri_oth_HUNTER,pri_oth_MESPLAY,pri_oth_OTHERS,pri_oth_PREFERENCE,pri_oth_ROLDE,pri_rep_FUENTE,pri_rep_OTHERS,pri_rep_PREFERENCE,pri_rep_TRUMP,pri_rep_WALSH,pri_rep_WELD,gen_total,rep_pri_total,dem_pri_total
Barnstable,91994,1856,638,526,0,55311,45,8011,13,2177,2,18,388,21423,1056,51,213,186,12106,426,9399,31,86,2,4,22,6,5,10,38,29,4,13,14,4,6,6,8,2,10,12,0,39,115,292,17723,143,1554,150325,19866,55631
Berkshire,51705,927,465,214,0,18064,15,2634,6,461,11,11,115,10978,227,22,210,80,8196,28,5549,13,26,4,2,5,11,3,2,15,8,4,4,5,0,4,8,4,2,12,6,0,8,24,59,2527,65,432,71375,3115,28582
Bristol,153377,3667,1427,936,0,119872,88,10350,37,2196,25,46,635,29181,818,189,547,504,22885,488,10606,44,120,3,15,18,35,13,9,81,70,9,18,22,6,5,13,14,3,34,27,0,39,132,277,20003,239,1417,279279,22107,78759
Dukes,9914,138,82,33,0,2631,5,718,2,192,1,0,36,1962,99,5,19,7,1632,30,1287,3,8,2,0,2,2,0,0,2,3,0,1,1,0,0,1,1,0,2,0,0,1,8,11,522,22,74,12798,638,6006
Essex,267198,5356,1899,1920,0,144837,167,20661,49,4761,48,79,1482,52900,2111,268,852,586,41877,890,28220,67,264,10,20,25,42,11,14,136,99,22,25,74,22,12,17,18,5,31,24,0,83,254,550,31124,349,3218,421210,35578,155282
Franklin,30030,692,380,155,0,11201,8,1274,2,305,1,47,161,4804,159,13,84,44,8185,66,5159,10,42,3,5,6,6,2,2,7,15,3,6,9,1,7,16,7,2,10,11,0,9,17,42,1886,30,341,42458,2325,20364
Hampden,125948,2971,1166,774,0,87318,165,7860,28,1170,44,62,484,23009,599,189,537,319,19260,141,8599,30,118,6,7,17,14,4,6,64,27,3,10,19,4,5,10,18,4,10,17,0,64,251,204,13272,192,1178,218177,15161,62614
Hampshire,63362,1086,768,357,0,22281,17,3052,8,721,6,9,231,10722,426,41,141,146,15318,57,12986,16,58,0,4,11,15,5,2,24,30,2,4,13,5,16,18,13,1,29,15,1,14,24,80,3909,37,567,87854,4631,43955
Middlesex,617196,10649,4484,4292,0,226956,255,45727,102,11302,49,136,2733,123553,5328,404,1374,1269,99704,1517,109318,124,895,22,32,84,98,48,29,201,186,29,51,91,41,36,53,53,13,97,71,3,151,471,1037,50703,667,6463,863577,59492,403790
Nantucket,5241,81,41,29,0,1914,2,373,0,66,0,4,15,1055,35,1,9,9,624,17,384,1,4,0,1,1,0,0,0,2,2,1,0,1,0,0,0,2,0,1,3,0,4,9,9,352,12,59,7306,445,2599
Norfolk,273312,5191,1753,2201,0,125294,102,23101,42,4791,11,55,1352,61914,2317,275,658,694,36074,862,34126,68,345,17,12,27,30,20,7,96,88,9,23,37,18,13,12,11,5,24,38,0,80,303,598,28554,334,3207,407751,33076,166787
Plymouth,173630,4310,1324,1325,0,121227,60,13390,33,3352,19,53,933,37270,1400,127,566,468,23254,789,14214,59,164,7,11,21,18,8,10,89,62,8,20,33,18,9,12,19,1,24,20,0,55,173,537,28279,282,2388,301816,31714,96151
Suffolk,270522,2959,1695,1673,0,58613,213,13745,59,2513,52,103,819,47608,965,196,974,464,48636,377,41885,70,312,4,9,21,41,14,14,82,62,14,15,23,19,14,22,27,11,36,26,0,41,148,140,8801,207,1127,335462,10464,158991
Worcester,248773,7130,2536,1892,0,171683,115,15304,45,4393,36,52,1164,47482,1757,160,739,569,39239,1074,22132,81,266,18,23,34,51,8,20,121,123,19,34,57,13,14,29,29,6,49,46,0,87,223,549,31460,429,3400,432014,36148,134608
