county,gen_dem_JR,gen_grn_HAWKINS,gen_ind_COLLINS,gen_ind_PIERCE,gen_ind_WEST,gen_lib_JORGENSEN,gen_oth_BLANKENSHIP,gen_oth_CARROLL,gen_rep_TRUMP,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_FUENTE,pri_rep_TRUMP,pri_rep_WELD,gen_total,rep_pri_total,dem_pri_total
Adams,7917,10,17,2,54,48,7,8,5696,3447,146,8,19,8,4,502,5,15,8,5,1671,10,13759,1686,4162
Alcorn,2782,9,12,4,32,118,11,7,12818,1036,30,3,11,5,3,209,3,4,1,10,2886,15,15793,2911,1305
Amite,2620,10,7,3,17,21,5,10,4503,1240,40,3,5,5,4,166,6,4,5,2,1772,11,7196,1785,1478
Attala,3542,11,7,4,22,36,15,8,5178,1609,55,2,11,0,1,308,3,10,5,2,1603,11,8823,1616,2004
Benton,1679,5,5,3,6,12,3,6,2570,531,42,5,2,1,1,86,5,4,3,1,603,3,4289,607,680
Bolivar,8904,19,10,3,62,48,7,20,4671,3799,109,8,17,5,2,580,5,26,9,3,1117,11,13744,1131,4560
Calhoun,1902,4,10,6,17,15,9,2,4625,730,29,1,2,4,1,129,2,12,2,5,1719,6,6590,1730,912
Carroll,1729,7,3,2,12,14,8,2,3924,791,50,2,7,1,1,138,2,3,4,1,1076,6,5701,1083,999
Chickasaw,3810,9,14,2,37,75,11,8,4175,1612,65,7,8,5,1,218,7,7,0,4,1260,4,8141,1268,1930
Choctaw,1185,2,4,1,6,16,5,3,3001,519,32,1,7,3,2,74,0,3,3,5,959,3,4223,967,644
Claiborne,3772,10,7,6,23,11,7,10,603,1495,82,8,6,4,3,239,3,8,4,0,109,1,4449,110,1852
Clarke,2838,14,6,3,20,28,7,5,5417,1305,56,3,3,3,0,124,1,9,5,9,2127,10,8338,2146,1509
Clay,5844,12,17,8,35,48,27,17,4181,2751,118,10,15,3,3,278,1,20,1,4,1210,4,10189,1218,3200
Coahoma,6020,14,6,2,39,20,11,14,2375,2452,102,7,40,19,8,478,17,37,28,2,222,4,8501,228,3188
Copiah,6470,11,20,4,40,58,15,15,6250,3068,139,4,16,5,7,721,6,17,10,11,2257,12,12883,2280,3993
Covington,3416,3,7,2,27,33,13,5,5854,1528,52,5,4,2,4,185,1,6,2,7,2162,13,9360,2182,1789
Desoto,28265,96,94,119,219,722,67,80,46462,8622,163,20,31,19,2,2202,11,75,10,26,9933,87,76124,10046,11155
Forrest,13755,54,29,14,119,329,31,33,17290,4876,183,11,22,6,8,1405,6,58,11,58,6384,126,31654,6568,6586
Franklin,1480,3,4,4,14,21,6,6,2923,624,40,2,1,0,1,155,0,2,1,1,1216,8,4461,1225,826
George,1218,10,12,5,21,54,10,6,9713,425,18,2,0,2,0,105,2,6,2,5,3718,19,11049,3742,562
Greene,966,4,4,4,10,20,8,2,4794,376,15,3,1,1,1,38,2,1,1,2,1749,13,5812,1764,439
Grenada,4734,8,13,6,18,38,4,9,6081,1927,103,5,16,14,4,230,5,13,6,4,1725,10,10911,1739,2323
Hancock,4504,23,16,11,43,183,25,20,16132,1421,34,13,28,11,1,543,2,26,4,47,5155,62,20957,5264,2083
Harrison,27728,101,82,30,182,726,57,40,46822,9808,244,30,45,15,6,2457,11,82,17,152,15851,311,75768,16314,12715
Hinds,73550,110,114,60,422,396,86,116,25141,36523,549,54,134,46,26,6291,36,211,54,52,6988,120,99995,7160,43924
Holmes,6588,15,13,14,46,26,18,26,1369,3253,130,12,6,6,8,478,7,10,7,1,369,0,8115,370,3917
Humphreys,3016,4,3,4,20,10,7,7,1118,1520,90,7,10,6,1,213,5,8,5,0,317,4,4189,321,1865
Issaquena,355,0,1,0,1,5,5,1,308,172,14,0,1,1,0,28,1,1,1,0,105,1,676,106,219
Itawamba,1249,15,11,3,15,79,7,2,9438,467,10,3,6,0,2,135,0,1,2,7,3071,14,10819,3092,626
Jackson,17375,76,49,37,125,474,63,49,36295,6711,142,21,30,14,2,1453,5,52,12,87,13377,193,54543,13657,8442
Jasper,4341,6,10,5,22,30,13,7,4302,2121,93,9,5,6,3,236,5,7,2,4,1474,12,8736,1490,2487
Jeff Davis,3599,5,11,5,29,16,8,6,2534,1845,76,6,8,0,2,255,5,8,4,0,798,8,6213,806,2209
Jefferson,3327,6,1,1,18,14,6,4,531,1404,62,3,5,0,3,242,3,6,2,2,141,0,3908,143,1730
Jones,8517,24,26,9,69,169,30,21,21226,3563,106,7,6,4,5,552,5,14,6,19,8680,59,30091,8758,4268
Kemper,2887,9,9,5,9,10,9,6,1787,1250,53,2,4,2,4,124,3,3,3,1,621,5,4731,627,1448
Lafayette,10070,40,14,8,55,242,16,29,12949,3049,90,18,28,13,3,1228,6,99,7,13,2389,25,23423,2427,4541
Lamar,7340,32,19,10,66,264,21,29,20704,2480,78,11,18,11,0,702,3,19,9,38,7294,99,28485,7431,3331
Lauderdale,12960,25,24,14,67,149,25,16,17967,5218,153,7,12,9,8,611,4,17,7,23,6286,56,31247,6365,6046
Lawrence,2260,8,5,1,19,19,11,5,4285,1148,50,4,4,2,5,161,1,9,1,10,1779,5,6613,1794,1385
Leake,3897,6,8,1,23,19,14,4,5228,1742,65,2,5,1,2,339,7,11,1,8,1946,6,9200,1960,2175
Lee,12189,44,32,12,116,292,30,32,24207,4471,130,7,14,5,2,957,2,38,9,17,6043,33,36954,6093,5635
Leflore,7648,9,9,6,39,31,13,9,3129,2857,79,8,3,3,0,284,7,13,3,1,522,2,10893,525,3257
Lincoln,5040,19,11,7,31,64,18,15,11596,2129,87,10,7,1,5,423,4,11,0,14,4041,24,16801,4079,2677
Lowndes,13087,32,21,9,71,182,20,19,13800,5011,106,7,11,2,1,717,6,25,7,14,3706,23,27241,3743,5893
Madison,24440,41,53,14,140,351,37,45,31091,10849,180,24,41,11,7,2002,17,72,13,64,9766,135,56212,9965,13216
Marion,3787,11,11,5,29,44,12,5,8273,1728,67,3,2,1,0,219,3,6,1,17,3604,22,12177,3643,2030
Marshall,8057,27,23,11,51,48,23,11,7566,3343,146,4,13,8,2,486,8,19,9,3,1817,7,15817,1827,4038
Monroe,5874,17,22,4,39,93,20,13,11177,2419,80,2,13,5,3,309,1,20,7,9,3045,15,17259,3069,2859
Montgomery,2121,3,4,1,11,9,5,4,2917,937,81,6,3,8,2,164,0,9,3,1,897,6,5075,904,1213
Neshoba,3260,6,12,2,34,46,15,8,8320,1213,35,3,4,2,0,203,1,11,5,15,3016,24,11703,3055,1477
Newton,3075,8,9,6,28,47,7,6,6997,1338,54,0,1,3,3,172,2,3,0,10,2676,16,10183,2702,1576
Noxubee,4040,6,6,4,15,13,10,5,1240,1551,77,9,6,1,3,185,0,7,3,2,313,2,5339,317,1842
Oktibbeha,10299,51,28,14,61,255,17,28,9004,3564,136,18,25,14,0,971,5,56,13,7,2402,33,19757,2442,4802
Panola,7403,11,19,11,49,48,19,7,8060,3084,158,6,11,9,4,429,16,19,8,4,1982,10,15627,1996,3744
Pearl River,4148,31,12,13,42,160,18,14,19595,1240,30,5,15,2,3,353,5,14,5,39,7164,75,24033,7278,1672
Perry,1362,7,4,4,9,21,6,3,4500,536,36,0,0,2,2,83,2,0,2,3,1749,4,5916,1756,663
Pike,8646,18,22,4,43,91,21,18,8479,3471,132,15,13,5,8,570,6,24,5,7,3068,18,17342,3093,4249
Pontotoc,2614,17,16,4,30,103,16,11,11550,957,38,8,11,3,2,224,4,8,2,11,3745,14,14361,3770,1257
Prentiss,2153,6,9,3,20,70,10,3,8370,899,24,5,9,5,2,148,1,12,3,3,2178,10,10644,2191,1108
Quitman,2150,5,3,3,12,12,7,8,1026,911,63,1,3,5,4,139,7,7,8,0,112,0,3226,112,1148
Rankin,18847,62,57,12,135,555,42,50,50895,7611,115,15,37,11,2,1745,8,38,11,67,19150,215,70655,19432,9593
Scott,4330,22,13,4,24,38,6,11,6285,2156,76,3,7,1,12,344,11,15,5,10,2305,13,10733,2328,2630
Sharkey,1465,6,1,0,8,9,1,5,688,767,37,2,5,2,1,107,1,4,2,0,171,1,2183,172,928
Simpson,4037,23,14,4,30,49,14,9,7635,1940,56,3,6,2,5,331,3,12,2,15,3336,31,11815,3382,2360
Smith,1791,6,11,2,13,33,9,4,6458,794,41,2,3,2,0,128,2,5,1,7,2417,16,8327,2440,978
Stone,1802,8,14,2,12,57,13,6,5964,680,23,1,1,1,2,135,3,3,2,23,2513,35,7878,2571,851
Sunflower,6781,14,8,3,37,18,13,8,2799,2754,119,6,22,10,5,385,7,15,2,2,569,3,9681,574,3325
Tallahatchie,3105,15,9,1,22,20,11,14,2488,1368,99,5,14,7,4,213,5,11,8,0,581,1,5685,582,1734
Tate,4183,16,12,7,56,84,12,16,8707,1455,63,0,7,11,2,263,3,12,1,13,2418,24,13093,2455,1817
Tippah,1937,9,14,3,25,43,11,6,8054,683,28,5,1,0,2,119,2,7,1,9,2540,11,10102,2560,848
Tishomingo,1059,7,11,1,15,97,10,5,7933,406,12,1,4,3,0,134,2,5,4,3,2288,9,9138,2300,571
Tunica,2580,7,7,1,27,9,2,3,926,789,36,4,4,1,3,135,1,4,0,1,89,0,3562,90,977
Union,2160,13,10,3,28,81,9,6,10373,757,40,2,7,1,0,171,1,2,2,2,2979,11,12683,2992,983
Walthall,2835,6,6,6,16,19,6,5,4220,1205,49,3,5,2,1,144,2,8,2,1,1518,9,7119,1528,1421
Warren,10442,25,25,8,46,93,24,25,10365,4408,116,12,28,3,3,809,2,34,10,15,3283,41,21053,3339,5425
Washington,12503,19,19,10,71,53,12,21,5300,4801,171,4,21,6,2,584,3,16,5,2,1080,8,18008,1090,5613
Wayne,3624,11,4,6,37,45,14,8,6307,1689,87,7,4,4,4,211,2,11,4,18,2545,12,10056,2575,2023
Webster,1043,2,4,3,16,27,4,5,4291,451,26,3,3,3,4,73,0,2,2,1,1577,8,5395,1586,567
Wilkinson,2749,9,4,5,7,12,10,7,1324,1039,42,2,0,3,1,141,4,11,3,2,373,1,4127,376,1246
Winston,4040,4,6,3,26,41,2,2,5112,1802,76,2,5,4,1,223,6,13,5,6,1504,7,9236,1517,2137
Yalobusha,2785,7,8,2,22,26,8,6,3671,1238,71,3,9,5,7,226,6,6,5,4,1213,6,6535,1223,1576
Yazoo,5496,8,10,11,33,21,14,11,4832,2401,103,7,6,1,2,380,5,18,2,12,1571,9,10436,1592,2925
