county,gen_dem_BIDEN,gen_lib_JORGENSEN,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BOOKER,pri_dem_BOYD,pri_dem_BULLOCK,pri_dem_BURKE,pri_dem_BUTTIGIEG,pri_dem_CASTRO,pri_dem_DELANEY,pri_dem_DUNLAP,pri_dem_ELLINGER,pri_dem_FUENTE,pri_dem_GABBARD,pri_dem_GLEIBERMAN,pri_dem_GREENSTEIN,pri_dem_HARRIS,pri_dem_HEWES,pri_dem_KLOBUCHAR,pri_dem_KOOS,pri_dem_KRAUS,pri_dem_KRICHEVSKY,pri_dem_MOROZ,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_SESTAK,pri_dem_SLOAN,pri_dem_STEYER,pri_dem_THISTLE,pri_dem_TORGESEN,pri_dem_WARREN,pri_dem_WELLS,pri_dem_WILLIAMSON,pri_dem_YANG,gen_total,rep_pri_total,dem_pri_total
Belknap,33788,1196,41798,29,1122,8,2,2,2,2798,2,1,1,0,0,444,1,0,6,2,2383,3,3,4,0,35,2670,5,2,488,0,1,839,1,2,248,76782,0,11104
Carroll,33298,844,32300,31,1020,13,2,1,1,2815,3,2,0,0,1,403,0,0,8,3,2464,1,2,0,0,43,2608,5,0,322,1,1,904,1,6,229,66442,0,10890
Cheshire,51012,1598,35784,44,1265,6,2,4,9,4053,8,3,1,3,1,587,4,4,10,6,3616,4,0,1,0,55,5973,9,0,651,5,4,1816,0,7,597,88394,0,18748
Coos,15280,516,17234,7,566,4,1,1,5,1094,1,3,0,0,0,206,7,1,3,0,937,5,0,1,0,17,1562,10,1,226,4,2,395,0,9,146,33030,0,5214
Grafton,66360,1762,39810,90,1657,12,1,7,6,5799,2,4,0,3,1,559,5,0,7,2,4280,3,1,0,1,87,6580,6,1,550,7,3,3298,2,5,873,107932,0,23852
Hillsborough,235096,7944,209250,306,7375,37,5,20,21,19035,30,24,3,5,1,3058,8,12,47,7,15414,22,41,13,5,393,20403,43,14,3165,20,5,7266,18,29,2386,452290,0,79231
Merrimack,97066,3122,79422,182,2863,18,5,12,6,8466,7,14,1,0,0,1163,1,2,9,3,7853,7,1,1,0,167,8636,79,8,1294,3,3,3177,7,5,905,179610,0,34898
Rockingham,200128,5752,191716,176,6069,44,13,11,24,11374,25,15,2,4,5,2163,3,6,28,15,11549,13,4,0,2,318,11571,14,5,2659,7,8,5928,12,29,1736,397596,0,53832
Strafford,83442,2772,60978,84,2251,11,2,4,6,6767,4,16,4,3,1,887,2,6,11,2,5180,10,0,2,0,128,8919,13,2,1075,5,2,2971,3,5,954,147192,0,29330
Sullivan,24780,964,23016,35,724,3,0,2,6,2188,1,1,0,1,1,313,0,0,0,3,1626,4,0,1,0,23,2420,6,1,264,1,1,838,1,2,238,48760,0,8704
