county,gen_dem_BIDEN,gen_ind_BALLARD,gen_ind_PIERCE,gen_lib_JORGENSEN,gen_oth_BALLOTS,gen_oth_BELLER,gen_oth_BIDEN,gen_oth_BLANK,gen_oth_BLANKENSHIP,gen_oth_BRIAN,gen_oth_CARROLL,gen_oth_CHARLES,gen_oth_COHEN,gen_oth_COLLINS,gen_oth_DON,gen_oth_FUENTE,gen_oth_HAWKINS,gen_oth_HODGES,gen_oth_HOWARD,gen_oth_HUNTER,gen_oth_INS,gen_oth_JORGENSEN,gen_oth_KISHORE,gen_oth_LARIVA,gen_oth_MANIMAS,gen_oth_MARTIN,gen_oth_MCHUGH,gen_oth_OVER,gen_oth_RIVA,gen_oth_ROQU,gen_oth_SCATTERING,gen_oth_SIMMONS,gen_oth_TRUMP,gen_oth_UNDER,gen_oth_VOID,gen_oth_VOIDS,gen_oth_VOTES,gen_oth_WELLS,gen_oth_WEST,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_VOIDS,pri_dem_WARREN,pri_dem_YANG,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Albany,91260,0,595,1523,0,0,8214,0,0,0,0,0,0,0,0,0,779,0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,5015,0,0,0,626,0,0,46066,43,24158,380,824,345,424,97,5582,75,339,1682,611,154727,46066,91260,0,34560,0,34560
Bronx,337789,0,406,0,0,0,17585,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,5562,0,0,0,0,0,0,62178,653,90478,6194,1022,633,702,213,23354,186,0,3668,1213,425715,62178,337789,0,128316,0,128316
Broome,43974,0,372,0,0,0,3036,0,0,0,0,0,0,0,0,0,432,0,0,0,317,1104,0,0,0,0,0,0,0,0,0,0,3038,0,0,0,458,0,0,40763,17,9497,116,296,92,155,36,2351,40,62,511,180,93494,40763,43974,0,13353,0,13353
Cattaraugus,8692,0,134,387,0,0,454,0,0,0,0,0,0,0,0,0,93,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1698,0,0,58,0,0,0,18603,7,2126,38,65,17,57,24,370,19,44,103,55,30126,18603,8692,0,2925,0,2925
Cayuga,15612,0,163,0,0,0,747,0,0,0,0,0,0,0,0,0,185,0,0,0,69,401,0,0,0,0,0,0,0,0,0,0,1945,0,0,0,0,0,0,17687,12,3338,35,107,22,50,8,607,18,9,155,49,36809,17687,15612,0,4410,0,4410
Chautauqua,21933,0,272,0,0,0,1154,0,0,0,0,0,0,0,0,0,203,0,0,0,133,756,0,0,0,0,0,0,0,0,0,0,3718,0,0,0,466,0,0,31135,11,4000,61,115,36,77,19,797,16,23,207,67,59770,31135,21933,0,5429,0,5429
Chemung,15969,0,162,0,0,0,667,0,1,0,5,0,0,0,0,0,117,0,0,0,0,560,0,0,0,0,0,0,0,0,0,1,1549,0,47,0,0,0,6,20373,3,3215,32,71,32,41,15,595,14,0,130,47,39457,20373,15969,0,4195,0,4195
Chenango,7910,0,80,0,0,0,390,0,0,0,0,0,0,0,0,0,107,0,0,0,51,316,0,0,0,0,0,0,0,0,0,0,880,0,23,0,0,0,0,12616,2,1376,15,43,5,18,3,323,5,0,56,18,22373,12616,7910,0,1864,0,1864
Clinton,17316,153,0,0,0,0,1048,0,0,0,4,0,279,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,0,2,15313,4,3043,29,95,26,27,9,957,4,79,126,54,35437,15313,17316,0,4453,0,4453
Columbia,18179,0,115,0,0,0,2207,0,0,0,0,0,0,0,0,0,185,0,0,0,103,357,0,0,0,0,0,0,0,0,0,0,1399,0,0,0,0,0,0,13065,6,5110,35,106,26,31,14,1358,6,46,384,91,35610,13065,18179,0,7213,0,7213
Cortland,9792,0,96,0,0,0,578,0,0,0,0,0,0,0,0,0,113,0,0,0,16,295,0,0,0,0,0,0,0,0,0,0,788,0,0,42,0,0,0,10001,4,2041,14,53,16,23,5,479,9,0,129,21,21721,10001,9792,0,2794,0,2794
Delaware,8567,0,79,0,0,0,576,0,0,0,0,0,0,0,0,0,81,0,0,0,106,268,0,0,0,0,0,0,0,0,0,0,732,0,0,0,44,0,0,12655,4,1679,18,34,17,23,8,510,7,0,130,23,23108,12655,8567,0,2453,0,2453
Dutchess,75907,0,513,0,0,0,5536,0,0,0,0,0,0,0,0,0,578,0,0,0,469,1247,0,0,0,0,0,0,0,0,0,0,6920,0,0,0,767,0,0,59952,13,14671,226,306,69,111,31,3820,17,106,1102,185,151889,59952,75907,0,20657,0,20657
Erie,252478,0,1895,0,0,0,14696,0,0,0,0,0,0,0,0,0,1986,0,0,0,0,4439,0,0,0,0,0,0,0,0,0,0,25196,0,0,2179,0,0,0,172331,150,67337,650,1891,768,949,327,13079,235,694,3842,1447,475200,172331,252478,0,91369,0,91369
Essex,9330,0,90,0,0,0,620,0,0,0,0,0,0,0,0,0,73,0,0,0,12,173,0,0,0,0,0,0,0,0,0,0,583,0,0,65,0,0,0,8399,3,1866,21,44,12,17,3,568,3,10,95,23,19345,8399,9330,0,2665,0,2665
Franklin,8767,0,93,0,0,0,486,94,0,0,0,0,0,0,0,0,77,0,0,0,4,173,0,0,0,0,0,0,0,0,0,0,576,0,58,0,0,0,0,9092,2,1453,8,59,12,17,3,422,6,4,61,21,19420,9092,8767,0,2068,0,2068
Fulton,7551,0,87,248,0,0,380,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,0,47,0,0,0,14145,6,1196,19,35,11,38,6,254,9,21,44,21,23764,14145,7551,0,1660,0,1660
Genesee,9107,0,138,0,0,0,518,0,0,0,0,0,0,0,0,0,109,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,2008,0,0,78,0,0,0,16868,9,1918,33,82,31,43,15,430,15,1,117,53,29282,16868,9107,0,2747,0,2747
Greene,9363,0,91,0,0,0,983,0,0,0,0,0,0,0,0,0,121,0,0,0,60,305,0,0,0,0,0,0,0,0,0,0,1477,0,0,0,0,0,0,12794,0,1844,11,46,9,20,5,600,7,6,138,34,25194,12794,9363,0,2720,0,2720
Hamilton,1131,0,8,0,0,0,47,0,0,0,0,0,0,0,0,0,7,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,169,0,0,2,0,0,0,2056,2,249,1,7,1,7,2,42,1,0,13,2,3462,2056,1131,0,327,0,327
Herkimer,9464,0,111,0,0,0,475,0,0,0,0,0,0,0,0,0,98,0,0,0,5,298,0,0,0,0,0,0,0,0,0,0,1300,0,74,0,0,0,0,17571,7,1329,22,46,9,33,9,329,7,6,64,15,29396,17571,9464,0,1876,0,1876
Jefferson,16679,0,189,0,0,0,628,0,0,0,0,0,0,0,0,0,186,0,0,0,7,537,0,0,0,0,0,0,0,0,0,0,1610,0,0,122,0,0,0,24019,5,2642,27,89,18,32,12,530,15,22,87,24,43977,24019,16679,0,3503,0,3503
Kings,608794,0,682,0,0,0,94516,0,0,0,0,0,0,0,0,0,3978,0,0,0,0,2504,0,0,0,0,0,0,0,0,0,0,15465,0,0,0,0,0,0,187307,571,158188,8577,2407,1360,1426,565,64119,344,0,21497,4628,913246,187307,608794,0,263682,0,263682
Lewis,3677,0,47,126,0,0,146,0,0,0,0,0,0,0,0,0,46,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,561,0,0,14,0,0,0,8329,2,460,8,18,1,11,2,126,6,2,29,4,12978,8329,3677,0,669,0,669
Livingston,11704,0,140,0,0,0,773,0,0,0,4,1,0,0,0,0,128,0,0,0,0,460,0,0,0,0,0,0,1,0,0,0,1987,0,0,91,31656,0,8,16195,4,2477,27,93,30,45,10,610,15,33,168,60,63148,16195,11704,0,3572,0,3572
Madison,14018,0,153,0,0,0,787,0,0,0,0,0,0,0,0,0,185,0,0,0,9,474,0,0,0,0,0,0,0,0,0,0,1598,0,0,80,0,0,0,16811,17,2482,17,94,24,34,8,545,12,0,164,20,34115,16811,14018,0,3417,0,3417
Monroe,213606,0,1785,0,0,0,12140,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,4865,0,0,0,0,0,0,0,0,1403,0,18470,0,0,0,0,0,0,127191,68,48318,385,1387,325,554,85,10982,112,471,3381,819,380989,127191,213606,0,66887,0,66887
Montgomery,7636,0,79,0,0,0,341,0,0,0,0,0,0,0,0,0,87,0,0,0,34,242,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,82,0,0,11570,5,1301,21,49,21,19,9,258,5,8,33,33,21246,11570,7636,0,1762,0,1762
Nassau,380907,0,1901,0,0,0,15597,0,0,0,0,0,0,0,0,0,1924,0,0,0,2117,3594,0,0,0,0,0,0,0,0,0,0,21572,0,0,0,5613,0,0,305144,66,72597,1520,1183,331,397,78,11020,62,1106,1996,886,738369,305144,380907,0,91242,0,91242
New York,540748,0,656,0,0,0,62292,0,0,0,0,0,0,0,0,0,2694,0,0,0,0,3329,0,0,0,0,0,0,0,0,0,0,6153,0,0,0,0,0,0,79032,275,144822,5267,2742,685,989,220,35770,122,0,15854,2757,694904,79032,540748,0,209503,0,209503
Niagara,43717,479,0,0,0,0,2312,0,1,0,11,2,1133,1,0,1,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6781,0,0,0,0,0,27,49287,91,11078,225,383,216,260,122,1877,87,0,450,255,104123,49287,43717,0,15044,0,15044
Oneida,39657,0,401,0,0,0,2316,0,0,0,0,0,0,0,0,0,396,0,0,0,0,1197,0,0,0,0,0,0,0,0,169,0,4615,0,0,0,0,0,0,53245,23,5141,84,178,70,100,26,1214,21,0,262,93,101996,53245,39657,0,7212,0,7212
Onondaga,132723,0,851,0,237736,0,6268,0,0,0,0,0,0,0,0,0,1820,0,0,0,135,2556,0,0,0,0,0,0,0,0,0,0,10642,0,0,1699,0,0,0,81073,29,27126,178,738,193,323,47,5402,57,0,1606,361,475503,81073,132723,0,36060,0,36060
Ontario,27646,0,318,0,0,0,1379,0,0,0,0,0,0,0,0,0,277,0,0,0,195,987,0,0,0,0,0,0,0,0,0,0,3133,0,0,0,0,0,0,25906,12,5697,40,175,67,161,14,1203,24,39,336,101,59841,25906,27646,0,7869,0,7869
Orange,80764,0,507,0,0,0,4191,0,4,0,22,1,0,0,0,0,527,0,0,1,0,1389,3,0,0,0,0,0,5,0,0,4,12001,0,0,0,0,0,53,73067,24,14423,293,127,89,94,25,2898,20,153,556,165,172539,73067,80764,0,18867,0,18867
Orleans,5326,0,71,0,0,0,261,0,0,0,0,0,0,0,0,0,50,0,0,0,7,313,0,0,0,0,0,0,0,0,0,0,1154,0,0,37,0,0,0,10972,7,1065,18,37,6,22,8,210,8,5,52,16,18191,10972,5326,0,1454,0,1454
Oswego,20017,0,207,0,0,0,1128,0,0,0,0,0,0,0,0,0,284,0,0,0,22,698,0,0,0,0,0,0,0,0,0,0,2817,0,155,0,0,0,0,29325,7,3354,29,138,24,53,21,741,17,12,154,34,54653,29325,20017,0,4584,0,4584
Otsego,12307,0,96,0,0,0,668,0,0,0,0,0,0,0,0,0,136,0,0,0,79,409,0,0,0,0,0,0,0,0,0,0,934,0,0,0,169,0,0,13448,9,2590,17,88,23,33,10,722,6,17,228,40,28246,13448,12307,0,3783,0,3783
Putnam,23229,0,155,0,0,0,1720,0,0,0,0,0,0,0,0,0,162,0,0,0,156,411,0,0,0,0,0,-197,0,0,0,0,2818,0,0,0,0,0,0,26459,9,4467,91,90,48,24,6,1106,3,0,269,53,54913,26459,23229,0,6166,0,6166
Queens,523152,0,705,0,0,0,45886,0,0,0,0,0,0,0,0,0,2969,0,0,0,0,2483,0,0,0,0,0,0,0,0,0,0,15066,0,0,0,0,0,0,197599,361,122227,8230,2031,1596,1134,313,36255,229,0,8984,4160,787860,197599,523152,0,185520,0,185520
Rensselaer,37558,0,386,0,0,0,3411,0,0,0,0,0,0,0,0,0,374,0,0,0,164,1016,0,0,0,0,0,0,0,0,0,0,4357,0,0,0,0,0,0,32143,10,5722,57,158,48,83,19,1882,15,2,478,116,79409,32143,37558,0,8590,0,8590
Richmond,85197,0,265,0,0,0,5800,0,0,0,0,0,0,0,0,0,662,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,8712,0,0,0,0,0,0,114608,44,17514,1003,360,221,175,79,4053,34,0,647,510,216153,114608,85197,0,24640,0,24640
Rockland,71656,0,334,650,0,0,4146,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8676,0,0,0,0,0,0,64510,53,21327,895,496,242,269,88,3492,65,347,903,442,150295,64510,71656,0,28619,0,28619
Saratoga,257816,0,2320,6948,0,0,16068,0,0,0,0,0,0,0,0,0,2044,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,23692,0,0,1584,0,0,0,221528,7,9939,53,326,48,98,27,2346,21,73,650,158,532204,221528,257816,0,13746,0,13746
Schenectady,39930,345,0,0,0,0,2535,0,0,0,0,0,923,0,0,0,352,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,4004,0,0,0,334,0,0,26737,9,6592,62,197,59,77,13,1544,6,56,470,166,75381,26737,39930,0,9251,0,9251
Schoharie,4998,0,77,0,0,0,347,0,0,0,0,0,0,0,0,0,75,0,0,0,28,282,0,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,9021,3,966,6,35,12,15,4,257,5,12,86,15,15710,9021,4998,0,1416,0,1416
Schuyler,3622,0,33,0,0,0,281,0,0,0,0,0,0,0,0,0,51,0,0,0,28,130,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,5192,1,712,4,21,6,11,8,213,3,9,52,10,9766,5192,3622,0,1050,0,1050
