county,gen_dem_BIDEN,gen_grn_HAWKINS,gen_lib_JORGENSEN,gen_oth_BIDEN,gen_oth_HAWKINS,gen_oth_HUNTER,gen_oth_IN,gen_oth_INS,gen_oth_JORGENSEN,gen_oth_TRUMP,gen_oth_UNDERVOTE,gen_oth_VOTES,gen_oth_WRITEIN,gen_rep_TRUMP,pri_oth_BIDEN,pri_oth_GABBARD,pri_oth_MISC,pri_oth_SANDERS,pri_oth_TRUMP,pri_oth_WARREN,gen_total
Baker,2346,0,0,0,33,16,0,41,144,0,0,116,0,7352,834,52,181,172,3378,64,10048
Benton,35827,0,1142,0,335,143,0,474,0,0,0,436,0,14878,10894,239,937,4040,5562,2011,53235
Clackamas,139043,0,4736,0,1011,429,0,1951,0,0,0,2859,0,110509,44956,1261,4058,10322,38697,4568,260538
Clatsop,12916,0,0,0,130,63,0,146,437,0,0,230,0,10218,4611,133,377,1178,3789,407,24140
Columbia,13835,0,0,0,158,87,0,204,787,0,0,268,0,17150,5175,273,667,1160,5974,494,32489
Coos,0,0,0,14243,171,81,179,0,572,21829,0,292,0,0,5339,271,707,1135,8000,509,37367
Crook,3801,42,231,0,0,16,71,0,0,0,0,110,0,11287,1445,73,247,188,4681,99,15558
Curry,12116,0,456,0,126,42,142,0,0,0,0,214,0,16968,2264,72,228,375,3492,175,30064
Deschutes,65962,0,2097,0,422,157,0,950,0,0,0,1316,0,55646,20043,360,1754,4026,21964,1915,126550
Douglas,0,0,0,19160,258,145,306,0,1182,43298,0,689,0,0,6428,318,1072,1379,16684,579,65038
Gilliam,324,0,17,0,1,0,0,2,0,0,0,16,0,834,117,8,32,19,384,6,1194
Grant,929,0,0,0,12,11,22,0,77,0,0,43,0,3545,325,18,111,87,1769,44,4639
Harney,0,0,0,894,9,9,31,0,63,3475,0,37,0,0,340,22,116,53,1953,56,4518
Hood River,8764,0,0,0,55,25,0,92,199,0,0,104,0,3955,2780,63,242,779,1693,360,13194
Jackson,59478,0,0,0,637,269,744,0,2168,0,0,972,0,63869,20051,536,1663,5408,27211,2105,128137
Jefferson,4393,0,210,0,57,24,0,40,0,0,0,79,0,7189,1374,47,175,186,2939,98,11992
Josephine,0,0,0,18451,223,120,301,0,795,31751,0,373,0,0,6075,172,797,1494,13866,428,52014
Klamath,10388,0,0,0,146,77,0,170,637,0,0,247,0,25308,3195,153,575,690,11277,329,36973
Lake,792,0,0,0,10,8,0,20,63,0,0,26,0,3470,239,19,57,45,1722,29,4389
Lane,134366,0,0,0,1349,569,0,1727,3906,0,0,1637,0,80336,41861,1167,3301,14822,27866,5623,223890
Lincoln,17385,0,0,0,214,65,140,0,462,0,0,242,0,12460,6625,182,505,1477,4616,602,30968
Linn,26512,0,0,0,403,149,496,0,1594,0,0,576,0,43486,8231,344,1224,2200,16635,805,73216
Malheur,3260,0,0,0,56,29,0,51,221,0,0,116,0,8187,768,37,169,164,3660,55,11920
Marion,80872,0,0,0,844,318,0,1226,3272,0,0,1481,0,79002,23574,694,2815,5950,29446,2409,167015
Morrow,1284,0,0,87,13,5,17,0,126,297,0,59,0,3289,381,28,84,106,1521,33,5177
Multnomah,367249,0,0,0,2974,1144,3571,0,5726,0,0,0,0,82995,105897,1972,5535,47901,23662,25647,463659
Polk,22917,0,0,0,212,90,0,359,981,0,0,503,0,23732,7207,211,784,1677,9449,695,48794
Sherman,260,0,24,0,1,1,0,0,0,0,8,0,1,921,105,10,24,14,458,14,1216
Tillamook,8066,0,0,0,89,32,0,86,261,0,0,154,0,8354,3113,91,284,608,3209,282,17042
Umatilla,10707,0,0,0,90,54,0,177,740,0,0,275,0,21270,2819,113,481,619,7769,250,33313
Union,4254,0,0,0,46,31,0,74,241,0,0,158,0,10298,1585,86,328,369,5219,175,15102
Wallowa,1625,0,0,0,10,16,18,0,76,0,0,62,0,3404,609,16,111,113,1917,68,5211
Wasco,0,0,0,6604,75,27,93,0,296,7035,0,103,0,0,2169,116,273,543,2756,226,14233
Washington,209940,0,0,0,1426,633,0,2856,6398,0,0,2429,0,99073,58467,1308,6080,15919,35805,7210,322755
Wheeler,217,0,0,0,2,5,0,5,25,0,0,9,0,711,83,10,44,25,356,3,974
Yamhill,27174,0,0,0,254,119,0,377,1448,0,0,580,0,29551,8336,242,1188,2102,11631,982,59503
