county,gen_dem_BIDEN,gen_lib_JORGENSEN,gen_oth_INS,gen_oth_VOTES,gen_rep_TRUMP,pri_dem_AMASH,pri_dem_ASSIGNED,pri_dem_BACH,pri_dem_BAMBERA,pri_dem_BAU,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOND,pri_dem_BOOKER,pri_dem_BRADLEY,pri_dem_BRANCH,pri_dem_BRIER,pri_dem_BUTTIGIEG,pri_dem_CASEY,pri_dem_CASTRO,pri_dem_CLINTON,pri_dem_CUBAN,pri_dem_CUOMO,pri_dem_DEMKO,pri_dem_EXOTIC,pri_dem_GABBARD,pri_dem_GATES,pri_dem_GILLIBRAND,pri_dem_HARRIS,pri_dem_INS,pri_dem_JORDAN,pri_dem_JR,pri_dem_KLOBACHAR,pri_dem_KLOBUCHAR,pri_dem_MICHAELS,pri_dem_ROGERS,pri_dem_SANDERS,pri_dem_SCATTER,pri_dem_SCATTERED,pri_dem_SEDON,pri_dem_SENAPE,pri_dem_SESTAK,pri_dem_SMITH,pri_dem_STEYER,pri_dem_SZUMLANSKI,pri_dem_TOOLE,pri_dem_TRUMP,pri_dem_VOUGH,pri_dem_WARREN,pri_dem_WELD,pri_dem_WOLF,pri_dem_YANG,pri_dem_YORINA,pri_rep_ALAPICK,pri_rep_ASSIGNED,pri_rep_BACZNSKI,pri_rep_BARLETTA,pri_rep_BARRETT,pri_rep_BEUTLER,pri_rep_BIDEN,pri_rep_BITEL,pri_rep_BLOOMBURG,pri_rep_BURGERHOFF,pri_rep_BUTTIGIEG,pri_rep_CHRISTIE,pri_rep_CUBAN,pri_rep_CUOMO,pri_rep_DEWINE,pri_rep_FAUCI,pri_rep_FLAKE,pri_rep_FRIST,pri_rep_FUENTE,pri_rep_GABBARD,pri_rep_GONZALEZ,pri_rep_GREGORY,pri_rep_HALEY,pri_rep_HOGAN,pri_rep_INS,pri_rep_KASICH,pri_rep_LEVINE,pri_rep_MARSICANO,pri_rep_MCMULLIN,pri_rep_MICKA,pri_rep_MOUSE,pri_rep_MUSK,pri_rep_PAUL,pri_rep_PENCE,pri_rep_POWELL,pri_rep_RICE,pri_rep_ROMNEY,pri_rep_RUBIO,pri_rep_RYAN,pri_rep_SANDERS,pri_rep_SCATTER,pri_rep_SCATTERED,pri_rep_SHEEN,pri_rep_STEIN,pri_rep_STEINBERG,pri_rep_TRUMP,pri_rep_WALSH,pri_rep_WELD,pri_rep_WILKIE,pri_rep_WOODARD,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Centre,40055,1066,398,203,36372,0,0,0,0,0,12745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,515,0,0,0,0,0,0,4373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12298,0,1064,0,0,78094,36372,40055,14142,18063,14142,18063
Clinton,5502,221,36,0,11902,0,0,0,0,0,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,204,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4410,0,140,0,0,17661,11902,5502,4672,2941,4672,2941
Columbia,10532,541,87,0,20098,0,0,0,0,0,3410,0,0,0,0,0,0,0,1,0,0,0,0,0,0,233,0,0,1,295,0,0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6352,0,290,0,0,31258,20098,10532,6852,4899,6852,4899
Cumberland,62245,2138,592,0,77212,0,0,0,0,0,20270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,534,0,0,0,0,0,0,4930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28340,0,2406,0,0,142187,77212,62245,32416,26476,32416,26476
Elk,4522,244,40,0,12140,0,0,0,0,0,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,391,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358,0,150,0,0,16946,12140,4522,4626,3065,4626,3065
Franklin,22422,1116,242,0,57245,0,0,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,556,0,0,0,0,0,0,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22177,0,823,0,0,81025,57245,22422,23702,9356,23702,9356
Lebanon,23932,989,206,0,46731,0,0,0,0,0,7207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,235,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16923,0,989,0,0,71858,46731,23932,18461,9331,18461,9331
Lycoming,16971,821,143,0,41462,0,0,0,0,0,5161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,331,0,0,0,0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15432,0,491,0,0,59397,41462,16971,16235,7262,16235,7262
Mifflin,4603,229,45,0,16670,0,0,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,123,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5899,0,201,0,0,21547,16670,4603,6211,2055,6211,2055
Northampton,85087,2001,457,0,83854,0,0,0,0,0,28294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,577,0,0,0,0,0,0,6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23269,0,1388,0,0,171399,83854,85087,25486,36263,25486,36263
