county,gen_dem_HARRIS,gen_grn_WALKER,gen_lib_COHEN,gen_oth_RICHA,gen_oth_RICHARDSON,gen_rep_PENCE,pri_dem_BIDEN,pri_dem_BUTTIGIEG,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_WITHDREW,gen_total,rep_pri_total,dem_pri_total
Abbeville,4101,23,88,0,6,8215,1129,80,27,42,286,312,60,22,12433,0,1958
Aiken,32275,274,982,0,65,51589,6770,1246,194,607,3169,1989,1030,102,85185,0,15107
Allendale,2718,19,19,0,2,835,553,9,2,2,119,241,17,5,3593,0,948
Anderson,27169,178,1123,0,58,67565,5572,990,232,525,3130,1808,984,80,96093,0,13321
Bamberg,4010,17,31,0,7,2417,1099,26,4,19,277,387,43,15,6482,0,1870
Barnwell,4720,19,78,0,12,5492,1068,32,13,26,274,308,50,21,10321,0,1792
Beaufort,43419,214,941,0,67,53194,11277,3069,290,1372,3751,3009,1700,143,97835,0,24611
Berkeley,45223,276,1485,0,77,57397,10590,1796,385,527,4606,2036,1495,144,104458,0,21579
Calhoun,3905,18,58,0,5,4305,1116,47,25,34,287,302,42,11,8291,0,1864
Charleston,121485,743,3177,0,155,93297,28333,8091,1017,2304,12274,4738,6942,268,218857,0,63967
Cherokee,6983,48,186,0,10,18043,1813,104,38,66,674,347,106,25,25270,0,3173
Chester,6941,37,108,0,11,8660,2033,102,23,58,633,223,88,28,15757,0,3188
Chesterfield,7431,28,109,0,11,11297,1825,90,26,44,538,225,76,26,18876,0,2850
Clarendon,8250,42,67,0,13,8361,2713,97,36,62,488,436,85,40,16733,0,3957
Colleton,8602,56,178,0,7,10440,2318,153,64,73,679,526,174,26,19283,0,4013
Darlington,15220,77,260,0,28,16832,4234,287,56,86,1106,912,208,41,32417,0,6930
Dillon,6436,36,38,0,9,6582,1485,39,8,38,362,319,39,27,13101,0,2317
Dorchester,33824,239,1219,0,83,41913,7659,1457,316,405,3496,1509,1191,77,77278,0,16110
Edgefield,4953,39,120,0,8,8184,1327,77,20,44,419,370,89,29,13304,0,2375
Fairfield,7382,41,78,0,10,4625,2353,84,50,48,429,774,88,28,12136,0,3854
Florence,31153,194,503,0,45,32615,8682,569,83,221,2636,1877,608,82,64510,0,14758
Georgetown,15822,93,237,29,0,20487,4781,698,114,327,1574,1020,377,52,36668,0,8943
Greenville,103030,698,4179,0,227,150021,20701,5706,834,2353,13423,5787,5225,235,258155,0,54264
Greenwood,12145,95,318,0,17,19431,2700,279,57,165,1063,1096,242,39,32006,0,5641
Hampton,5323,22,44,0,10,3906,1116,33,12,18,320,541,41,23,9305,0,2104
Horry,59180,397,1255,0,91,118821,13313,2886,388,1270,6794,3847,1736,176,179744,0,30410
Jasper,7185,32,92,0,7,7078,1794,189,42,110,543,573,122,28,14394,0,3401
Kershaw,12699,90,344,0,25,20471,3577,361,67,144,1083,896,308,34,33629,0,6470
Lancaster,18937,93,492,0,34,30312,4340,858,112,422,1695,365,567,71,49868,0,8430
Laurens,10159,67,238,0,20,20004,2413,204,73,120,1001,748,244,46,30488,0,4849
Lee,5329,18,71,0,5,3008,1876,49,18,11,332,364,53,21,8431,0,2724
Lexington,49301,397,1935,0,118,92817,9720,2573,502,795,5758,2827,2094,111,144568,0,24380
Marion,8872,40,63,0,18,5711,2735,60,13,38,625,508,78,33,14704,0,4090
Marlboro,6290,33,69,0,10,5044,1485,29,13,34,309,487,35,25,11446,0,2417
Mccormick,2687,20,28,0,4,2958,730,68,16,54,208,381,42,16,5697,0,1515
Newberry,6958,60,152,0,18,11443,1787,205,57,83,482,460,124,27,18631,0,3225
Oconee,10414,88,443,0,25,29698,2181,560,81,403,1392,742,405,36,40668,0,5800
Orangeburg,27295,106,172,0,29,13603,9089,238,71,72,1388,1690,370,92,41205,0,13010
Pickens,13645,162,793,0,39,42907,2513,761,163,375,2141,901,823,27,57546,0,7704
Richland,132570,732,2027,0,180,58313,35869,4491,528,1285,11347,8269,5392,309,193822,0,67490
Saluda,2963,21,75,0,5,6210,782,54,15,27,262,243,51,14,9274,0,1448
Spartanburg,52926,377,1702,0,90,93560,9977,1849,278,749,5870,2911,1816,131,148655,0,23581
Sumter,27379,152,355,0,34,21000,8375,406,74,122,1673,1667,386,101,48920,0,12804
Union,4935,36,96,0,7,8183,1295,58,19,34,430,322,73,32,13257,0,2263
Williamsburg,10289,62,81,0,21,5532,3682,47,19,45,708,605,94,54,15985,0,5254
York,59008,398,1807,0,110,82727,11556,3110,338,1241,6551,1242,2307,159,144050,0,26504
