county,gen_dem_BIDEN,gen_lib_JORGENSEN,gen_rep_TRUMP,pri_dem_BIDEN,pri_dem_SANDERS,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Aurora,317,36,1052,115,27,1405,1052,317,0,142,0,142
Beadle,2107,166,4808,770,119,7081,4808,2107,0,889,0,889
Bennett,466,23,694,121,55,1183,694,466,0,176,0,176
Bon Homme,721,45,2235,272,80,3001,2235,721,0,352,0,352
Brookings,6110,457,8000,1395,456,14567,8000,6110,0,1851,0,1851
Brown,6538,429,10580,2024,422,17547,10580,6538,0,2446,0,2446
Brule,673,67,1750,237,57,2490,1750,673,0,294,0,294
Buffalo,352,14,183,59,39,549,183,352,0,98,0,98
Butte,939,132,3731,265,89,4802,3731,939,0,354,0,354
Campbell,117,9,747,26,11,873,747,117,0,37,0,37
Charles Mix,1177,54,2552,352,136,3783,2552,1177,0,488,0,488
Clark,437,40,1373,111,19,1850,1373,437,0,130,0,130
Clay,3083,159,2456,1091,331,5698,2456,3083,0,1422,0,1422
Codington,3837,366,8958,1097,207,13161,8958,3837,0,1304,0,1304
Corson,622,14,647,126,97,1283,647,622,0,223,0,223
Custer,1522,120,3852,461,92,5494,3852,1522,0,553,0,553
Davison,2648,193,5613,839,195,8454,5613,2648,0,1034,0,1034
Day,1052,43,1869,416,61,2964,1869,1052,0,477,0,477
Deuel,609,42,1699,145,38,2350,1699,609,0,183,0,183
Dewey,1131,45,790,301,193,1966,790,1131,0,494,0,494
Edmunds,417,30,1538,170,35,1985,1538,417,0,205,0,205
Fall River,1053,111,2878,333,88,4042,2878,1053,0,421,0,421
Faulk,198,20,964,62,18,1182,964,198,0,80,0,80
Grant,1056,71,2618,307,63,3745,2618,1056,0,370,0,370
Gregory,455,32,1771,215,64,2258,1771,455,0,279,0,279
Haakon,105,6,1026,39,13,1137,1026,105,0,52,0,52
Hamlin,647,64,2372,178,35,3083,2372,647,0,213,0,213
Hand,373,30,1433,151,28,1836,1433,373,0,179,0,179
Hanson,557,38,1793,157,39,2388,1793,557,0,196,0,196
Harding,49,16,748,17,12,813,748,49,0,29,0,29
Hughes,2953,248,5522,702,205,8723,5522,2953,0,907,0,907
Hutchinson,762,61,2944,210,43,3767,2944,762,0,253,0,253
Hyde,136,10,564,43,10,710,564,136,0,53,0,53
Jackson,359,18,738,76,36,1115,738,359,0,112,0,112
Jerauld,270,15,721,162,27,1006,721,270,0,189,0,189
Jones,90,11,498,40,13,599,498,90,0,53,0,53
Kingsbury,819,56,1904,210,55,2779,1904,819,0,265,0,265
Lake,2068,124,3681,806,217,5873,3681,2068,0,1023,0,1023
Lawrence,4537,538,8753,1305,415,13828,8753,4537,0,1720,0,1720
Lincoln,11981,798,19617,2883,661,32396,19617,11981,0,3544,0,3544
Lyman,525,30,1042,113,73,1597,1042,525,0,186,0,186
Marshall,858,33,1287,447,89,2178,1287,858,0,536,0,536
Mccook,769,63,2068,177,43,2900,2068,769,0,220,0,220
Mcpherson,222,27,1075,78,28,1324,1075,222,0,106,0,106
Meade,3285,510,9875,916,208,13670,9875,3285,0,1124,0,1124
Mellette,298,22,449,93,56,769,449,298,0,149,0,149
Miner,320,31,787,121,30,1138,787,320,0,151,0,151
Minnehaha,40482,2595,49249,10024,3167,92326,49249,40482,0,13191,0,13191
Moody,1179,76,1951,297,85,3206,1951,1179,0,382,0,382
Oglala Lakota,2829,74,297,416,297,3200,297,2829,0,713,0,713
Pennington,20606,1849,35063,5279,1696,57518,35063,20606,0,6975,0,6975
Perkins,239,29,1401,83,26,1669,1401,239,0,109,0,109
Potter,227,14,1139,54,15,1380,1139,227,0,69,0,69
Roberts,1828,75,2404,691,210,4307,2404,1828,0,901,0,901
Sanborn,257,23,905,73,15,1185,905,257,0,88,0,88
Spink,998,61,2104,305,33,3163,2104,998,0,338,0,338
Stanley,421,28,1203,116,22,1652,1203,421,0,138,0,138
Sully,185,19,726,67,17,930,726,185,0,84,0,84
Todd,1963,44,532,453,337,2539,532,1963,0,790,0,790
Tripp,495,40,2161,170,32,2696,2161,495,0,202,0,202
Turner,1139,119,3290,283,71,4548,3290,1139,0,354,0,354
Union,2725,186,5944,677,147,8855,5944,2725,0,824,0,824
Walworth,565,49,1966,145,41,2580,1966,565,0,186,0,186
Yankton,4016,303,6581,1246,229,10900,6581,4016,0,1475,0,1475
Ziebach,481,21,404,123,83,906,404,481,0,206,0,206
