county,gen_dem_BIDEN,gen_dem_HARRIS,gen_grn_HAWKINS,gen_grn_WALKER,gen_lib_COHEN,gen_lib_JORGENSEN,gen_oth_ASSIGNED,gen_oth_BALLARD,gen_oth_BLANKENSHIP,gen_oth_BODDIE,gen_oth_CARROLL,gen_oth_CERTIFIED,gen_oth_FAMBRO,gen_oth_FORBES,gen_oth_HOEFLING,gen_oth_IN,gen_oth_INS,gen_oth_INVALID,gen_oth_JADE,gen_oth_JORGENSEN,gen_oth_LARIVA,gen_oth_MCHUGH,gen_oth_MOHR,gen_oth_PIERCE,gen_oth_RIVA,gen_oth_SIMMONS,gen_oth_STORM,gen_oth_TIDBALL,gen_oth_TOTALS,gen_oth_W,gen_oth_WEST,gen_rep_PENCE,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BENNIT,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BLOXHAM,pri_dem_BOOKER,pri_dem_BUTTIGIEG,pri_dem_CASTRO,pri_dem_FUENTE,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_UNDERVOTE,pri_dem_WARREN,pri_dem_WILLIAMSON,pri_dem_WITHDRAWN,pri_dem_WITHDREW,pri_dem_YAN,pri_dem_YANG,pri_rep_ARDINI,pri_rep_ELY,pri_rep_FUENTE,pri_rep_MALTERN,pri_rep_MATERN,pri_rep_PATRICK,pri_rep_TRUMP,pri_rep_UNDERVOTE,pri_rep_WALSH,pri_rep_WELD,pri_rep_WITHDRAWN,pri_rep_WITHDREW,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Beaver,357,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,23,4,3,0,1,0,0,0,0,0,0,7,0,2695,0,0,39,43,0,0,15,0,0,0,10,0,29,2,0,14,0,0,0,0,0,3,4,0,0,3,0,1318,0,9,13,0,0,3100,2695,357,1350,152,1350,152
Box Elder,4473,0,55,0,0,614,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,33,0,36,18,0,0,0,297,0,112,0,21548,0,0,309,299,1,0,141,3,2,18,51,0,403,14,0,166,2,3,0,0,12,74,28,0,0,123,0,7574,0,180,367,50,0,27320,21548,4473,8396,1424,8396,1424
Cache,16650,0,217,0,0,0,0,106,351,0,19,787,0,0,5,0,0,0,13,1796,0,0,0,0,54,0,98,230,824,0,0,0,38032,0,0,874,612,1,6,425,1,4,49,271,0,2131,18,0,1064,7,3,0,0,32,158,53,0,0,278,0,12978,0,320,1009,118,0,59182,38032,16650,14914,5498,14914,5498
Daggett,111,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,496,0,0,11,8,0,0,3,0,0,0,2,0,13,0,0,4,0,0,0,0,0,1,1,0,0,1,0,235,0,5,14,2,0,622,496,111,259,41,259,41
Davis,57411,0,597,0,0,5004,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,330,0,380,118,0,0,0,3620,0,1012,0,104135,0,0,3977,3615,11,17,2046,18,13,237,778,9,6841,81,0,3154,30,0,0,0,141,731,169,0,0,970,0,37488,0,1152,3678,0,0,173434,104135,57411,44188,20968,44188,20968
Duchesne,843,0,9,0,0,107,38,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,18,38,0,0,0,7512,0,0,141,108,0,6,40,0,6,10,16,0,148,8,0,85,0,4,0,0,6,5,3,0,0,18,0,3576,0,23,60,8,0,8599,7512,843,3693,578,3693,578
Garfield,514,0,11,0,0,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,2,0,2158,0,0,25,29,0,2,21,0,0,3,12,0,77,1,0,56,0,0,0,0,2,5,2,6,0,13,0,1264,0,29,30,0,0,2732,2158,514,1349,228,1349,228
Millard,624,0,5,0,0,64,30,14,26,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,16,30,0,0,0,5404,0,0,61,61,1,2,21,2,0,0,0,0,33,2,0,22,0,3,0,0,0,22,4,0,0,8,0,2712,0,37,59,4,0,6220,5404,624,2846,208,2846,208
Salt Lake,289906,0,2203,0,0,12219,0,0,1570,1,136,0,0,1,13,5406,0,0,0,0,0,778,0,947,579,58,0,0,0,0,2590,0,230174,0,0,21638,18295,25,49,10509,62,48,692,3774,18,48135,310,0,20986,88,0,0,0,366,1303,461,0,0,1998,0,74939,0,2637,8508,0,0,546581,230174,289906,89846,124995,89846,124995
San Juan,3113,0,17,0,0,99,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,45,27,0,0,0,3535,0,0,210,197,2,5,54,5,0,5,29,2,495,11,0,107,4,0,0,0,19,16,5,0,0,15,0,1678,0,35,45,0,0,6904,3535,3113,1794,1145,1794,1145
Sanpete,1794,0,19,0,0,215,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20,0,22,7,0,0,0,100,0,39,0,10459,0,0,96,89,1,0,56,0,1,9,30,0,198,5,0,83,1,2,0,4,0,20,10,0,41,0,0,4717,0,55,181,17,0,12725,10459,1794,5041,575,5041,575
Sevier,1084,0,14,0,0,133,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,3,0,0,0,1,0,28,0,9052,0,0,84,84,1,1,32,0,0,0,17,1,87,2,0,45,0,0,0,0,2,16,15,0,0,19,0,4195,0,41,71,0,0,10363,9052,1084,4357,356,4357,356
Summit,15244,0,65,0,0,367,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,86,203,0,0,0,10252,0,0,1632,1651,1,7,704,3,0,27,294,0,1565,21,0,1009,4,2,0,0,12,44,13,3,0,37,2,3439,0,99,350,42,0,26289,10252,15244,4029,6932,4029,6932
Utah,76033,0,853,0,0,10377,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,466,0,521,169,0,0,0,4815,0,1680,0,192812,0,0,3608,2365,5,10,1268,20,12,298,732,8,7183,48,0,3672,27,0,24,0,158,674,175,0,0,1069,0,49853,0,1124,5025,0,483,289101,192812,76033,58403,19438,58403,19438
Wasatch,6187,0,45,0,0,352,209,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,7,1,34,86,211,0,0,0,10795,0,4,968,921,0,8,409,0,6,35,144,0,1245,14,0,537,6,0,0,0,17,42,7,34,0,57,0,3685,0,98,207,0,0,18001,10795,6187,4130,4314,4130,4314
Washington,20530,0,187,0,0,1742,2,0,220,0,13,0,0,0,0,592,0,0,0,0,0,0,0,81,33,6,72,298,705,0,0,0,67294,0,0,2055,1753,5,9,896,9,0,68,515,0,2298,75,22,1077,16,0,0,0,31,184,71,9,0,198,1,27949,96,333,769,0,0,91775,67294,20530,29610,8829,29610,8829
Wayne,365,0,3,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,9,0,7,0,1229,0,0,24,27,0,0,13,2,0,0,10,0,45,1,0,37,0,0,0,0,1,5,4,3,0,3,0,693,0,7,26,0,0,1630,1229,365,741,160,741,160
Weber,40695,0,482,0,0,2849,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,184,0,250,55,0,0,0,0,0,524,0,65949,0,0,2651,2307,7,12,1155,21,5,82,425,6,4992,47,0,1873,14,0,0,0,54,315,91,0,0,416,0,21492,0,629,1418,0,0,111403,65949,40695,24361,13651,24361,13651
