county,gen_dem_BIDEN,gen_grn_HAWKINS,gen_lib_JORGENSEN,gen_oth_IN,gen_oth_KENNEDY,gen_oth_RIVA,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_BUTTIGIEG,pri_dem_DELANEY,pri_dem_DELEGATES,pri_dem_GABBARD,pri_dem_IN,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_IN,pri_rep_TRUMP,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Adams,1814,18,82,26,5,10,3907,3,315,131,0,26,5,7,11,0,24,1,322,6,60,7,0,1928,5862,3907,1814,1928,918,1928,918
Asotin,4250,36,260,71,6,9,7319,4,1148,414,4,177,3,28,41,8,91,2,730,19,203,20,51,3771,11951,7319,4250,3822,2892,3822,2892
Benton,38706,354,2706,726,57,119,60365,41,9003,2329,31,1165,20,167,343,67,619,10,7458,85,1654,121,457,27055,103033,60365,38706,27512,23113,27512,23113
Chelan,19349,156,709,281,21,44,22746,29,4813,1171,12,663,3,64,134,8,359,5,4192,47,980,50,144,11535,43306,22746,19349,11679,12530,11679,12530
Clallam,24721,241,894,239,44,63,23062,31,7255,1910,17,921,10,114,220,19,632,8,5588,65,1789,65,174,12122,49264,23062,24721,12296,18644,12296,18644
Clark,140324,1126,5320,1952,140,238,126303,137,32525,8296,66,4332,33,323,863,110,1801,36,30341,250,6717,370,834,51576,275403,126303,140324,52410,86200,52410,86200
Columbia,668,5,51,13,3,1,1754,2,190,69,2,26,1,4,8,3,23,0,135,2,34,2,13,996,2495,1754,668,1009,501,1009,501
Cowlitz,23938,243,1274,311,45,45,34424,47,6459,2091,11,747,10,120,186,25,339,15,4924,84,1061,93,143,15410,60280,34424,23938,15553,16212,15553,16212
Douglas,7811,57,335,125,12,13,12955,11,1905,485,7,233,4,19,49,4,104,1,1546,15,288,23,44,6394,21308,12955,7811,6438,4694,6438,4694
Ferry,1486,10,76,16,3,5,2771,0,306,124,0,50,1,11,14,0,31,2,347,0,75,3,7,1662,4367,2771,1486,1669,964,1669,964
Franklin,13340,110,683,178,22,32,18039,27,2477,728,9,254,11,31,79,5,144,3,2865,21,399,39,76,8242,32404,18039,13340,8318,7092,8318,7092
Garfield,366,2,42,8,1,1,1069,1,107,30,0,20,0,0,4,1,13,0,62,2,26,0,1,550,1489,1069,366,551,266,551,266
Grant,11819,112,710,205,26,44,24764,23,2276,951,17,381,4,59,91,17,213,2,2285,35,438,34,99,12303,37680,24764,11819,12402,6826,12402,6826
Grays Harbor,17354,200,764,185,31,30,19877,24,4097,1495,13,632,9,74,111,21,305,5,3865,59,853,53,97,8823,38441,19877,17354,8920,11616,8920,11616
Island,29213,216,1288,386,25,51,22746,17,8394,1873,13,1082,10,115,233,20,750,8,6246,60,1991,69,241,11304,53925,22746,29213,11545,20881,11545,20881
Jefferson,17204,146,330,134,13,34,6931,11,5086,930,11,474,6,85,114,14,386,5,5163,27,1469,31,66,3369,24792,6931,17204,3435,13812,3435,13812
King,907310,5662,18148,7937,673,1610,269167,560,235655,36978,459,21278,128,1545,3701,424,12130,149,232575,814,67096,2370,2724,101141,1210507,269167,907310,103865,615862,103865,615862
Kitsap,90277,723,4813,1047,106,143,61563,65,23998,5388,45,3171,19,341,594,59,1715,22,20029,177,5713,258,465,27631,158672,61563,90277,28096,61594,28096,61594
Kittitas,11421,101,540,166,9,22,14105,13,2561,597,11,328,4,40,107,2,224,3,2883,21,667,36,56,6761,26364,14105,11421,6817,7497,6817,7497
Klickitat,5959,50,211,79,11,13,7237,5,1475,345,5,204,5,38,45,5,114,1,1526,18,356,13,47,3957,13560,7237,5959,4004,4155,4004,4155
Lewis,14520,177,927,232,20,42,29391,21,3512,1120,14,488,12,86,113,14,216,5,3453,37,719,39,86,14955,45309,29391,14520,15041,9849,15041,9849
Lincoln,1713,15,111,40,1,3,5150,4,414,183,1,75,0,12,24,2,39,0,295,3,83,5,21,2911,7033,5150,1713,2932,1140,2932,1140
Mason,17269,175,888,191,25,45,18710,20,4613,1442,10,618,4,73,135,15,307,3,3892,60,845,39,134,9083,37303,18710,17269,9217,12076,9217,12076
Okanogan,8900,81,290,130,17,24,11840,17,1996,544,8,220,3,54,62,13,131,2,2327,10,564,27,56,6337,21282,11840,8900,6393,5978,6393,5978
Pacific,6794,46,201,47,10,13,6953,11,1826,589,6,269,5,48,47,5,119,1,1433,18,404,24,37,3516,14064,6953,6794,3553,4805,3553,4805
