county,gen_dem_HARRIS,gen_ind_COHEN,gen_ind_IN,gen_ind_PATEL,gen_oth_MOHR,gen_oth_SCATTERING,gen_rep_PENCE,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_DELANEY,pri_dem_DELEGATE,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_SCATTERING,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_DELEGATE,pri_rep_IN,pri_rep_SCATTERING,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Adams,4329,85,2,3,27,10,7362,1,1932,46,12,3,9,14,19,2,560,7,7,13,5,24,6,7,2834,11818,2871,2630
Ashland,4801,70,7,11,11,16,3841,0,1560,21,8,0,8,12,35,1,941,3,4,32,4,15,0,3,1324,8757,1342,2629
Barron,9194,262,18,21,37,11,15803,7,3618,37,25,4,29,33,88,1,1214,4,5,53,13,63,7,8,5592,25346,5670,5131
Bayfield,6147,80,8,13,11,4,4617,1,2519,15,7,0,15,22,65,0,1360,0,2,52,6,38,0,1,2047,10880,2086,4064
Brown,65511,1829,57,206,215,328,75871,19,21495,337,199,20,127,202,182,7,9447,60,35,391,145,436,0,118,24328,144017,24882,32666
Buffalo,2860,80,1,10,20,11,4834,1,1246,18,10,2,13,16,25,1,405,5,6,18,6,33,0,5,1734,7816,1772,1772
Burnett,3569,86,2,9,13,0,6462,3,1293,17,4,2,19,15,50,3,370,0,1,22,3,40,1,0,2338,10141,2379,1802
Calumet,12116,363,9,75,42,13,18156,9,4446,107,42,8,39,50,57,5,1878,20,7,85,38,112,0,21,6505,30774,6638,6791
Chippewa,13983,501,8,45,60,24,21317,10,6075,111,41,4,43,59,87,2,2126,10,5,98,21,134,0,12,7795,35938,7941,8692
Clark,4524,168,4,147,32,21,10002,3,2061,52,17,2,15,16,33,2,681,5,5,25,8,50,0,11,4084,14898,4145,2925
Columbia,16410,421,18,32,61,0,16927,7,6819,98,57,9,40,81,61,4,2921,22,9,132,32,111,0,19,6500,33869,6630,10292
Crawford,3953,92,0,12,18,0,4620,4,1620,29,7,8,9,13,18,4,713,0,9,24,9,26,0,0,1605,8695,1631,2467
Dane,260185,3668,343,583,404,808,78800,36,92892,778,705,35,462,744,742,25,67424,289,78,4002,546,945,0,273,27680,344791,28898,168758
Dodge,16356,535,19,81,90,0,31355,8,6488,140,68,10,46,71,72,4,2603,0,15,136,30,210,0,0,12423,48436,12633,9691
Door,10044,231,10,22,27,31,9752,4,4691,57,39,2,26,32,39,0,1523,23,10,90,10,108,0,20,4007,20117,4135,6546
Douglas,13218,379,1,41,42,73,10923,1,4931,42,20,1,18,35,93,3,1759,18,0,79,13,49,0,13,3661,24677,3723,7013
Dunn,9897,368,14,28,44,0,13173,5,3570,50,36,4,29,58,81,5,1701,0,7,56,23,80,0,0,4510,23524,4590,5625
Eau Claire,31620,925,35,91,97,166,25341,7,11202,165,111,12,68,119,136,4,6672,35,10,275,97,213,2,40,8638,58275,8893,18913
Florence,781,22,0,0,4,0,2133,1,331,6,3,0,1,2,3,0,117,0,0,6,1,0,0,2,919,2940,921,471
Fond Du Lac,20588,686,28,75,91,29,35754,5,7914,156,90,11,56,99,81,5,3041,14,11,113,48,220,0,18,13538,57251,13776,11644
Forest,1721,35,0,2,6,4,3285,1,743,13,4,4,7,7,9,2,244,0,2,15,1,24,0,5,1512,5053,1541,1052
Grant,10998,350,10,34,34,40,14142,3,4285,63,40,6,28,41,61,3,1600,10,11,91,19,117,0,17,4499,25608,4633,6261
Green,10851,271,16,27,38,34,10169,2,4537,72,29,7,23,45,53,2,1939,16,7,91,24,74,0,7,3573,21406,3654,6847
Green Lake,3344,110,1,11,15,22,7168,1,1351,31,17,0,7,16,15,0,475,2,1,26,6,38,1,4,2851,10671,2894,1948
Iowa,7828,161,9,44,25,16,5909,0,3270,44,23,2,14,27,34,3,1366,0,6,66,7,39,15,0,2187,13992,2241,4862
Iron,1533,26,1,1,6,5,2438,0,814,12,6,1,7,10,15,0,273,2,1,11,3,12,0,0,1267,4010,1279,1155
Jackson,4256,111,1,8,17,0,5791,4,1711,35,15,1,13,21,36,2,656,0,4,23,8,19,0,0,1948,10184,1967,2529
Jefferson,19904,634,13,44,69,107,27208,12,7825,137,75,6,49,81,80,3,3710,18,15,185,54,173,0,24,10911,47979,11108,12250
Juneau,4746,146,2,21,21,24,8749,4,1923,73,10,4,9,13,21,2,752,9,4,29,5,25,17,2,3308,13709,3352,2858
Kenosha,42193,1037,45,120,147,224,44972,8,13553,193,118,7,68,118,90,8,6897,41,13,269,75,245,0,55,13730,88738,14030,21458
Kewaunee,3976,127,9,12,26,18,7927,1,1762,49,16,4,11,23,18,3,589,0,7,27,9,33,0,0,2823,12095,2856,2519
La Crosse,37846,877,37,121,135,184,28684,10,12688,152,111,7,78,107,172,4,6797,0,11,275,84,216,0,0,8828,67884,9044,20496
Lafayette,3647,57,4,9,15,2,4821,0,1674,30,18,2,9,15,11,2,488,3,2,35,6,39,0,2,1824,8555,1865,2295
Langlade,3704,94,4,13,20,0,7330,1,1519,30,7,2,9,12,23,3,410,0,3,27,4,32,1,0,2895,11165,2928,2050
Lincoln,6261,175,0,13,31,0,10017,2,2558,56,20,5,21,21,20,0,841,3,8,38,6,46,0,8,3777,16497,3831,3599
Manitowoc,16818,553,17,87,75,61,27218,7,6739,168,57,12,42,55,61,5,2394,25,25,115,47,1,134,20,9896,44829,10051,9752
Marathon,30808,929,22,93,151,124,44624,8,11929,197,99,14,66,103,99,7,4669,33,19,233,73,214,0,39,17617,76751,17870,17549
Marinette,7366,237,7,32,33,0,15304,3,3263,60,25,3,29,36,32,2,959,0,3,55,8,91,0,0,6055,22979,6146,4478
Marquette,3239,78,3,4,10,12,5719,2,1343,18,6,2,8,5,9,0,466,8,0,14,2,29,1,1,2303,9065,2334,1883
Menominee,1303,6,0,0,3,0,278,0,167,5,1,0,0,2,2,0,111,1,0,3,1,2,0,1,85,1590,88,293
Milwaukee,317270,4340,379,751,623,1251,134357,99,89400,1300,739,83,534,746,668,52,55737,336,121,2606,610,1294,0,278,48609,458971,50181,153031
Monroe,8433,263,4,30,66,40,13775,3,3218,59,37,5,31,36,48,2,1328,12,8,58,19,80,0,12,4712,22611,4804,4864
Oconto,6715,210,4,20,40,0,16226,1,2922,58,18,6,18,32,29,0,1000,0,2,44,12,59,0,0,6152,23215,6211,4142
Oneida,10105,283,13,17,43,27,13671,5,4100,46,32,3,28,41,44,1,1453,17,6,76,16,78,4,10,5430,24159,5522,5868
Outagamie,47667,1569,52,177,172,0,58385,8,16752,318,156,17,122,200,158,8,8263,0,27,358,112,437,0,0,20336,108022,20773,26499
