county,gen_dem_BIDEN,gen_oth_HAWKINS,gen_oth_JORGENSEN,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_RICE,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_ELY,pri_rep_FUENTE,pri_rep_MATERN,pri_rep_TRUMP,pri_rep_WALSH,pri_rep_WELD,gen_total,rep_pri_total,dem_pri_total
Barbour,1457,23,81,5116,10,923,25,25,29,28,4,137,107,10,33,10,18,8,9,2317,35,34,6677,2421,1341
Berkeley,17186,181,889,33279,110,6688,111,140,111,96,18,254,1117,20,274,100,98,122,110,11213,207,241,51535,11991,9039
Boone,2041,33,122,6816,42,1689,71,82,68,57,13,540,319,58,104,62,5,6,5,1773,15,9,9012,1813,3105
Braxton,1457,25,62,4120,23,1133,68,26,58,29,10,216,146,13,54,28,6,6,5,1227,24,10,5664,1278,1804
Brooke,2947,26,138,7545,48,1861,103,86,71,52,20,261,323,45,69,29,18,16,7,2341,28,42,10656,2452,2968
Cabell,14994,118,527,21721,58,6792,190,204,156,129,19,431,1508,48,296,111,68,94,103,7865,175,229,37360,8534,9942
Calhoun,568,10,29,2364,20,392,18,11,17,16,4,179,133,9,22,8,3,3,0,754,7,10,2971,777,829
Clay,641,8,37,2679,11,439,35,3,27,12,8,163,87,10,25,24,4,0,0,848,14,3,3365,869,844
Doddridge,435,17,30,2619,2,192,4,5,6,3,1,43,47,0,14,6,7,10,13,1587,14,22,3101,1653,323
Fayette,5063,61,158,11580,50,3167,108,61,143,76,23,452,599,44,164,99,19,14,12,3557,69,29,16862,3700,4986
Gilmer,599,12,39,2012,31,448,22,7,40,8,1,122,93,10,22,7,2,6,5,575,6,7,2662,601,811
Grant,607,11,20,4871,5,211,7,3,5,4,0,14,41,1,11,1,11,14,12,2939,42,46,5509,3064,303
Greenbrier,4655,60,210,10925,27,2660,65,77,102,66,19,310,484,23,149,42,15,21,13,4448,73,66,15850,4636,4024
Hampshire,1939,21,93,8033,20,942,36,26,40,25,6,142,144,4,58,16,11,12,6,2965,32,43,10086,3069,1459
Hancock,3790,43,161,9806,22,2217,74,107,93,72,16,295,321,29,92,61,38,23,21,3353,48,48,13800,3531,3399
Hardy,1381,19,72,4859,21,810,36,27,22,31,6,154,135,9,31,13,7,5,6,1507,23,18,6331,1566,1295
Harrison,9215,106,461,20683,74,5266,149,189,254,135,54,668,801,61,230,95,65,52,69,6967,141,141,30465,7435,7976
Jackson,3207,37,171,10093,19,1986,47,34,48,42,8,247,242,29,59,35,34,25,23,4736,125,62,13508,5005,2796
Jefferson,12127,119,424,15033,14,4807,64,106,72,71,7,100,904,16,217,58,37,64,42,4329,82,177,27703,4731,6436
Kanawha,34344,278,1224,46398,186,18069,340,384,501,302,46,901,2905,115,697,273,193,225,126,17188,544,470,82244,18746,24719
Lewis,1538,21,116,5782,35,976,35,56,47,27,19,195,183,6,63,26,8,12,32,2780,45,38,7457,2915,1668
Lincoln,1711,22,85,6012,22,1182,53,33,37,34,9,375,208,10,67,30,9,5,6,1622,17,7,7830,1666,2060
Logan,2333,25,134,10534,46,1504,56,57,88,54,21,588,353,24,80,84,4,8,9,2450,15,9,13026,2495,2955
Marion,8901,111,482,16300,121,4818,254,146,205,152,59,574,1048,43,221,139,33,42,31,4921,117,119,25794,5263,7780
Marshall,3455,47,143,10435,38,2107,101,109,90,59,19,418,383,27,113,55,17,27,21,3505,70,44,14080,3684,3519
Mason,2526,36,150,8491,63,1670,54,34,83,46,10,353,249,18,75,34,19,26,14,3620,69,62,11203,3810,2689
Mcdowell,1333,17,29,5148,17,980,39,31,64,34,20,230,140,42,69,28,4,2,3,873,7,4,6527,893,1694
Mercer,5556,74,267,19237,28,2683,119,66,94,83,21,359,580,13,167,50,20,45,36,6942,82,68,25134,7193,4263
Mineral,2660,24,148,10040,10,1162,37,23,29,30,3,154,192,6,39,11,36,39,21,3805,54,52,12872,4007,1696
Mingo,1397,23,58,8544,38,921,61,77,69,42,73,458,317,36,66,83,3,2,3,1536,2,1,10022,1547,2241
Monongalia,20282,191,796,20803,54,7967,239,250,230,179,24,493,2221,37,609,214,109,97,89,6608,244,230,42072,7377,12517
Monroe,1345,13,64,5068,9,811,20,11,24,23,11,104,132,16,40,18,9,5,3,2178,28,35,6490,2258,1219
Morgan,1998,39,121,6537,13,770,20,16,11,8,0,30,150,2,31,9,12,53,50,3409,78,130,8695,3732,1060
Nicholas,2226,20,105,8279,46,1483,94,36,72,47,20,248,234,46,56,53,11,12,9,3093,51,32,10630,3208,2435
Ohio,7223,62,259,12354,20,3700,89,153,114,92,38,266,707,26,138,87,33,48,43,4927,97,168,19898,5316,5430
Pendleton,820,6,51,2782,13,557,34,9,20,22,1,88,68,5,31,5,5,7,4,880,10,10,3659,916,853
Pleasants,699,15,35,2742,16,493,19,20,21,16,5,84,64,5,17,9,5,4,2,1260,15,11,3491,1297,769
Pocahontas,1047,22,44,2895,21,640,16,18,19,20,16,81,124,7,32,12,5,4,9,1228,18,14,4008,1278,1006
Preston,3163,52,167,11190,19,1606,36,31,43,43,12,265,315,14,78,47,64,36,40,5632,98,117,14572,5987,2509
Putnam,7878,91,498,20034,42,3882,66,97,90,102,12,335,678,48,141,80,81,83,56,8597,242,164,28501,9223,5573
Raleigh,7982,95,356,24673,58,4520,205,96,210,123,39,669,846,36,201,115,37,52,42,9786,119,101,33106,10137,7118
Randolph,3362,40,125,8673,45,2200,85,61,102,58,29,559,370,42,123,27,20,12,19,3004,47,39,12200,3141,3701
Ritchie,586,10,38,3649,2,274,8,7,8,11,0,59,49,0,18,7,17,9,11,2214,31,27,4283,2309,443
Roane,1455,26,69,4213,8,880,30,26,23,22,6,134,174,11,33,21,25,7,8,1900,39,31,5763,2010,1368
Summers,1448,11,52,4074,24,1050,38,20,32,24,11,262,172,13,38,14,10,6,9,1426,20,13,5585,1484,1698
Taylor,1796,23,87,5477,13,1057,21,35,36,46,6,145,185,16,52,18,17,13,19,2228,37,27,7383,2341,1630
Tucker,938,11,54,2841,21,578,20,11,24,28,3,101,154,2,40,13,4,4,6,1300,17,17,3844,1348,995
Tyler,631,9,56,3226,5,318,15,12,16,11,7,68,63,4,16,6,4,18,10,1880,38,24,3922,1974,541
Upshur,2256,27,167,7771,19,1194,14,29,21,22,6,88,180,14,59,16,31,19,42,3998,75,108,10221,4273,1662
Wayne,4088,51,223,12585,33,2533,57,61,103,69,29,578,394,34,96,53,15,18,22,3635,42,45,16947,3777,4040
Webster,610,10,23,2759,46,491,32,14,23,31,7,166,106,11,36,10,3,2,0,744,9,2,3402,760,973
Wetzel,1539,32,103,4993,24,1112,60,54,55,28,28,322,223,20,56,36,9,11,4,1663,13,27,6667,1727,2018
Wirt,466,8,45,2134,12,286,10,3,21,12,6,76,49,7,6,9,3,5,5,855,9,7,2653,884,497
Wood,10926,111,523,27202,30,4550,109,117,121,112,14,506,820,24,156,76,91,69,48,9545,226,221,38762,10200,6635
Wyoming,1157,16,66,7353,61,871,40,33,55,47,15,410,206,16,57,17,4,9,3,2208,21,10,8592,2255,1828
