state,raw_dir_exists,general_files,primary_files,general_pres_rows,primary_pres_rows,general_counties,primary_counties,merged_counties,output_cols,error
AL,True,1,1,12666,46662,67,65,65,33,
AR,True,75,1,33475,1596,75,75,75,40,
CA,True,1,6,638,36346,58,6,6,119,
CO,True,1,1,76920,1216,64,64,64,47,
CT,True,1,1,10556,4607,169,169,169,22,
DE,True,1,1,12,1756,3,3,3,10,
GA,True,1,1,7968,34151,159,159,159,20,
ID,True,1,1,301,1276,43,44,43,62,
IN,True,60,1,64625,37774,92,92,92,34,
LA,True,1,1,845,896,64,64,64,31,
MA,True,1,1,17392,108700,14,14,14,52,
MO,True,1,14,25689,8485,116,14,14,98,
MS,True,1,1,738,1063,82,82,82,26,
NH,True,1,1,935,10560,10,10,10,40,
NY,True,1,1,149467,806,61,62,61,56,
OR,True,1,1,10389,259,36,36,36,22,
PA,True,1,48,54,83116,13,48,10,107,
SC,True,1,46,11995,28764,46,46,46,18,
SD,True,1,1,198,1324,66,65,65,9,
TX,True,1,1,177940,237409,247,182,177,161,
UT,True,1,19,29117,44118,29,18,18,70,
WA,True,1,1,273,663,39,39,39,25,
WI,True,2,3,48074,72108,72,72,72,29,
WV,True,1,1,224,1008,55,55,55,26,
