county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,Straight Party,,,DEMOCRATIC PARTY (D),0,0,427,427
County of Hawaii,01-01,Straight Party,,,INDEPENDENT PARTY (I),0,0,0,0
County of Hawaii,01-01,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,01-01,Straight Party,,,NONPARTISAN BALLOT (N),0,0,3,3
County of Hawaii,01-01,Straight Party,,,REPUBLICAN PARTY (R),0,0,44,44
County of Hawaii,01-01,US Representative,2,I,"STENSHOL, Shaun",0,0,0,0
County of Hawaii,01-01,US Representative,2,D,"HIRONO, Mazie",0,0,321,321
County of Hawaii,01-01,US Representative,2,R,"EVANS, Roger B.",0,0,36,36
County of Hawaii,01-01,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,1,1
County of Hawaii,01-01,State Senate,3,D,"ISBELL, Virginia",0,0,60,60
County of Hawaii,01-01,State Senate,3,D,"GREEN, Josh",0,0,344,344
County of Hawaii,01-01,State Representative,1,D,"FUJIYAMA, Ken",0,0,53,53
County of Hawaii,01-01,State Representative,1,D,"KIM, Jo",0,0,91,91
County of Hawaii,01-01,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,219,219
County of Hawaii,01-01,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,17,17
County of Hawaii,01-01,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,22,22
County of Hawaii,01-01,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,17,17
County of Hawaii,01-02,Straight Party,,,DEMOCRATIC PARTY (D),0,0,241,241
County of Hawaii,01-02,Straight Party,,,INDEPENDENT PARTY (I),0,0,2,2
County of Hawaii,01-02,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-02,Straight Party,,,NONPARTISAN BALLOT (N),0,0,1,1
County of Hawaii,01-02,Straight Party,,,REPUBLICAN PARTY (R),0,0,29,29
County of Hawaii,01-02,US Representative,2,I,"STENSHOL, Shaun",0,0,2,2
County of Hawaii,01-02,US Representative,2,D,"HIRONO, Mazie",0,0,171,171
County of Hawaii,01-02,US Representative,2,R,"EVANS, Roger B.",0,0,25,25
