county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,4
County of Hawaii,01-01,President,,,Total Blank Votes,,,,5
County of Hawaii,01-01,President,,,Total Over Votes,,,,0
County of Hawaii,01-01,President,,,Total Ballots,,,,758
County of Hawaii,01-01,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,0
County of Hawaii,01-01,President,,,Total Blank Votes,,,,5
County of Hawaii,01-01,President,,,Total Over Votes,,,,0
County of Hawaii,01-01,President,,,Total Ballots,,,,758
County of Hawaii,01-01,President,,REP,"McCAIN, John / PALIN, Sarah",,,,169
County of Hawaii,01-01,President,,,Total Blank Votes,,,,5
County of Hawaii,01-01,President,,,Total Over Votes,,,,0
County of Hawaii,01-01,President,,,Total Ballots,,,,758
County of Hawaii,01-01,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,2
County of Hawaii,01-01,President,,,Total Blank Votes,,,,5
County of Hawaii,01-01,President,,,Total Over Votes,,,,0
County of Hawaii,01-01,President,,,Total Ballots,,,,758
County of Hawaii,01-01,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,11
County of Hawaii,01-01,President,,,Total Blank Votes,,,,5
County of Hawaii,01-01,President,,,Total Over Votes,,,,0
County of Hawaii,01-01,President,,,Total Ballots,,,,758
County of Hawaii,01-01,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,567
County of Hawaii,01-01,President,,,Total Blank Votes,,,,5
County of Hawaii,01-01,President,,,Total Over Votes,,,,0
County of Hawaii,01-01,President,,,Total Ballots,,,,758
County of Hawaii,01-01,US Representative,2,REP,"EVANS, Roger B.",,,,140
County of Hawaii,01-01,US Representative,2,,Total Blank Votes,,,,54
County of Hawaii,01-01,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-01,US Representative,2,,Total Ballots,,,,758
County of Hawaii,01-01,US Representative,2,DEM,"HIRONO, Mazie",,,,526
County of Hawaii,01-01,US Representative,2,,Total Blank Votes,,,,54
County of Hawaii,01-01,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-01,US Representative,2,,Total Ballots,,,,758
County of Hawaii,01-01,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,13
County of Hawaii,01-01,US Representative,2,,Total Blank Votes,,,,54
County of Hawaii,01-01,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-01,US Representative,2,,Total Ballots,,,,758
County of Hawaii,01-01,US Representative,2,,"STENSHOL, Shaun",,,,25
County of Hawaii,01-01,US Representative,2,,Total Blank Votes,,,,54
County of Hawaii,01-01,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-01,US Representative,2,,Total Ballots,,,,758
County of Hawaii,01-01,State Representative,1,DEM,"NAKASHIMA, Mark M.",,,,531
County of Hawaii,01-01,State Representative,1,,Total Blank Votes,,,,64
County of Hawaii,01-01,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-01,State Representative,1,,Total Ballots,,,,758
County of Hawaii,01-01,State Representative,1,REP,"OFFENBAKER, Steven A.",,,,163
