county,precinct,office,district,party,candidate,votes
Alcona,Alcona Township 1,President,,NPA,Brian Moore,0
Alcona,Alcona Township 1,President,,NPA,Alan Keyes,0
Alcona,Alcona Township 1,President,,DEM,Barack Obama,329
Alcona,Alcona Township 1,President,,REP,John Mccain,423
Alcona,Alcona Township 1,President,,NLP,Ralph Nader,8
Alcona,Alcona Township 1,President,,GRN,Cynthia Mckinney,4
Alcona,Alcona Township 1,President,,LIB,Bob Barr,2
Alcona,Alcona Township 1,President,,UST,Chuck Baldwin,1
Alcona,Alcona Township 1,U.S. Senate,,NLP,Doug Dern,1
Alcona,Alcona Township 1,U.S. Senate,,GRN,Harley G. Mikkelson,6
Alcona,Alcona Township 1,U.S. Senate,,LIB,Scotty Boman,9
Alcona,Alcona Township 1,U.S. Senate,,UST,Michael N. Nikitin,3
Alcona,Alcona Township 1,U.S. Senate,,DEM,Carl Levin,391
Alcona,Alcona Township 1,U.S. Senate,,REP,"Jack Hoogendyk, Jr.",348
Alcona,Alcona Township 1,U.S. House,1,GRN,Jean Treacy,5
Alcona,Alcona Township 1,U.S. House,1,LIB,Daniel W. Grow,2
Alcona,Alcona Township 1,U.S. House,1,UST,Joshua J. Warren,4
Alcona,Alcona Township 1,U.S. House,1,REP,Tom Casperson,305
Alcona,Alcona Township 1,U.S. House,1,DEM,Bart Stupak,442
Alcona,Alcona Township 1,U.S. House,1,NPA,Don Hooper,0
Alcona,Alcona Township 1,State House,106,LIB,Scott Alexander,8
Alcona,Alcona Township 1,State House,106,REP,Peter A. Pettalia,397
Alcona,Alcona Township 1,State House,106,DEM,Andy Neumann,348
Alcona,Caledonia Township 1,President,,NPA,Brian Moore,0
Alcona,Caledonia Township 1,President,,NPA,Alan Keyes,0
Alcona,Caledonia Township 1,President,,DEM,Barack Obama,289
Alcona,Caledonia Township 1,President,,REP,John Mccain,371
Alcona,Caledonia Township 1,President,,NLP,Ralph Nader,5
Alcona,Caledonia Township 1,President,,GRN,Cynthia Mckinney,1
Alcona,Caledonia Township 1,President,,LIB,Bob Barr,5
Alcona,Caledonia Township 1,President,,UST,Chuck Baldwin,0
Alcona,Caledonia Township 1,U.S. Senate,,NLP,Doug Dern,2
Alcona,Caledonia Township 1,U.S. Senate,,GRN,Harley G. Mikkelson,4
Alcona,Caledonia Township 1,U.S. Senate,,LIB,Scotty Boman,8
Alcona,Caledonia Township 1,U.S. Senate,,UST,Michael N. Nikitin,9
Alcona,Caledonia Township 1,U.S. Senate,,DEM,Carl Levin,382
Alcona,Caledonia Township 1,U.S. Senate,,REP,"Jack Hoogendyk, Jr.",249
Alcona,Caledonia Township 1,U.S. House,1,GRN,Jean Treacy,2
Alcona,Caledonia Township 1,U.S. House,1,LIB,Daniel W. Grow,8
Alcona,Caledonia Township 1,U.S. House,1,UST,Joshua J. Warren,3
Alcona,Caledonia Township 1,U.S. House,1,REP,Tom Casperson,231
Alcona,Caledonia Township 1,U.S. House,1,DEM,Bart Stupak,417
Alcona,Caledonia Township 1,U.S. House,1,NPA,Don Hooper,0
Alcona,Caledonia Township 1,State House,106,LIB,Scott Alexander,14
Alcona,Caledonia Township 1,State House,106,REP,Peter A. Pettalia,333
Alcona,Caledonia Township 1,State House,106,DEM,Andy Neumann,312
Alcona,Curtis Township 1,President,,NPA,Brian Moore,0
Alcona,Curtis Township 1,President,,NPA,Alan Keyes,0
Alcona,Curtis Township 1,President,,DEM,Barack Obama,370
Alcona,Curtis Township 1,President,,REP,John Mccain,316
Alcona,Curtis Township 1,President,,NLP,Ralph Nader,7
Alcona,Curtis Township 1,President,,GRN,Cynthia Mckinney,2
Alcona,Curtis Township 1,President,,LIB,Bob Barr,3
Alcona,Curtis Township 1,President,,UST,Chuck Baldwin,3
Alcona,Curtis Township 1,U.S. Senate,,NLP,Doug Dern,3
Alcona,Curtis Township 1,U.S. Senate,,GRN,Harley G. Mikkelson,4
Alcona,Curtis Township 1,U.S. Senate,,LIB,Scotty Boman,14
Alcona,Curtis Township 1,U.S. Senate,,UST,Michael N. Nikitin,7
Alcona,Curtis Township 1,U.S. Senate,,DEM,Carl Levin,414
Alcona,Curtis Township 1,U.S. Senate,,REP,"Jack Hoogendyk, Jr.",239
Alcona,Curtis Township 1,U.S. House,1,GRN,Jean Treacy,7
Alcona,Curtis Township 1,U.S. House,1,LIB,Daniel W. Grow,6
Alcona,Curtis Township 1,U.S. House,1,UST,Joshua J. Warren,6
Alcona,Curtis Township 1,U.S. House,1,REP,Tom Casperson,196
Alcona,Curtis Township 1,U.S. House,1,DEM,Bart Stupak,459
Alcona,Curtis Township 1,U.S. House,1,NPA,Don Hooper,0
Alcona,Curtis Township 1,State House,106,LIB,Scott Alexander,29
Alcona,Curtis Township 1,State House,106,REP,Peter A. Pettalia,256
Alcona,Curtis Township 1,State House,106,DEM,Andy Neumann,372
Alcona,Greenbush Township 1,President,,NPA,Brian Moore,0
Alcona,Greenbush Township 1,President,,NPA,Alan Keyes,0
Alcona,Greenbush Township 1,President,,DEM,Barack Obama,376
Alcona,Greenbush Township 1,President,,REP,John Mccain,456
Alcona,Greenbush Township 1,President,,NLP,Ralph Nader,4
Alcona,Greenbush Township 1,President,,GRN,Cynthia Mckinney,2
Alcona,Greenbush Township 1,President,,LIB,Bob Barr,2
Alcona,Greenbush Township 1,President,,UST,Chuck Baldwin,2
Alcona,Greenbush Township 1,U.S. Senate,,NLP,Doug Dern,6
Alcona,Greenbush Township 1,U.S. Senate,,GRN,Harley G. Mikkelson,4
Alcona,Greenbush Township 1,U.S. Senate,,LIB,Scotty Boman,13
Alcona,Greenbush Township 1,U.S. Senate,,UST,Michael N. Nikitin,5
Alcona,Greenbush Township 1,U.S. Senate,,DEM,Carl Levin,444
Alcona,Greenbush Township 1,U.S. Senate,,REP,"Jack Hoogendyk, Jr.",360
Alcona,Greenbush Township 1,U.S. House,1,GRN,Jean Treacy,4
Alcona,Greenbush Township 1,U.S. House,1,LIB,Daniel W. Grow,8
Alcona,Greenbush Township 1,U.S. House,1,UST,Joshua J. Warren,7
Alcona,Greenbush Township 1,U.S. House,1,REP,Tom Casperson,286
Alcona,Greenbush Township 1,U.S. House,1,DEM,Bart Stupak,531
Alcona,Greenbush Township 1,U.S. House,1,NPA,Don Hooper,0
Alcona,Greenbush Township 1,State House,106,LIB,Scott Alexander,23
Alcona,Greenbush Township 1,State House,106,REP,Peter A. Pettalia,424
Alcona,Greenbush Township 1,State House,106,DEM,Andy Neumann,378
Alcona,Gustin Township 1,President,,NPA,Brian Moore,0
Alcona,Gustin Township 1,President,,NPA,Alan Keyes,0
Alcona,Gustin Township 1,President,,DEM,Barack Obama,163
Alcona,Gustin Township 1,President,,REP,John Mccain,210
Alcona,Gustin Township 1,President,,NLP,Ralph Nader,5
Alcona,Gustin Township 1,President,,GRN,Cynthia Mckinney,0
Alcona,Gustin Township 1,President,,LIB,Bob Barr,2
Alcona,Gustin Township 1,President,,UST,Chuck Baldwin,0
Alcona,Gustin Township 1,U.S. Senate,,NLP,Doug Dern,2
Alcona,Gustin Township 1,U.S. Senate,,GRN,Harley G. Mikkelson,5
Alcona,Gustin Township 1,U.S. Senate,,LIB,Scotty Boman,10
Alcona,Gustin Township 1,U.S. Senate,,UST,Michael N. Nikitin,7
Alcona,Gustin Township 1,U.S. Senate,,DEM,Carl Levin,219
Alcona,Gustin Township 1,U.S. Senate,,REP,"Jack Hoogendyk, Jr.",133
Alcona,Gustin Township 1,U.S. House,1,GRN,Jean Treacy,2
Alcona,Gustin Township 1,U.S. House,1,LIB,Daniel W. Grow,6
Alcona,Gustin Township 1,U.S. House,1,UST,Joshua J. Warren,2
Alcona,Gustin Township 1,U.S. House,1,REP,Tom Casperson,119
Alcona,Gustin Township 1,U.S. House,1,DEM,Bart Stupak,250
Alcona,Gustin Township 1,U.S. House,1,NPA,Don Hooper,0
Alcona,Gustin Township 1,State House,106,LIB,Scott Alexander,13
Alcona,Gustin Township 1,State House,106,REP,Peter A. Pettalia,170
Alcona,Gustin Township 1,State House,106,DEM,Andy Neumann,197
Alcona,Harrisville Township 1,President,,NPA,Brian Moore,0
Alcona,Harrisville Township 1,President,,NPA,Alan Keyes,0
Alcona,Harrisville Township 1,President,,DEM,Barack Obama,318
Alcona,Harrisville Township 1,President,,REP,John Mccain,475
Alcona,Harrisville Township 1,President,,NLP,Ralph Nader,1
Alcona,Harrisville Township 1,President,,GRN,Cynthia Mckinney,0
Alcona,Harrisville Township 1,President,,LIB,Bob Barr,7
