county,office,district,party,candidate,votes
Bernalillo,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,45321
Catron,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,229
Chaves,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1968
Cibola,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,3165
Colfax,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1597
Curry,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1392
De Baca,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,340
Dona Ana,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,8332
Eddy,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,3577
Grant,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,3740
Guadalupe,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1068
Harding,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,157
Hidalgo,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,549
Lea,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1561
Lincoln,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,734
Los Alamos,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1346
Luna,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1471
McKinley,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,6668
Mora,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1298
Otero,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,2080
Quay,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,945
Rio Arriba,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,5274
Roosevelt,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,603
San Juan,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,7547
San Miguel,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,4667
Sandoval,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,5023
Santa Fe,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,17677
Sierra,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,827
Socorro,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1834
Taos,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,5230
Torrance,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,1044
Union,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,356
Valencia,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,4009
,UNITED STATES SENATOR,,DEMOCRAT,TOM UDALL,141629
Bernalillo,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,20849
San Juan,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,702
Santa Fe,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,99
Torrance,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,283
Valencia,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,408
,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MARTIN T. HEINRICH,22341
Bernalillo,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MICHELLE LUJAN GRISHAM,10838
San Juan,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MICHELLE LUJAN GRISHAM,402
Santa Fe,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MICHELLE LUJAN GRISHAM,61
Torrance,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MICHELLE LUJAN GRISHAM,418
Valencia,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MICHELLE LUJAN GRISHAM,355
,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,MICHELLE LUJAN GRISHAM,12074
Bernalillo,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,REBECCA D. VIGIL-GIRON,11436
San Juan,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,REBECCA D. VIGIL-GIRON,493
Santa Fe,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,REBECCA D. VIGIL-GIRON,29
Torrance,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,REBECCA D. VIGIL-GIRON,322
Valencia,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,REBECCA D. VIGIL-GIRON,380
,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,REBECCA D. VIGIL-GIRON,12660
Bernalillo,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,ROBERT L. PIDCOCK,3891
San Juan,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,ROBERT L. PIDCOCK,151
Santa Fe,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,ROBERT L. PIDCOCK,30
Torrance,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,ROBERT L. PIDCOCK,98
Valencia,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,ROBERT L. PIDCOCK,103
,UNITED STATES REPRESENTATIVE,1,DEMOCRAT,ROBERT L. PIDCOCK,4273
Bernalillo,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,83
Catron,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,128
Chaves,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,833
Cibola,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,1271
De Baca,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,157
Dona Ana,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,6020
Eddy,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,1967
Grant,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,1948
Guadalupe,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,460
Hidalgo,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,237
Lea,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,319
Lincoln,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,433
Luna,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,833
McKinley,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,169
Otero,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,1049
Sierra,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,474
Socorro,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,879
Valencia,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,1337
,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,BILL MCCAMLEY,18597
Bernalillo,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,148
Catron,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,131
Chaves,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1365
Cibola,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,2012
De Baca,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,235
Dona Ana,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,3331
Eddy,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,2487
Grant,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,2076
Guadalupe,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,677
Hidalgo,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,400
Lea,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1666
Lincoln,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,344
Luna,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,855
McKinley,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,174
Otero,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1206
Sierra,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,413
Socorro,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1093
Valencia,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,1668
,UNITED STATES REPRESENTATIVE,2,DEMOCRAT,HARRY TEAGUE,20281
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,407
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,766
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,491
Harding,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,73
Los Alamos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,515
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,1823
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,889
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,416
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,3146
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,158
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,1976
San Miguel,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,1249
Sandoval,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,2907
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,8682
Taos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,3148
Union,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,129
,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BEN R. LUJAN,26775
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,348
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,657
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,717
Harding,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,46
Los Alamos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,531
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,1289
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,315
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,385
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,817
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,380
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,1687
San Miguel,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,1747
Sandoval,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,1479
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,4929
Taos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,1072
Union,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,98
,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,DONALD H. WIVIOTT,16497
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,101
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,97
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,40
Harding,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,4
Los Alamos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,167
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,2581
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,52
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,47
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,544
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,13
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,2026
San Miguel,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,1119
Sandoval,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,261
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,2394
Taos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,684
Union,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,18
,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,BENNY J. SHENDO JR.,10148
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,62
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,139
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,107
Harding,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,35
Los Alamos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,163
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,691
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,162
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,116
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,1278
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,46
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,314
San Miguel,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,343
Sandoval,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,755
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,2503
Taos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,431
Union,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,89
,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,HARRY B. MONTOYA,7234
Bernalillo,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,45
Colfax,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,78
Curry,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,148
Harding,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,13
Los Alamos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,170
McKinley,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,157
Mora,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,19
Quay,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,105
Rio Arriba,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,64
Roosevelt,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,58
San Juan,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,207
San Miguel,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,269
Sandoval,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,67
Santa Fe,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,413
Taos,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,119
Union,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,47
,UNITED STATES REPRESENTATIVE,3,DEMOCRAT,JON ADAMS,1979
