county,office,district,party,candidate,votes
Bernalillo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,171556
Catron,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,664
Chaves,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,8197
Cibola,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,5827
Colfax,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,3490
Curry,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,4670
De Baca,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,359
Dona Ana,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,40282
Eddy,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,7351
Grant,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,8142
Guadalupe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,1557
Harding,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,260
Hidalgo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,993
Lea,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,5108
Lincoln,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,3535
Los Alamos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,5824
Luna,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,4311
McKinley,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,16572
Mora,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,2168
Otero,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,8610
Quay,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,1547
Rio Arriba,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,12703
Roosevelt,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,2303
San Juan,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,32669
San Miguel,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,18028
Sandoval,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,10320
Santa Fe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,55567
Sierra,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,2352
Socorro,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,4696
Taos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,13816
Torrance,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,3087
Union,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,492
Valencia,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,15366
,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,DEMOCRATIC PARTY,BARACK OBAMA and JOE BIDEN,472422
Bernalillo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,110521
