county,office,district,party,candidate,votes
Adair,President,,R,JOHN McCAIN and SARAH PALIN,4638
Adair,President,,D,BARACK OBAMA and JOE BIDEN,2052
Alfalfa,President,,R,JOHN McCAIN and SARAH PALIN,2023
Alfalfa,President,,D,BARACK OBAMA and JOE BIDEN,411
Atoka,President,,R,JOHN McCAIN and SARAH PALIN,3511
Atoka,President,,D,BARACK OBAMA and JOE BIDEN,1370
Beaver,President,,R,JOHN McCAIN and SARAH PALIN,2199
Beaver,President,,D,BARACK OBAMA and JOE BIDEN,265
Beckham,President,,R,JOHN McCAIN and SARAH PALIN,5772
Beckham,President,,D,BARACK OBAMA and JOE BIDEN,1625
Blaine,President,,R,JOHN McCAIN and SARAH PALIN,3101
Blaine,President,,D,BARACK OBAMA and JOE BIDEN,1011
Bryan,President,,R,JOHN McCAIN and SARAH PALIN,9307
Bryan,President,,D,BARACK OBAMA and JOE BIDEN,4426
Caddo,President,,R,JOHN McCAIN and SARAH PALIN,6413
Caddo,President,,D,BARACK OBAMA and JOE BIDEN,3404
Canadian,President,,R,JOHN McCAIN and SARAH PALIN,36428
Canadian,President,,D,BARACK OBAMA and JOE BIDEN,11426
Carter,President,,R,JOHN McCAIN and SARAH PALIN,13241
Carter,President,,D,BARACK OBAMA and JOE BIDEN,5603
Cherokee,President,,R,JOHN McCAIN and SARAH PALIN,9186
Cherokee,President,,D,BARACK OBAMA and JOE BIDEN,7194
Choctaw,President,,R,JOHN McCAIN and SARAH PALIN,3730
Choctaw,President,,D,BARACK OBAMA and JOE BIDEN,1860
Cimarron,President,,R,JOHN McCAIN and SARAH PALIN,1119
Cimarron,President,,D,BARACK OBAMA and JOE BIDEN,152
Cleveland,President,,R,JOHN McCAIN and SARAH PALIN,64749
Cleveland,President,,D,BARACK OBAMA and JOE BIDEN,39681
Coal,President,,R,JOHN McCAIN and SARAH PALIN,1672
Coal,President,,D,BARACK OBAMA and JOE BIDEN,600
Comanche,President,,R,JOHN McCAIN and SARAH PALIN,20127
Comanche,President,,D,BARACK OBAMA and JOE BIDEN,14120
Cotton,President,,R,JOHN McCAIN and SARAH PALIN,1793
Cotton,President,,D,BARACK OBAMA and JOE BIDEN,690
Craig,President,,R,JOHN McCAIN and SARAH PALIN,3858
Craig,President,,D,BARACK OBAMA and JOE BIDEN,2073
Creek,President,,R,JOHN McCAIN and SARAH PALIN,20187
Creek,President,,D,BARACK OBAMA and JOE BIDEN,8318
Custer,President,,R,JOHN McCAIN and SARAH PALIN,7842
Custer,President,,D,BARACK OBAMA and JOE BIDEN,2660
Delaware,President,,R,JOHN McCAIN and SARAH PALIN,10277
Delaware,President,,D,BARACK OBAMA and JOE BIDEN,5085
Dewey,President,,R,JOHN McCAIN and SARAH PALIN,1857
Dewey,President,,D,BARACK OBAMA and JOE BIDEN,346
Ellis,President,,R,JOHN McCAIN and SARAH PALIN,1627
Ellis,President,,D,BARACK OBAMA and JOE BIDEN,282
Garfield,President,,R,JOHN McCAIN and SARAH PALIN,17067
Garfield,President,,D,BARACK OBAMA and JOE BIDEN,5545
Garvin,President,,R,JOHN McCAIN and SARAH PALIN,7710
Garvin,President,,D,BARACK OBAMA and JOE BIDEN,3028
Grady,President,,R,JOHN McCAIN and SARAH PALIN,15195
Grady,President,,D,BARACK OBAMA and JOE BIDEN,5520
Grant,President,,R,JOHN McCAIN and SARAH PALIN,1836
Grant,President,,D,BARACK OBAMA and JOE BIDEN,514
Greer,President,,R,JOHN McCAIN and SARAH PALIN,1548
Greer,President,,D,BARACK OBAMA and JOE BIDEN,566
Harmon,President,,R,JOHN McCAIN and SARAH PALIN,757
Harmon,President,,D,BARACK OBAMA and JOE BIDEN,333
Harper,President,,R,JOHN McCAIN and SARAH PALIN,1342
Harper,President,,D,BARACK OBAMA and JOE BIDEN,221
Haskell,President,,R,JOHN McCAIN and SARAH PALIN,3207
Haskell,President,,D,BARACK OBAMA and JOE BIDEN,1474
Hughes,President,,R,JOHN McCAIN and SARAH PALIN,3134
