county,town,office,district,party,candidate,votes
Bristol,Barrington,President,,Democratic,Barack Obama,6075
Bristol,Barrington,President,,Republican,John McCain,3666
Bristol,Barrington,President,,Independent,Ralph Nader,78
Bristol,Barrington,President,,Libertarian,Bob Barr,31
Bristol,Barrington,President,,Green,Cynthia McKinney,15
Bristol,Barrington,President,,Constitution,Chuck Baldwin,12
Bristol,Barrington,President,,Socialism and Liberation,Glora La Riva,1
Bristol,Barrington,U.S. Senate,,Democratic,John F. Reed,6627
Bristol,Barrington,U.S. Senate,,Republican,Robert G. Tingle,2816
Bristol,Barrington,U.S. Representative,1,Democratic,Patrick J. Kennedy,5610
Bristol,Barrington,U.S. Representative,1,Republican,Jonathan P. Scott,3169
Bristol,Barrington,U.S. Representative,1,Independent,Kenneth A. Capalbo,620
Bristol,Barrington,State Senate,32,Republican,David E. Bates,4843
Bristol,Barrington,State Senate,32,Democratic,Lawrence J. Signore,4400
Bristol,Barrington,State House,66,Democratic,Joy Hearn,3865
Bristol,Barrington,State House,66,Republican,Margaret E. Kane,3217
Bristol,Barrington,State House,67,Democratic,Jan Malik,1596
Bristol,Barrington,State Question 1,,,Approve,7684
Bristol,Barrington,State Question 1,,,Reject,1459
Bristol,Barrington,State Question 2,,,Approve,6767
Bristol,Barrington,State Question 2,,,Reject,2357
Bristol,Bristol,President,,Democratic,Barack Obama,6833
Bristol,Bristol,President,,Republican,John McCain,3834
Bristol,Bristol,President,,Independent,Ralph Nader,112
Bristol,Bristol,President,,Libertarian,Bob Barr,25
Bristol,Bristol,President,,Constitution,Chuck Baldwin,13
Bristol,Bristol,President,,Green,Cynthia McKinney,11
Bristol,Bristol,President,,Socialism and Liberation,Glora La Riva,5
Bristol,Bristol,U.S. Senate,,Democratic,John F. Reed,7272
Bristol,Bristol,U.S. Senate,,Republican,Robert G. Tingle,2638
Bristol,Bristol,U.S. Representative,1,Democratic,Patrick J. Kennedy,6694
Bristol,Bristol,U.S. Representative,1,Republican,Jonathan P. Scott,2597
Bristol,Bristol,U.S. Representative,1,Independent,Kenneth A. Capalbo,689
Bristol,Bristol,State Senate,10,Democratic,"Walter S. Felag, Jr.",1594
Bristol,Bristol,State Senate,11,Democratic,Charles J. Levesque,1789
Bristol,Bristol,State Senate,11,Republican,Christopher Scott Ottiano,1065
Bristol,Bristol,State Senate,11,Independent,John Stephen Vitkevich,349
Bristol,Bristol,State Senate,32,Democratic,Lawrence J. Signore,2247
Bristol,Bristol,State Senate,32,Republican,David E. Bates,2146
Bristol,Bristol,State House,68,Democratic,Douglas W. Gablinske,3427
Bristol,Bristol,State House,68,Independent,Matthew R. Pion,2354
Bristol,Bristol,State House,69,Democratic,"Raymond E. Gallison, Jr.",2838
Bristol,Bristol,State House,69,Republican,William L. Grapentine,1007
Bristol,Bristol,State Question 1,,,Approve,7735
Bristol,Bristol,State Question 1,,,Reject,1880
Bristol,Bristol,State Question 2,,,Approve,6779
Bristol,Bristol,State Question 2,,,Reject,2739
Providence,Burrillville,President,,Democratic,Barack Obama,3730
Providence,Burrillville,President,,Republican,John McCain,3160
Providence,Burrillville,President,,Independent,Ralph Nader,104
Providence,Burrillville,President,,Libertarian,Bob Barr,31
Providence,Burrillville,President,,Constitution,Chuck Baldwin,15
Providence,Burrillville,President,,Green,Cynthia McKinney,13
Providence,Burrillville,President,,Socialism and Liberation,Glora La Riva,2
Providence,Burrillville,U.S. Senate,,Democratic,John F. Reed,4744
Providence,Burrillville,U.S. Senate,,Republican,Robert G. Tingle,1942
Providence,Burrillville,U.S. Representative,1,Democratic,Patrick J. Kennedy,4276
Providence,Burrillville,U.S. Representative,1,Republican,Jonathan P. Scott,1906
Providence,Burrillville,U.S. Representative,1,Independent,Kenneth A. Capalbo,552
Providence,Burrillville,State Senate,23,Democratic,Paul W. Fogarty,3557
Providence,Burrillville,State Senate,23,Republican,Scott P. Rabideau,3101
Providence,Burrillville,State House,47,Democratic,Edwin R. Pacheco,4354
Providence,Burrillville,State House,48,Democratic,Raymond C. Church,531
Providence,Burrillville,State House,48,Republican,Brian C. Newberry,499
Providence,Burrillville,State House,48,Independent,Gary S. Ezovski,204
Providence,Burrillville,State Question 1,,,Approve,4521
Providence,Burrillville,State Question 1,,,Reject,1840
Providence,Burrillville,State Question 2,,,Approve,4133
Providence,Burrillville,State Question 2,,,Reject,2221
Providence,Central Falls,President,,Democratic,Barack Obama,3191
Providence,Central Falls,President,,Republican,John McCain,661
Providence,Central Falls,President,,Independent,Ralph Nader,28
Providence,Central Falls,President,,Libertarian,Bob Barr,6
Providence,Central Falls,President,,Green,Cynthia McKinney,4
Providence,Central Falls,President,,Constitution,Chuck Baldwin,3
Providence,Central Falls,President,,Socialism and Liberation,Glora La Riva,1
Providence,Central Falls,U.S. Senate,,Democratic,John F. Reed,2902
Providence,Central Falls,U.S. Senate,,Republican,Robert G. Tingle,385
Providence,Central Falls,U.S. Representative,1,Democratic,Patrick J. Kennedy,2912
Providence,Central Falls,U.S. Representative,1,Republican,Jonathan P. Scott,312
Providence,Central Falls,U.S. Representative,1,Independent,Kenneth A. Capalbo,127
Providence,Central Falls,State Senate,16,Democratic,Elizabeth A. Crowley,2885
Providence,Central Falls,State Senate,16,Republican,Albert Paul Larivee,419
Providence,Central Falls,State House,56,Democratic,Agostinho F. Silva,2065
