county,precinct,office,district,party,candidate,votes
Autauga,ABSENTEE,Ballots Cast,,,Ballots Cast - Total,278
Autauga,ABSENTEE,President,,DEM,Amy Klobuchar,0
Autauga,ABSENTEE,President,,DEM,Andrew Yang,0
Autauga,ABSENTEE,President,,DEM,Bernie Sanders,9
Autauga,ABSENTEE,President,,DEM,Cory Booker,0
Autauga,ABSENTEE,President,,DEM,Elizabeth Warren,6
Autauga,ABSENTEE,President,,DEM,John K. Delaney,0
Autauga,ABSENTEE,President,,DEM,Joseph R. Biden,23
Autauga,ABSENTEE,President,,DEM,Julian Castro,0
Autauga,ABSENTEE,President,,DEM,Marianne Williamson,0
Autauga,ABSENTEE,President,,DEM,Michael Bennet,0
Autauga,ABSENTEE,President,,DEM,Michael R. Bloomberg,7
Autauga,ABSENTEE,President,,DEM,Over Votes,0
Autauga,ABSENTEE,President,,DEM,Pete Buttigieg,4
Autauga,ABSENTEE,President,,DEM,Tom Steyer,1
Autauga,ABSENTEE,President,,DEM,Tulsi Gabbard,0
Autauga,ABSENTEE,President,,DEM,Uncommitted,0
Autauga,ABSENTEE,President,,DEM,Under Votes,0
Autauga,ABSENTEE,President,,REP,Bill Weld,1
Autauga,ABSENTEE,President,,REP,Donald J. Trump,224
Autauga,ABSENTEE,President,,REP,Over Votes,0
Autauga,ABSENTEE,President,,REP,Uncommitted,5
Autauga,ABSENTEE,President,,REP,Under Votes,1
Autauga,ABSENTEE,U.S. House,2,DEM,Nathan Mathis,20
Autauga,ABSENTEE,U.S. House,2,DEM,Over Votes,0
Autauga,ABSENTEE,U.S. House,2,DEM,Phyllis Harvey-Hall,23
Autauga,ABSENTEE,U.S. House,2,DEM,Under Votes,7
Autauga,ABSENTEE,U.S. House,2,REP,Barry Moore,20
Autauga,ABSENTEE,U.S. House,2,REP,Bob Rogers,0
Autauga,ABSENTEE,U.S. House,2,REP,Jeff Coleman,67
Autauga,ABSENTEE,U.S. House,2,REP,Jessica Taylor,89
Autauga,ABSENTEE,U.S. House,2,REP,Over Votes,0
Autauga,ABSENTEE,U.S. House,2,REP,Terri Hasdorff,11
Autauga,ABSENTEE,U.S. House,2,REP,"Thomas W. Brown, Jr.",1
Autauga,ABSENTEE,U.S. House,2,REP,Troy King,39
Autauga,ABSENTEE,U.S. House,2,REP,Under Votes,6
Autauga,ABSENTEE,U.S. Senate,,REP,Arnold Mooney,2
Autauga,ABSENTEE,U.S. Senate,,REP,Bradley Byrne,61
Autauga,ABSENTEE,U.S. Senate,,REP,Jeff Sessions,90
Autauga,ABSENTEE,U.S. Senate,,REP,Over Votes,0
Autauga,ABSENTEE,U.S. Senate,,REP,Roy Moore,8
Autauga,ABSENTEE,U.S. Senate,,REP,Ruth Page Nelson,7
Autauga,ABSENTEE,U.S. Senate,,REP,Stanley Adair,1
Autauga,ABSENTEE,U.S. Senate,,REP,Tommy Tuberville,54
Autauga,ABSENTEE,U.S. Senate,,REP,Under Votes,10
Autauga,AUTAUGAVILLE VFD,Ballots Cast,,,Ballots Cast - Total,410
Autauga,AUTAUGAVILLE VFD,President,,DEM,Amy Klobuchar,2
Autauga,AUTAUGAVILLE VFD,President,,DEM,Andrew Yang,0
Autauga,AUTAUGAVILLE VFD,President,,DEM,Bernie Sanders,25
Autauga,AUTAUGAVILLE VFD,President,,DEM,Cory Booker,0
Autauga,AUTAUGAVILLE VFD,President,,DEM,Elizabeth Warren,2
Autauga,AUTAUGAVILLE VFD,President,,DEM,John K. Delaney,0
Autauga,AUTAUGAVILLE VFD,President,,DEM,Joseph R. Biden,113
Autauga,AUTAUGAVILLE VFD,President,,DEM,Julian Castro,0
Autauga,AUTAUGAVILLE VFD,President,,DEM,Marianne Williamson,0
Autauga,AUTAUGAVILLE VFD,President,,DEM,Michael Bennet,3
Autauga,AUTAUGAVILLE VFD,President,,DEM,Michael R. Bloomberg,51
Autauga,AUTAUGAVILLE VFD,President,,DEM,Over Votes,2
Autauga,AUTAUGAVILLE VFD,President,,DEM,Pete Buttigieg,0
Autauga,AUTAUGAVILLE VFD,President,,DEM,Tom Steyer,0
Autauga,AUTAUGAVILLE VFD,President,,DEM,Tulsi Gabbard,0
Autauga,AUTAUGAVILLE VFD,President,,DEM,Uncommitted,1
Autauga,AUTAUGAVILLE VFD,President,,DEM,Under Votes,1
Autauga,AUTAUGAVILLE VFD,President,,REP,Bill Weld,0
