county,precinct,office,district,party,candidate,votes
Autauga,10 JONES COMM_ CTR_,Ballots Cast,,,Ballots Cast - Total,372
Autauga,10 JONES COMM_ CTR_,President,,DEM,Joseph R. Biden,141
Autauga,10 JONES COMM_ CTR_,President,,IND,Jo Jorgensen,3
Autauga,10 JONES COMM_ CTR_,President,,NON,Write-ins,0
Autauga,10 JONES COMM_ CTR_,President,,REP,Donald J. Trump,226
Autauga,10 JONES COMM_ CTR_,President,,,Over Votes,2
Autauga,10 JONES COMM_ CTR_,President,,,Under Votes,0
Autauga,10 JONES COMM_ CTR_,Registered Voters,,,Registered Voters - Total,0
Autauga,10 JONES COMM_ CTR_,Straight Party,,DEM,Alabama Democratic Party,114
Autauga,10 JONES COMM_ CTR_,Straight Party,,REP,Alabama Republican Party,137
Autauga,10 JONES COMM_ CTR_,Straight Party,,,Over Votes,1
Autauga,10 JONES COMM_ CTR_,Straight Party,,,Under Votes,120
Autauga,10 JONES COMM_ CTR_,U.S. House,2,DEM,Phyllis Harvey-Hall,135
Autauga,10 JONES COMM_ CTR_,U.S. House,2,NON,Write-ins,0
Autauga,10 JONES COMM_ CTR_,U.S. House,2,REP,Barry Moore,227
Autauga,10 JONES COMM_ CTR_,U.S. House,2,,Over Votes,0
Autauga,10 JONES COMM_ CTR_,U.S. House,2,,Under Votes,10
Autauga,10 JONES COMM_ CTR_,U.S. Senate,,DEM,Doug Jones,153
Autauga,10 JONES COMM_ CTR_,U.S. Senate,,NON,Write-ins,0
Autauga,10 JONES COMM_ CTR_,U.S. Senate,,REP,Tommy Tuberville,218
Autauga,10 JONES COMM_ CTR_,U.S. Senate,,,Over Votes,0
Autauga,10 JONES COMM_ CTR_,U.S. Senate,,,Under Votes,1
Autauga,100 TRINITY METHODIST,Ballots Cast,,,Ballots Cast - Total,2052
Autauga,100 TRINITY METHODIST,President,,DEM,Joseph R. Biden,315
Autauga,100 TRINITY METHODIST,President,,IND,Jo Jorgensen,36
Autauga,100 TRINITY METHODIST,President,,NON,Write-ins,7
Autauga,100 TRINITY METHODIST,President,,REP,Donald J. Trump,1689
Autauga,100 TRINITY METHODIST,President,,,Over Votes,1
Autauga,100 TRINITY METHODIST,President,,,Under Votes,4
Autauga,100 TRINITY METHODIST,Registered Voters,,,Registered Voters - Total,0
Autauga,100 TRINITY METHODIST,Straight Party,,DEM,Alabama Democratic Party,170
Autauga,100 TRINITY METHODIST,Straight Party,,REP,Alabama Republican Party,1070
Autauga,100 TRINITY METHODIST,Straight Party,,,Over Votes,2
