county,precinct,office,district,candidate,party,votes,yes_votes,no_votes
Adams,4253001245,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,72,0,0
Adams,4253001245,President,,Donald J. Trump / Michael R. Pence,Republican Party,279,0,0
Adams,4253001245,President,,Don Blankenship / William Mohr,American Constitution Party,0,0,0
Adams,4253001245,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,0,0,0
Adams,4253001245,President,,Howie Hawkins / Angela Nicole Walker,Green Party,0,0,0
Adams,4253001245,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Adams,4253001245,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,5,0,0
Adams,4253001245,President,,Brian Carroll / Amar Patel,American Solidarity Party,0,0,0
Adams,4253001245,President,,Mark Charles / Adrian Wallace,Unaffiliated,0,0,0
Adams,4253001245,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Adams,4253001245,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,1,0,0
Adams,4253001245,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,0,0,0
Adams,4253001245,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0,0,0
Adams,4253001245,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Adams,4253001245,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Adams,4253001245,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,0,0,0
Adams,4253001245,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,0,0,0
Adams,4253001245,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,0,0,0
Adams,4253001245,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Adams,4253001245,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Adams,4253001245,President,,Kanye West / Michelle Tidball,Unaffiliated,0,0,0
Adams,4253001245,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Adams,4253001245,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Adams,4253001245,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Adams,4253001245,U.S. Senate,,John W. Hickenlooper,Democratic Party,68,0,0
Adams,4253001245,U.S. Senate,,Cory Gardner,Republican Party,279,0,0
Adams,4253001245,U.S. Senate,,Daniel Doyle,Approval Voting Party,2,0,0
Adams,4253001245,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,1,0,0
Adams,4253001245,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,4,0,0
Adams,4253001245,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Adams,4253001245,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Adams,4253001245,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Adams,4253001245,U.S. House,4,Ike McCorkle,Democratic Party,61,0,0
Adams,4253001245,U.S. House,4,Ken Buck,Republican Party,275,0,0
Adams,4253001245,U.S. House,4,Bruce Griffith,Libertarian Party,6,0,0
Adams,4253001245,U.S. House,4,Laura Ireland,Unity Party of Colorado,3,0,0
Adams,4253001245,State Senate,25,Kevin Priola,Republican Party,284,0,0
Adams,4253001245,State Senate,25,Paula Dickerson,Democratic Party,62,0,0
Adams,4253001245,State House,30,Kerrie Gutierrez,Republican Party,281,0,0
Adams,4253001245,State House,30,Dafna Michaelson Jenet,Democratic Party,60,0,0
Adams,4253001245,District Attorney - District 17,,Tim McCormack,Republican Party,271,0,0
Adams,4253001245,District Attorney - District 17,,Brian Mason,Democratic Party,63,0,0
Adams,4253001245,Supreme Court,,Melissa Hart,,0,170,133
Adams,4253001245,Supreme Court,,Carlos A. Samour Jr.,,0,177,134
Adams,4253001245,Court of Appeals,,Ted C. Tow III,,0,178,130
Adams,4253001245,Court of Appeals,,Craig R. Welling,,0,161,146
Adams,4253001245,"District Court, 17th Judicial District",,Tomee Crespin,,0,116,192
