county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Appling,1B,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,10,0,0
Appling,1C,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,5,0,0
Appling,2,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,3,0,0
Appling,3A1,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,6,0,0
Appling,3C,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,2,0,0
Appling,4B,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,7,1,0
Appling,4D,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,2,0,0
Appling,5A,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,0,0
Appling,5B,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,0,0
Atkinson,Axson,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,3,0,0
Atkinson,Pearson City,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,8,1,0
Atkinson,Pearson County,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,7,0,0
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,4,0,0
Bacon,Douglas,U.S. Senate (Special),,Republican,A. Wayne Johnson,18,64,4,0
Baker,Anna,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,2,0,0
Baker,Elmodel,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Baker,Hoggards Mill,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,2,0,0
Baker,Milford,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,1,0,0
Baker,Newton,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,5,1,0
Baldwin,Boddie,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,4,0,0
Baldwin,City Hall Annex,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,3,1,0
Baldwin,Coopers,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,12,0,0
Baldwin,Courthouse,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,1,0,0
Baldwin,East Baldwin,U.S. Senate (Special),,Republican,A. Wayne Johnson,15,23,3,0
Baldwin,East Hardwick,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,2,0,0
Baldwin,Fire Dept,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,1,1,0
Baldwin,Meriweather,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,11,2,0
Baldwin,North Baldwin,U.S. Senate (Special),,Republican,A. Wayne Johnson,9,17,0,0
Baldwin,North Milledgeville,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,8,1,0
Baldwin,Scottsboro,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,4,0,0
Baldwin,South Milledgeville,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,1,0
Baldwin,West Baldwin,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,8,0,0
Baldwin,West Hardwick,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,13,2,0
Banks,Anderson,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,11,0,0
Banks,Baldwin,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,3,1,0
Banks,Berlin,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,2,0,0
Banks,Bushville,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,2,0,0
Banks,Columbia,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,0,0,0
Banks,Davids,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,4,2,1
Banks,Golden Hill,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,3,2,0
Banks,Grove River,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,0,0,0
Banks,Hollingsworth,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,3,0,0
Banks,Homer,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,0,0
Banks,Poplar Springs,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,5,2,0
Banks,Washington,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,2,0,0
Banks,Wilmonts,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Barrow,01 Bethlehem Community Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,14,0,0
Barrow,02 Bethlehem Church - 211,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,25,5,0
Barrow,03 Hmong New Hope Alliance Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,19,32,3,0
Barrow,04 Covenant Life Sanctuary,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,14,5,0
Barrow,05 Fire Station 1 (Statham),U.S. Senate (Special),,Republican,A. Wayne Johnson,17,35,5,0
Barrow,08 First Baptist Church Winder,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,25,6,0
Barrow,13 Winder Community Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,14,42,3,0
Barrow,16 The Church at Winder,U.S. Senate (Special),,Republican,A. Wayne Johnson,26,51,5,0
Bartow,Adairsville,U.S. Senate (Special),,Republican,A. Wayne Johnson,20,27,2,0
Bartow,Allatoona,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,5,4,0
Bartow,Cartersville East,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,18,10,0
