county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,President and Vice President,,C,Don Blankenship,0,0,7,7
County of Hawaii,01-01,President and Vice President,,D,Joseph R. Biden,0,26,1389,1415
County of Hawaii,01-01,President and Vice President,,G,Howie Hawkins,0,0,21,21
County of Hawaii,01-01,President and Vice President,,L,Jo Jorgensen,0,3,18,21
County of Hawaii,01-01,President and Vice President,,R,Donald J. Trump,0,38,544,582
County of Hawaii,01-01,President and Vice President,,AS,Brock Pierce,0,0,4,4
County of Hawaii,01-01,U.S. Representative,2,R,"AKANA, Joe",0,32,394,426
County of Hawaii,01-01,U.S. Representative,2,N,"BURRUS, Ron",0,2,17,19
County of Hawaii,01-01,U.S. Representative,2,AS,"GIUFFRE, John (Raghu)",0,0,5,5
County of Hawaii,01-01,U.S. Representative,2,A,"HOOMANAWANUI, Jonathan",0,1,37,38
County of Hawaii,01-01,U.S. Representative,2,D,"KAHELE, Kaiali'i (Kai)",0,22,1357,1379
County of Hawaii,01-01,U.S. Representative,2,L,"TIPPENS, Michelle Rose",0,5,56,61
County of Hawaii,01-01,State Representative,1,D,"NAKASHIMA, Mark M.",0,22,1462,1484
County of Hawaii,01-01,State Representative,1,R,"SHIN, Lorraine Pualani",0,37,455,492
County of Hawaii,01-01,Hawaii Resident Trustee,,,"LINDSEY, Keola",0,32,781,813
County of Hawaii,01-01,Hawaii Resident Trustee,,,"MANGAUIL, Lanakila",0,19,981,1000
County of Hawaii,01-01,Molokai Resident Trustee,,,"ALAPA, Luana",0,28,665,693
County of Hawaii,01-01,Molokai Resident Trustee,,,"MACHADO, Colette (Piipii)",0,14,620,634
County of Hawaii,01-01,At-Large Trustee,,,"AKINA, Keli'i",0,21,652,673
County of Hawaii,01-01,At-Large Trustee,,,"SOUZA, Keoni",0,26,773,799
County of Hawaii,01-01,"Mayor, County of Hawaii",,,"MARZO, Ikaika",0,27,915,942
County of Hawaii,01-01,"Mayor, County of Hawaii",,,"ROTH, Mitch",0,36,1044,1080
County of Hawaii,01-01,Councilmember,"1, County of Hawaii",,"KIMBALL, Heather L.",0,30,855,885
County of Hawaii,01-01,Councilmember,"1, County of Hawaii",,"YAGONG, Dominic",0,33,1081,1114
County of Hawaii,01-01,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,YES,0,42,1297,1339
County of Hawaii,01-01,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,NO,0,15,433,448
County of Hawaii,01-01,HAWAI'I: Council Meeting Locations,,,YES,0,52,1547,1599
County of Hawaii,01-01,HAWAI'I: Council Meeting Locations,,,NO,0,6,259,265
County of Hawaii,01-01,HAWAI'I: Department of Research & Development,,,YES,0,51,1500,1551
County of Hawaii,01-01,HAWAI'I: Department of Research & Development,,,NO,0,7,237,244
County of Hawaii,01-01,HAWAI'I: Authority of Police & Fire Commissions,,,YES,0,48,1520,1568
County of Hawaii,01-01,HAWAI'I: Authority of Police & Fire Commissions,,,NO,0,10,282,292
County of Hawaii,01-01,HAWAI'I: Terms of Council Members,,,YES,0,30,928,958
County of Hawaii,01-01,HAWAI'I: Terms of Council Members,,,NO,0,28,881,909
County of Hawaii,01-01,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,YES,0,42,1105,1147
County of Hawaii,01-01,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,NO,0,14,662,676
County of Hawaii,01-01,HAWAI'I: Discipline of Council Members,,,YES,0,53,1636,1689
County of Hawaii,01-01,HAWAI'I: Discipline of Council Members,,,NO,0,5,169,174
County of Hawaii,01-01,HAWAI'I: Department of Information Technology,,,YES,0,28,810,838
County of Hawaii,01-01,HAWAI'I: Department of Information Technology,,,NO,0,25,888,913
County of Hawaii,01-01,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,YES,0,38,991,1029
County of Hawaii,01-01,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,NO,0,20,783,803
County of Hawaii,01-01,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,YES,0,32,943,975
County of Hawaii,01-01,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,NO,0,20,797,817
County of Hawaii,01-01,HAWAI'I: Mandatory Charter Reviews,,,YES,0,41,1422,1463
County of Hawaii,01-01,HAWAI'I: Mandatory Charter Reviews,,,NO,0,9,267,276
County of Hawaii,01-01,HAWAI'I: Corporation Counsel,,,YES,0,42,1425,1467
County of Hawaii,01-01,HAWAI'I: Corporation Counsel,,,NO,0,9,310,319
County of Hawaii,01-01,HAWAI'I: Hawai'i Fire Department,,,YES,0,36,1221,1257
County of Hawaii,01-01,HAWAI'I: Hawai'i Fire Department,,,NO,0,18,483,501
County of Hawaii,01-01,HAWAI'I: Membership on Boards & Commissions,,,YES,0,31,1044,1075
County of Hawaii,01-01,HAWAI'I: Membership on Boards & Commissions,,,NO,0,20,673,693
County of Hawaii,01-01,HAWAI'I: Capital Budget & Capital Programs,,,YES,0,43,1411,1454
County of Hawaii,01-01,HAWAI'I: Capital Budget & Capital Programs,,,NO,0,9,304,313
County of Hawaii,01-01,HAWAI'I: Board of Ethics,,,YES,0,40,1403,1443
County of Hawaii,01-01,HAWAI'I: Board of Ethics,,,NO,0,14,345,359
County of Hawaii,01-02,President and Vice President,,C,Don Blankenship,0,0,1,1
County of Hawaii,01-02,President and Vice President,,D,Joseph R. Biden,0,9,533,542
County of Hawaii,01-02,President and Vice President,,G,Howie Hawkins,0,0,5,5
County of Hawaii,01-02,President and Vice President,,L,Jo Jorgensen,0,0,6,6
County of Hawaii,01-02,President and Vice President,,R,Donald J. Trump,0,9,198,207
County of Hawaii,01-02,President and Vice President,,AS,Brock Pierce,0,0,0,0
County of Hawaii,01-02,U.S. Representative,2,R,"AKANA, Joe",0,10,148,158
County of Hawaii,01-02,U.S. Representative,2,N,"BURRUS, Ron",0,0,2,2
County of Hawaii,01-02,U.S. Representative,2,AS,"GIUFFRE, John (Raghu)",0,0,0,0
County of Hawaii,01-02,U.S. Representative,2,A,"HOOMANAWANUI, Jonathan",0,0,8,8
County of Hawaii,01-02,U.S. Representative,2,D,"KAHELE, Kaiali'i (Kai)",0,6,490,496
County of Hawaii,01-02,U.S. Representative,2,L,"TIPPENS, Michelle Rose",0,0,30,30
County of Hawaii,01-02,State Representative,1,D,"NAKASHIMA, Mark M.",0,7,515,522
County of Hawaii,01-02,State Representative,1,R,"SHIN, Lorraine Pualani",0,8,194,202
County of Hawaii,01-02,Hawaii Resident Trustee,,,"LINDSEY, Keola",0,4,327,331
County of Hawaii,01-02,Hawaii Resident Trustee,,,"MANGAUIL, Lanakila",0,11,326,337
County of Hawaii,01-02,Molokai Resident Trustee,,,"ALAPA, Luana",0,11,267,278
County of Hawaii,01-02,Molokai Resident Trustee,,,"MACHADO, Colette (Piipii)",0,4,213,217
County of Hawaii,01-02,At-Large Trustee,,,"AKINA, Keli'i",0,9,274,283
County of Hawaii,01-02,At-Large Trustee,,,"SOUZA, Keoni",0,6,267,273
County of Hawaii,01-02,"Mayor, County of Hawaii",,,"MARZO, Ikaika",0,8,319,327
County of Hawaii,01-02,"Mayor, County of Hawaii",,,"ROTH, Mitch",0,8,409,417
County of Hawaii,01-02,Councilmember,"1, County of Hawaii",,"KIMBALL, Heather L.",0,10,320,330
County of Hawaii,01-02,Councilmember,"1, County of Hawaii",,"YAGONG, Dominic",0,6,386,392
County of Hawaii,01-02,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,YES,0,7,454,461
County of Hawaii,01-02,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,NO,0,7,190,197
County of Hawaii,01-02,HAWAI'I: Council Meeting Locations,,,YES,0,12,569,581
County of Hawaii,01-02,HAWAI'I: Council Meeting Locations,,,NO,0,2,104,106
County of Hawaii,01-02,HAWAI'I: Department of Research & Development,,,YES,0,14,548,562
County of Hawaii,01-02,HAWAI'I: Department of Research & Development,,,NO,0,0,105,105
County of Hawaii,01-02,HAWAI'I: Authority of Police & Fire Commissions,,,YES,0,11,527,538
County of Hawaii,01-02,HAWAI'I: Authority of Police & Fire Commissions,,,NO,0,4,138,142
County of Hawaii,01-02,HAWAI'I: Terms of Council Members,,,YES,0,5,305,310
County of Hawaii,01-02,HAWAI'I: Terms of Council Members,,,NO,0,9,366,375
County of Hawaii,01-02,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,YES,0,8,389,397
County of Hawaii,01-02,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,NO,0,6,268,274
County of Hawaii,01-02,HAWAI'I: Discipline of Council Members,,,YES,0,13,592,605
County of Hawaii,01-02,HAWAI'I: Discipline of Council Members,,,NO,0,2,78,80
County of Hawaii,01-02,HAWAI'I: Department of Information Technology,,,YES,0,8,267,275
County of Hawaii,01-02,HAWAI'I: Department of Information Technology,,,NO,0,6,356,362
County of Hawaii,01-02,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,YES,0,7,357,364
County of Hawaii,01-02,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,NO,0,6,312,318
County of Hawaii,01-02,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,YES,0,7,299,306
County of Hawaii,01-02,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,NO,0,7,340,347
County of Hawaii,01-02,HAWAI'I: Mandatory Charter Reviews,,,YES,0,9,501,510
County of Hawaii,01-02,HAWAI'I: Mandatory Charter Reviews,,,NO,0,5,127,132
County of Hawaii,01-02,HAWAI'I: Corporation Counsel,,,YES,0,8,517,525
County of Hawaii,01-02,HAWAI'I: Corporation Counsel,,,NO,0,5,135,140
County of Hawaii,01-02,HAWAI'I: Hawai'i Fire Department,,,YES,0,7,422,429
County of Hawaii,01-02,HAWAI'I: Hawai'i Fire Department,,,NO,0,6,216,222
County of Hawaii,01-02,HAWAI'I: Membership on Boards & Commissions,,,YES,0,3,363,366
County of Hawaii,01-02,HAWAI'I: Membership on Boards & Commissions,,,NO,0,11,279,290
County of Hawaii,01-02,HAWAI'I: Capital Budget & Capital Programs,,,YES,0,11,496,507
County of Hawaii,01-02,HAWAI'I: Capital Budget & Capital Programs,,,NO,0,3,145,148
County of Hawaii,01-02,HAWAI'I: Board of Ethics,,,YES,0,8,503,511
County of Hawaii,01-02,HAWAI'I: Board of Ethics,,,NO,0,7,153,160
County of Hawaii,01-03,President and Vice President,,C,Don Blankenship,0,0,1,1
County of Hawaii,01-03,President and Vice President,,D,Joseph R. Biden,0,10,569,579
County of Hawaii,01-03,President and Vice President,,G,Howie Hawkins,0,0,11,11
County of Hawaii,01-03,President and Vice President,,L,Jo Jorgensen,0,1,10,11
County of Hawaii,01-03,President and Vice President,,R,Donald J. Trump,0,14,197,211
County of Hawaii,01-03,President and Vice President,,AS,Brock Pierce,0,0,2,2
County of Hawaii,01-03,U.S. Representative,2,R,"AKANA, Joe",0,12,139,151
County of Hawaii,01-03,U.S. Representative,2,N,"BURRUS, Ron",0,0,9,9
County of Hawaii,01-03,U.S. Representative,2,AS,"GIUFFRE, John (Raghu)",0,0,5,5
County of Hawaii,01-03,U.S. Representative,2,A,"HOOMANAWANUI, Jonathan",0,0,11,11
County of Hawaii,01-03,U.S. Representative,2,D,"KAHELE, Kaiali'i (Kai)",0,11,561,572
County of Hawaii,01-03,U.S. Representative,2,L,"TIPPENS, Michelle Rose",0,1,17,18
County of Hawaii,01-03,State Representative,1,D,"NAKASHIMA, Mark M.",0,10,564,574
County of Hawaii,01-03,State Representative,1,R,"SHIN, Lorraine Pualani",0,13,199,212
County of Hawaii,01-03,Hawaii Resident Trustee,,,"LINDSEY, Keola",0,8,324,332
County of Hawaii,01-03,Hawaii Resident Trustee,,,"MANGAUIL, Lanakila",0,10,309,319
County of Hawaii,01-03,Molokai Resident Trustee,,,"ALAPA, Luana",0,8,226,234
County of Hawaii,01-03,Molokai Resident Trustee,,,"MACHADO, Colette (Piipii)",0,2,226,228
County of Hawaii,01-03,At-Large Trustee,,,"AKINA, Keli'i",0,5,260,265
County of Hawaii,01-03,At-Large Trustee,,,"SOUZA, Keoni",0,6,266,272
County of Hawaii,01-03,"Mayor, County of Hawaii",,,"MARZO, Ikaika",0,11,342,353
County of Hawaii,01-03,"Mayor, County of Hawaii",,,"ROTH, Mitch",0,11,440,451
County of Hawaii,01-03,Councilmember,"1, County of Hawaii",,"KIMBALL, Heather L.",0,11,471,482
County of Hawaii,01-03,Councilmember,"1, County of Hawaii",,"YAGONG, Dominic",0,7,278,285
County of Hawaii,01-03,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,YES,0,14,529,543
