county,precinct,candidate,office,district,party,votes
ADAMS,BEVERLY 1,JOSEPH R. BIDEN,President,,DEMOCRATIC,21
ADAMS,BEVERLY 1,DONALD J. TRUMP,President,,REPUBLICAN,147
ADAMS,BEVERLY 1,HOWIE HAWKINS,President,,GREEN,0
ADAMS,BEVERLY 1,GLORIA LA RIVA,President,,SOCIALISM LIBERATION,0
ADAMS,BEVERLY 1,BRIAN CARROLL,President,,AMERICAN SOLIDARITY,0
ADAMS,BEVERLY 1,JO JORGENSEN,President,,LIBERTARIAN,0
ADAMS,BEVERLY 1,ANGEL SMITH,State House,94,DEMOCRATIC,18
ADAMS,BEVERLY 1,RANDY E. FRESE,State House,94,REPUBLICAN,150
ADAMS,BEVERLY 1,GEORGE PETRILLI,U.S. House,18,DEMOCRATIC,20
ADAMS,BEVERLY 1,DARIN LaHOOD,U.S. House,18,REPUBLICAN,146
ADAMS,BEVERLY 1,RICHARD J. DURBIN,U.S. Senate,,DEMOCRATIC,21
ADAMS,BEVERLY 1,MARK C. CURRAN JR.,U.S. Senate,,REPUBLICAN,144
ADAMS,BEVERLY 1,WILLIE L. WILSON,U.S. Senate,,WILLIE WILSON PARTY,0
ADAMS,BEVERLY 1,DAVID F. BLACK,U.S. Senate,,GREEN,1
ADAMS,BEVERLY 1,DANNY MALOUF,U.S. Senate,,LIBERTARIAN,2
ADAMS,BURTON 1,JOSEPH R. BIDEN,President,,DEMOCRATIC,67
ADAMS,BURTON 1,DONALD J. TRUMP,President,,REPUBLICAN,494
ADAMS,BURTON 1,HOWIE HAWKINS,President,,GREEN,1
ADAMS,BURTON 1,GLORIA LA RIVA,President,,SOCIALISM LIBERATION,0
ADAMS,BURTON 1,BRIAN CARROLL,President,,AMERICAN SOLIDARITY,0
ADAMS,BURTON 1,JO JORGENSEN,President,,LIBERTARIAN,8
ADAMS,BURTON 1,ANGEL SMITH,State House,94,DEMOCRATIC,54
ADAMS,BURTON 1,RANDY E. FRESE,State House,94,REPUBLICAN,510
ADAMS,BURTON 1,GEORGE PETRILLI,U.S. House,18,DEMOCRATIC,56
ADAMS,BURTON 1,DARIN LaHOOD,U.S. House,18,REPUBLICAN,501
ADAMS,BURTON 1,RICHARD J. DURBIN,U.S. Senate,,DEMOCRATIC,80
ADAMS,BURTON 1,MARK C. CURRAN JR.,U.S. Senate,,REPUBLICAN,477
ADAMS,BURTON 1,WILLIE L. WILSON,U.S. Senate,,WILLIE WILSON PARTY,2
ADAMS,BURTON 1,DAVID F. BLACK,U.S. Senate,,GREEN,0
ADAMS,BURTON 1,DANNY MALOUF,U.S. Senate,,LIBERTARIAN,5
ADAMS,CAMP POINT 1,JOSEPH R. BIDEN,President,,DEMOCRATIC,59
ADAMS,CAMP POINT 1,DONALD J. TRUMP,President,,REPUBLICAN,349
ADAMS,CAMP POINT 1,HOWIE HAWKINS,President,,GREEN,4
ADAMS,CAMP POINT 1,GLORIA LA RIVA,President,,SOCIALISM LIBERATION,0
ADAMS,CAMP POINT 1,BRIAN CARROLL,President,,AMERICAN SOLIDARITY,1
ADAMS,CAMP POINT 1,JO JORGENSEN,President,,LIBERTARIAN,8
ADAMS,CAMP POINT 1,ANGEL SMITH,State House,94,DEMOCRATIC,39
ADAMS,CAMP POINT 1,RANDY E. FRESE,State House,94,REPUBLICAN,376
ADAMS,CAMP POINT 1,GEORGE PETRILLI,U.S. House,18,DEMOCRATIC,45
ADAMS,CAMP POINT 1,DARIN LaHOOD,U.S. House,18,REPUBLICAN,371
ADAMS,CAMP POINT 1,RICHARD J. DURBIN,U.S. Senate,,DEMOCRATIC,65
ADAMS,CAMP POINT 1,MARK C. CURRAN JR.,U.S. Senate,,REPUBLICAN,344
ADAMS,CAMP POINT 1,WILLIE L. WILSON,U.S. Senate,,WILLIE WILSON PARTY,5
ADAMS,CAMP POINT 1,DAVID F. BLACK,U.S. Senate,,GREEN,0
